service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
RDEC17-801-1_Weekday-98,1,1,1,1,1,0,0,20180105,20180119
RDEC17-801-2_Saturday-03,0,0,0,0,0,1,0,20180106,20180106
RDEC17-801-3_Sunday-99,0,0,0,0,0,0,1,20180107,20180114
RDEC17-801-1_Weekday-99,1,1,1,1,1,0,0,20180108,20180118
RDEC17-801-1_Weekday-10,1,1,1,1,1,0,0,20180110,20180110
RDEC17-801-1_Weekday-07,1,1,1,1,1,0,0,20180111,20180111
RDEC17-801-2_Saturday-99,0,0,0,0,0,1,0,20180113,20180113
RDEC17-804-1_Weekday-21,1,1,1,1,1,0,0,20180105,20180105
RDEC17-804-2_Saturday-09,0,0,0,0,0,1,0,20180106,20180106
RDEC17-804-3_Sunday-03,0,0,0,0,0,0,1,20180107,20180107
RDEC17-804-1_Weekday-16,1,1,1,1,1,0,0,20180108,20180111
RDEC17-804-1_Weekday-99,1,1,1,1,1,0,0,20180109,20180118
RDEC17-804-1_Weekday-98,1,1,1,1,1,0,0,20180112,20180119
RDEC17-804-2_Saturday-99,0,0,0,0,0,1,0,20180113,20180113
RDEC17-804-3_Sunday-99,0,0,0,0,0,0,1,20180114,20180114
RDEC17-803-1_Weekday-21,1,1,1,1,1,0,0,20180105,20180105
RDEC17-803-2_Saturday-12,0,0,0,0,0,1,0,20180106,20180106
RDEC17-803-3_Sunday-99,0,0,0,0,0,0,1,20180107,20180114
RDEC17-803-1_Weekday-99,1,1,1,1,1,0,0,20180108,20180118
RDEC17-803-1_Weekday-98,1,1,1,1,1,0,0,20180112,20180119
RDEC17-803-2_Saturday-99,0,0,0,0,0,1,0,20180113,20180113
RDEC17-802-1_Weekday-18,1,1,1,1,1,0,0,20180105,20180105
RDEC17-802-2_Saturday-02,0,0,0,0,0,1,0,20180106,20180106
RDEC17-802-3_Sunday-02,0,0,0,0,0,0,1,20180107,20180107
RDEC17-802-1_Weekday-13,1,1,1,1,1,0,0,20180108,20180111
RDEC17-802-1_Weekday-22,1,1,1,1,1,0,0,20180112,20180112
RDEC17-802CAR-2_Saturday-99,0,0,0,0,0,1,0,20180113,20180113
RDEC17-802CAR-3_Sunday-99,0,0,0,0,0,0,1,20180114,20180114
RDEC17-802CAR-1_Weekday-99,1,1,1,1,1,0,0,20180115,20180118
RDEC17-802CAR-1_Weekday-98,1,1,1,1,1,0,0,20180119,20180119
