service_id,date,exception_type
RDEC17-801-1_Weekday-98,20180108,2
RDEC17-801-1_Weekday-98,20180109,2
RDEC17-801-1_Weekday-98,20180110,2
RDEC17-801-1_Weekday-98,20180111,2
RDEC17-801-1_Weekday-98,20180115,2
RDEC17-801-1_Weekday-98,20180116,2
RDEC17-801-1_Weekday-98,20180117,2
RDEC17-801-1_Weekday-98,20180118,2
RDEC17-801-1_Weekday-99,20180110,2
RDEC17-801-1_Weekday-99,20180111,2
RDEC17-801-1_Weekday-99,20180112,2
RDEC17-804-1_Weekday-16,20180109,2
RDEC17-804-1_Weekday-16,20180110,2
RDEC17-804-1_Weekday-99,20180111,2
RDEC17-804-1_Weekday-99,20180112,2
RDEC17-804-1_Weekday-98,20180115,2
RDEC17-804-1_Weekday-98,20180116,2
RDEC17-804-1_Weekday-98,20180117,2
RDEC17-804-1_Weekday-98,20180118,2
RDEC17-803-1_Weekday-99,20180112,2
RDEC17-803-1_Weekday-98,20180115,2
RDEC17-803-1_Weekday-98,20180116,2
RDEC17-803-1_Weekday-98,20180117,2
RDEC17-803-1_Weekday-98,20180118,2
