from_stop_id,to_stop_id,transfer_type
10005,10005,0
10010,10010,0
10015,10015,0
10017,10017,0
10021,10021,0
10022,10022,0
10025,10025,0
10026,10026,0
10031,10031,0
10036,10036,0
10037,10037,0
10038,10038,0
10038,10042,0
10041,10041,0
10042,10038,0
10042,10042,0
10049,10049,0
10051,10051,0
10052,10052,0
10053,10053,0
10059,10059,0
10061,10061,0
10062,10062,0
10073,10073,0
10076,10076,0
10078,10078,0
10084,10084,0
10089,10089,0
10090,10090,0
10094,10094,0
10097,10097,0
10099,10099,0
10100,10100,0
10102,10102,0
10106,10106,0
10109,10109,0
10110,10110,0
10112,10112,0
10113,10113,0
10114,10114,0
10118,10118,0
10119,10119,0
10120,10120,0
