route_id,service_id,trip_id,trip_headsign,shape_id
908.1,SU,908.1-10-285-569-0900-0930-2665-0-0-0-0_LY_5LB,ROUTE 400A,908.1
908.1,SU,908.1-16-0-285-1530-1600-2665-0-0-0-0_LY_5LB,ROUTE 400A,908.1
908.1,MTWHF,908.1-18-0-285-1700-1730-2665-0-0-0-0_LY_5LB,ROUTE 400A,908.1
908.1,MTWHF,908.1-8-285-569-0700-0730-2665-0-0-0-0_LY_5LB,ROUTE 400A,908.1
908.2,MTWHFSU,908.2-10-0-569-0900-1000-2665-0-0-0-0_LY_5LB,ROUTE 400A,908.2
908.2,MTWHFSU,908.2-10-0-569-0930-1030-2665-0-0-0-0_LY_5LB,ROUTE 400A,908.2
908.2,MTWHFSU,908.2-11-0-569-1000-1100-2665-0-0-0-0_LY_5LB,ROUTE 400A,908.2
908.2,MTWHFSU,908.2-11-0-569-1030-1130-2665-0-0-0-0_LY_5LB,ROUTE 400A,908.2
908.2,MTWHFSU,908.2-12-0-569-1100-1200-2665-0-0-0-0_LY_5LB,ROUTE 400A,908.2
908.2,MTWHFSU,908.2-12-0-569-1130-1230-2665-0-0-0-0_LY_5LB,ROUTE 400A,908.2
908.2,MTWHFSU,908.2-13-0-569-1200-1300-2665-0-0-0-0_LY_5LB,ROUTE 400A,908.2
908.2,MTWHFSU,908.2-13-0-569-1230-1330-2665-0-0-0-0_LY_5LB,ROUTE 400A,908.2
908.2,MTWHFSU,908.2-14-0-569-1300-1400-2665-0-0-0-0_LY_5LB,ROUTE 400A,908.2
908.2,MTWHFSU,908.2-14-0-569-1330-1430-2665-0-0-0-0_LY_5LB,ROUTE 400A,908.2
908.2,MTWHFSU,908.2-15-0-569-1400-1500-2665-0-0-0-0_LY_5LB,ROUTE 400A,908.2
908.2,MTWHFSU,908.2-15-0-569-1430-1530-2665-0-0-0-0_LY_5LB,ROUTE 400A,908.2
908.2,MTWHFSU,908.2-16-0-569-1500-1600-2665-0-0-0-0_LY_5LB,ROUTE 400A,908.2
908.2,MTWHF,908.2-16-0-569-1530-1630-2665-0-0-0-0_LY_5LB,ROUTE 400A,908.2
908.2,MTWHF,908.2-17-0-569-1600-1700-2665-0-0-0-0_LY_5LB,ROUTE 400A,908.2
908.2,MTWHF,908.2-17-0-569-1630-1730-2665-0-0-0-0_LY_5LB,ROUTE 400A,908.2
908.2,MTWHF,908.2-8-0-569-0700-0800-2665-0-0-0-0_LY_5LB,ROUTE 400A,908.2
908.2,MTWHF,908.2-8-0-569-0730-0830-2665-0-0-0-0_LY_5LB,ROUTE 400A,908.2
908.2,MTWHF,908.2-9-0-569-0800-0900-2665-0-0-0-0_LY_5LB,ROUTE 400A,908.2
908.2,MTWHF,908.2-9-0-569-0830-0930-2665-0-0-0-0_LY_5LB,ROUTE 400A,908.2
910.1,SU,910.1-10-209-418-0900-0930-2666-0-0-0-0_LY_5LB,ROUTE 401B,910.1
910.1,SU,910.1-16-0-209-1530-1600-2666-0-0-0-0_LY_5LB,ROUTE 401B,910.1
910.1,MTWHF,910.1-18-0-209-1700-1730-2666-0-0-0-0_LY_5LB,ROUTE 401B,910.1
910.1,MTWHF,910.1-8-209-418-0700-0730-2666-0-0-0-0_LY_5LB,ROUTE 401B,910.1
910.2,MTWHFSU,910.2-10-0-418-0900-1000-2666-0-0-0-0_LY_5LB,ROUTE 401B,910.2
910.2,MTWHFSU,910.2-10-0-418-0930-1030-2666-0-0-0-0_LY_5LB,ROUTE 401B,910.2
910.2,MTWHFSU,910.2-11-0-418-1000-1100-2666-0-0-0-0_LY_5LB,ROUTE 401B,910.2
910.2,MTWHFSU,910.2-11-0-418-1030-1130-2666-0-0-0-0_LY_5LB,ROUTE 401B,910.2
910.2,MTWHFSU,910.2-12-0-418-1100-1200-2666-0-0-0-0_LY_5LB,ROUTE 401B,910.2
910.2,MTWHFSU,910.2-12-0-418-1130-1230-2666-0-0-0-0_LY_5LB,ROUTE 401B,910.2
910.2,MTWHFSU,910.2-13-0-418-1200-1300-2666-0-0-0-0_LY_5LB,ROUTE 401B,910.2
910.2,MTWHFSU,910.2-13-0-418-1230-1330-2666-0-0-0-0_LY_5LB,ROUTE 401B,910.2
910.2,MTWHFSU,910.2-14-0-418-1300-1400-2666-0-0-0-0_LY_5LB,ROUTE 401B,910.2
910.2,MTWHFSU,910.2-14-0-418-1330-1430-2666-0-0-0-0_LY_5LB,ROUTE 401B,910.2
910.2,MTWHFSU,910.2-15-0-418-1400-1500-2666-0-0-0-0_LY_5LB,ROUTE 401B,910.2
910.2,MTWHFSU,910.2-15-0-418-1430-1530-2666-0-0-0-0_LY_5LB,ROUTE 401B,910.2
910.2,MTWHFSU,910.2-16-0-418-1500-1600-2666-0-0-0-0_LY_5LB,ROUTE 401B,910.2
910.2,MTWHF,910.2-16-0-418-1530-1630-2666-0-0-0-0_LY_5LB,ROUTE 401B,910.2
910.2,MTWHF,910.2-17-0-418-1600-1700-2666-0-0-0-0_LY_5LB,ROUTE 401B,910.2
910.2,MTWHF,910.2-17-0-418-1630-1730-2666-0-0-0-0_LY_5LB,ROUTE 401B,910.2
910.2,MTWHF,910.2-8-0-418-0700-0800-2666-0-0-0-0_LY_5LB,ROUTE 401B,910.2
910.2,MTWHF,910.2-8-0-418-0730-0830-2666-0-0-0-0_LY_5LB,ROUTE 401B,910.2
910.2,MTWHF,910.2-9-0-418-0800-0900-2666-0-0-0-0_LY_5LB,ROUTE 401B,910.2
910.2,MTWHF,910.2-9-0-418-0830-0930-2666-0-0-0-0_LY_5LB,ROUTE 401B,910.2
912.1,SU,912.1-10-578-1180-0900-1000-2667-0-0-0-0_LY_5LB,ROUTE 402C,912.1
912.1,MTWHF,912.1-8-578-1180-0700-0800-2667-0-0-0-0_LY_5LB,ROUTE 402C,912.1
912.2,SU,912.2-16-0-578-1530-1630-2667-0-0-0-0_LY_5LB,ROUTE 402C,912.2
912.2,MTWHF,912.2-17-0-578-1630-1730-2667-0-0-0-0_LY_5LB,ROUTE 402C,912.2
912.3,MTWHF,912.3-10-0-1180-0900-1100-2667-0-0-0-0_LY_5LB,ROUTE 402C,912.3
912.3,MTWHF,912.3-11-0-1180-1000-1200-2667-0-0-0-0_LY_5LB,ROUTE 402C,912.3
912.3,SU,912.3-11-0-1180-1000-1230-2667-0-0-0-0_LY_5LB,ROUTE 402C,912.3
912.3,MTWHFSU,912.3-12-0-1180-1130-1330-2667-0-0-0-0_LY_5LB,ROUTE 402C,912.3
912.3,MTWHFSU,912.3-13-0-1180-1230-1430-2667-0-0-0-0_LY_5LB,ROUTE 402C,912.3
912.3,MTWHFSU,912.3-14-0-1180-1330-1530-2667-0-0-0-0_LY_5LB,ROUTE 402C,912.3
912.3,MTWHFSU,912.3-15-0-1180-1430-1630-2667-0-0-0-0_LY_5LB,ROUTE 402C,912.3
912.3,MTWHF,912.3-16-0-1180-1530-1725-2667-0-0-0-0_LY_5LB,ROUTE 402C,912.3
912.3,MTWHF,912.3-8-0-1180-0700-0900-2667-0-0-0-0_LY_5LB,ROUTE 402C,912.3
912.3,MTWHF,912.3-9-0-1180-0800-1000-2667-0-0-0-0_LY_5LB,ROUTE 402C,912.3
914.1,MTWHF,914.1-18-0-309-1730-1800-2668-0-0-0-0_LY_5LB,ROUTE 403D,914.1
914.1,MTWHF,914.1-8-309-617-0700-0730-2668-0-0-0-0_LY_5LB,ROUTE 403D,914.1
914.2,MTWHF,914.2-10-0-617-0900-1000-2668-0-0-0-0_LY_5LB,ROUTE 403D,914.2
914.2,MTWHF,914.2-10-0-617-0930-1030-2668-0-0-0-0_LY_5LB,ROUTE 403D,914.2
914.2,MTWHF,914.2-11-0-617-1000-1100-2668-0-0-0-0_LY_5LB,ROUTE 403D,914.2
914.2,MTWHF,914.2-11-0-617-1030-1130-2668-0-0-0-0_LY_5LB,ROUTE 403D,914.2
914.2,MTWHF,914.2-12-0-617-1100-1200-2668-0-0-0-0_LY_5LB,ROUTE 403D,914.2
914.2,MTWHF,914.2-12-0-617-1130-1230-2668-0-0-0-0_LY_5LB,ROUTE 403D,914.2
914.2,MTWHF,914.2-13-0-617-1200-1300-2668-0-0-0-0_LY_5LB,ROUTE 403D,914.2
914.2,MTWHF,914.2-13-0-617-1230-1330-2668-0-0-0-0_LY_5LB,ROUTE 403D,914.2
914.2,MTWHF,914.2-14-0-617-1300-1400-2668-0-0-0-0_LY_5LB,ROUTE 403D,914.2
914.2,MTWHF,914.2-14-0-617-1330-1430-2668-0-0-0-0_LY_5LB,ROUTE 403D,914.2
914.2,MTWHF,914.2-15-0-617-1400-1500-2668-0-0-0-0_LY_5LB,ROUTE 403D,914.2
914.2,MTWHF,914.2-15-0-617-1430-1530-2668-0-0-0-0_LY_5LB,ROUTE 403D,914.2
914.2,MTWHF,914.2-16-0-617-1500-1600-2668-0-0-0-0_LY_5LB,ROUTE 403D,914.2
914.2,MTWHF,914.2-16-0-617-1530-1630-2668-0-0-0-0_LY_5LB,ROUTE 403D,914.2
914.2,MTWHF,914.2-17-0-617-1600-1700-2668-0-0-0-0_LY_5LB,ROUTE 403D,914.2
914.2,MTWHF,914.2-17-0-617-1630-1730-2668-0-0-0-0_LY_5LB,ROUTE 403D,914.2
914.2,MTWHF,914.2-18-0-617-1700-1800-2668-0-0-0-0_LY_5LB,ROUTE 403D,914.2
914.2,MTWHF,914.2-8-0-617-0700-0800-2668-0-0-0-0_LY_5LB,ROUTE 403D,914.2
914.2,MTWHF,914.2-8-0-617-0730-0830-2668-0-0-0-0_LY_5LB,ROUTE 403D,914.2
914.2,MTWHF,914.2-9-0-617-0800-0900-2668-0-0-0-0_LY_5LB,ROUTE 403D,914.2
914.2,MTWHF,914.2-9-0-617-0830-0930-2668-0-0-0-0_LY_5LB,ROUTE 403D,914.2
