service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
20141214-1-STG,1,1,1,1,1,0,0,20171101,20180310
20150301-7-STG,0,0,0,0,0,1,0,20171101,20180310
20150301-8-STG,0,0,0,0,0,0,1,20171101,20180310
20150301-7-STG-PK,0,0,0,0,0,1,0,20180301,20180310
20150301-8-STG-PK,0,0,0,0,0,0,1,20180301,20180310
20170817-2,1,0,0,0,0,0,0,20171101,20180310
20170817-3,0,1,0,0,0,0,0,20171101,20180310
20170817-4,0,0,1,0,0,0,0,20171101,20180310
20170817-5,0,0,0,1,0,0,0,20171101,20180310
20170817-6,0,0,0,0,1,0,0,20171101,20180310
20170821-COM-2,1,0,0,0,0,0,0,20171101,20180310
20170821-COM-3,0,1,0,0,0,0,0,20171101,20180310
20170821-COM-4,0,0,1,0,0,0,0,20171101,20180310
20170821-COM-5,0,0,0,1,0,0,0,20171101,20180310
20170821-COM-6,0,0,0,0,1,0,0,20171101,20180310
20170910-1,1,1,1,1,1,0,0,20171101,20171209
20170910-7,0,0,0,0,0,1,0,20171101,20171209
20170910-8,0,0,0,0,0,0,1,20171101,20171209
20171110-MWS-WH,1,1,1,1,1,1,1,20171226,20180101
20171210-1,1,1,1,1,1,0,0,20171210,20180310
20171210-7,0,0,0,0,0,1,0,20171210,20180310
20171210-8,0,0,0,0,0,0,1,20171210,20180310
