service_id,date,exception_type
20141214-1-STG,20171110,2
20150301-8-STG,20171110,1
20170817-6,20171110,2
20170821-COM-6,20171110,2
20170817-4,20171122,2
20170910-1,20171123,2
20170910-8,20171123,1
20141214-1-STG,20171123,2
20150301-8-STG,20171123,1
20170817-5,20171123,2
20170821-COM-5,20171123,2
20170910-1,20171124,2
20170910-8,20171124,1
20141214-1-STG,20171124,2
20150301-8-STG,20171124,1
20170817-6,20171124,2
20170821-COM-6,20171124,2
20171110-MWS-WH,20171110,1
20171110-MWS-WH,20171111,1
20171110-MWS-WH,20171112,1
20171110-MWS-WH,20171123,1
20171110-MWS-WH,20171124,1
20171110-MWS-WH,20171125,1
20171110-MWS-WH,20171126,1
20141214-1-STG,20171225,2
20150301-8-STG,20171225,1
20171210-1,20171225,2
20171210-8,20171225,1
20141214-1-STG,20180101,2
20150301-8-STG,20180101,1
20171210-1,20180101,2
20171210-8,20180101,1
20141214-1-STG,20180115,2
20150301-8-STG,20180115,1
20141214-1-STG,20180219,2
20150301-8-STG,20180219,1
20171210-1,20180219,2
20171210-8,20180219,1
20170821-COM-2,20171218,2
20170821-COM-3,20171219,2
20170821-COM-4,20171220,2
20170821-COM-5,20171221,2
20170821-COM-6,20171222,2
20170821-COM-2,20171225,2
20170821-COM-3,20171226,2
20170821-COM-4,20171227,2
20170821-COM-5,20171228,2
20170821-COM-6,20171229,2
20170821-COM-2,20180101,2
20170821-COM-3,20180102,2
20170821-COM-4,20180103,2
20170821-COM-5,20180104,2
20170821-COM-6,20180105,2
20170821-COM-2,20180108,2
20170821-COM-3,20180109,2
20170821-COM-4,20180110,2
20170821-COM-5,20180111,2
20170821-COM-6,20180112,2
20170821-COM-2,20180115,2
20170821-COM-3,20180116,2
20170821-COM-4,20180117,2
20170821-COM-5,20180118,2
20170821-COM-6,20180119,2
20170821-COM-6,20180216,2
20170821-COM-2,20180219,2
20170817-2,20171225,2
20170817-3,20171226,2
20170817-4,20171227,2
20170817-5,20171228,2
20170817-6,20171229,2
20170817-2,20180101,2
20170817-3,20180102,2
20170817-4,20180103,2
20170817-5,20180104,2
20170817-6,20180105,2
20170817-2,20180115,2
20170817-2,20180219,2
20170817-3,20180220,2
20170817-4,20180221,2
20170817-5,20180222,2
20170817-6,20180223,2
