"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"1141","1","1","1","1","1","0","0","20170901","20171231"
"1142","1","1","1","1","1","0","0","20170901","20171231"
"1143","0","0","0","0","0","1","1","20170901","20171231"
"1146","1","1","1","1","1","0","0","20170901","20171231"
"1147","0","0","0","0","0","1","0","20170901","20171231"
"1148","0","0","0","0","0","0","1","20170901","20171231"
"1149","1","1","1","1","1","0","0","20170901","20171231"
"1150","1","1","1","1","1","0","0","20170901","20171231"
"1151","1","1","1","1","1","0","0","20170901","20171231"
"1152","0","0","0","0","0","1","1","20170901","20171231"
"1153","1","1","1","1","1","0","0","20170901","20171231"
"1154","0","0","0","0","0","1","1","20170901","20171231"
"1155","0","0","0","0","0","1","1","20170901","20171231"
"2000","1","1","1","1","1","0","0","20170901","20171231"
"2001","0","0","0","0","0","1","1","20170901","20171231"
"2002","1","1","1","1","1","1","1","20170901","20171231"
