"service_id","date","exception_type"
"1141","20170704","2"
"1142","20170704","2"
"1146","20170704","2"
"1149","20170704","2"
"1150","20170704","2"
"1151","20170704","2"
"1153","20170704","2"
"2000","20170704","2"
"1143","20170704","1"
"1148","20170704","1"
"1152","20170704","1"
"1154","20170704","1"
"2001","20170704","1"
"1155","20170704","1"
"3003","20170331","1"
"3003","20170330","1"
"3003","20170329","1"
"3003","20170328","1"
"3003","20170327","1"
"1148","20170402","2"
"3002","20170402","1"
"1147","20170401","2"
"3001","20170401","1"
"1146","20170331","2"
"1146","20170330","2"
"1146","20170329","2"
"1146","20170328","2"
"1146","20170327","2"
"3000","20170331","1"
"3000","20170330","1"
"3000","20170329","1"
"3000","20170328","1"
"3000","20170327","1"
"1153","20170327","2"
"1153","20170328","2"
"1153","20170329","2"
"1153","20170330","2"
"1153","20170331","2"
"3004","20170401","1"
"3004","20170402","1"
"1154","20170401","2"
"1154","20170402","2"
"3005","20170403","1"
"3005","20170404","1"
"3005","20170405","1"
"3005","20170406","1"
"3005","20170407","1"
"3005","20170410","1"
"3005","20170411","1"
"3005","20170412","1"
"3005","20170413","1"
"3005","20170414","1"
"1146","20170403","2"
"1146","20170404","2"
"1146","20170405","2"
"1146","20170406","2"
"1146","20170407","2"
"1146","20170410","2"
"1146","20170411","2"
"1146","20170412","2"
"1146","20170413","2"
"1146","20170414","2"
"3006","20170408","1"
"3006","20170415","1"
"1147","20170408","2"
"1147","20170415","2"
"3007","20170409","1"
"3007","20170416","1"
"1148","20170409","2"
"1148","20170416","2"
"3008","20170403","1"
"3008","20170404","1"
"3008","20170405","1"
"3008","20170406","1"
"3008","20170407","1"
"3008","20170410","1"
"3008","20170411","1"
"3008","20170412","1"
"3008","20170413","1"
"3008","20170414","1"
"1153","20170403","2"
"1153","20170404","2"
"1153","20170405","2"
"1153","20170406","2"
"1153","20170407","2"
"1153","20170410","2"
"1153","20170411","2"
"1153","20170412","2"
"1153","20170413","2"
"1153","20170414","2"
"3009","20170408","1"
"3009","20170409","1"
"3009","20170415","1"
"3009","20170416","1"
"1154","20170408","2"
"1154","20170409","2"
"1154","20170415","2"
"1154","20170416","2"
