timetable_id,stop_id,stop_sequence,stop_name,connected_routes
1,12550,1,Downtown Transit Center,"21/, /21RX, 22/, 23/, 24/, 25/, 26/, 27/, 29/, 30/, 31/, 32/, 33/, 34/, 36/, 37/, 38/, 39/, 41/, 42/, 43/, /MAX / ACE, /MAX / BART"
1,12551,2,I St. & 7th St.,"21/, 26/, 36/, 43/"
1,12552,3,H St. & 4th St.,"21/, /21RX, 36/, 43/"
1,12554,4,H St. & 2nd St.,"21/, /21RX, 43/"
1,12553,5,Modesto HS - Paradise Rd. & Washington St.,"21/, /21RX, 43/"
1,12555,6,Paradise Rd. & Ash St.,"21/, /21RX, 43/"
1,12556,7,Sutter Ave. & Paradise Rd.,21/
1,12557,8,Sutter Ave. & Western Way,21/
1,12558,9,Sutter Ave. & Rouse Ave.,21/
1,12559,10,Sutter Ave. & Nian Way,21/
1,12560,11,Sutter Ave. & Robertson Rd.,21/
1,12561,12,Robertson Rd. & Marseille Ln.,21/
1,12562,13,Robertson Rd & Hancock Across,21/
1,12563,14,Robertson Rd. & Marlow St.,21/
1,12564,15,Robertson Rd. & Vernon Ave.,21/
1,12565,16,Carpenter Rd. & Robertson Rd.,21/
1,12566,17,Paradise Rd. & Carpenter Rd.,21/
1,12567,18,Paradise Rd. & Vernon Ave.,21/
1,12568,19,Paradise Rd. & Pine Tree Ln.,21/
1,12569,20,Paradise Rd. & Wade Ave.,21/
1,12570,21,Paradise Rd. & Mayette Ave.,21/
1,12571,22,Paradise Rd. & Chicago Ave.,21/
1,12572,23,Paradise Rd. & Sutter Ave.,21/
1,12573,24,Paradise Rd. & Leon Ave.,"21/, /21RX"
1,12574,25,G St. & Sierra Dr. (Modesto HS),"21/, 36/"
1,12575,26,Modesto Hs - G St & 2nd St,"21/, 36/"
1,12576,27,G St. & 4th St.,"21/, 36/"
1,12577,28,7th St. & H St.,"21/, /21RX, 36/"
1,12578,29,7th St. & K St.,"21/, /21RX, 36/"
1,12550,30,Downtown Transit Center,"21/, /21RX, 22/, 23/, 24/, 25/, 26/, 27/, 29/, 30/, 31/, 32/, 33/, 34/, 36/, 37/, 38/, 39/, 41/, 42/, 43/, /MAX / ACE, /MAX / BART"
2,12550,1,Downtown Transit Center,"21/, /21RX, 22/, 23/, 24/, 25/, 26/, 27/, 29/, 30/, 31/, 32/, 33/, 34/, 36/, 37/, 38/, 39/, 41/, 42/, 43/, /MAX / ACE, /MAX / BART"
2,12551,2,I St. & 7th St.,"21/, 26/, 36/, 43/"
2,12552,3,H St. & 4th St.,"21/, /21RX, 36/, 43/"
2,12554,4,H St. & 2nd St.,"21/, /21RX, 43/"
2,12553,5,Modesto HS - Paradise Rd. & Washington St.,"21/, /21RX, 43/"
2,12555,6,Paradise Rd. & Ash St.,"21/, /21RX, 43/"
2,12556,7,Sutter Ave. & Paradise Rd.,21/
2,12557,8,Sutter Ave. & Western Way,21/
2,12558,9,Sutter Ave. & Rouse Ave.,21/
2,12559,10,Sutter Ave. & Nian Way,21/
2,12560,11,Sutter Ave. & Robertson Rd.,21/
2,12561,12,Robertson Rd. & Marseille Ln.,21/
2,12562,13,Robertson Rd & Hancock Across,21/
2,12563,14,Robertson Rd. & Marlow St.,21/
2,12564,15,Robertson Rd. & Vernon Ave.,21/
2,12565,16,Carpenter Rd. & Robertson Rd.,21/
2,12566,17,Paradise Rd. & Carpenter Rd.,21/
2,12567,18,Paradise Rd. & Vernon Ave.,21/
2,12568,19,Paradise Rd. & Pine Tree Ln.,21/
2,12569,20,Paradise Rd. & Wade Ave.,21/
2,12570,21,Paradise Rd. & Mayette Ave.,21/
2,12571,22,Paradise Rd. & Chicago Ave.,21/
2,12572,23,Paradise Rd. & Sutter Ave.,21/
2,12573,24,Paradise Rd. & Leon Ave.,"21/, /21RX"
2,12574,25,G St. & Sierra Dr. (Modesto HS),"21/, 36/"
2,12575,26,Modesto Hs - G St & 2nd St,"21/, 36/"
2,12576,27,G St. & 4th St.,"21/, 36/"
2,12577,28,7th St. & H St.,"21/, /21RX, 36/"
2,12578,29,7th St. & K St.,"21/, /21RX, 36/"
2,12550,30,Downtown Transit Center,"21/, /21RX, 22/, 23/, 24/, 25/, 26/, 27/, 29/, 30/, 31/, 32/, 33/, 34/, 36/, 37/, 38/, 39/, 41/, 42/, 43/, /MAX / ACE, /MAX / BART"
3,12550,1,Downtown Transit Center,"21/, /21RX, 22/, 23/, 24/, 25/, 26/, 27/, 29/, 30/, 31/, 32/, 33/, 34/, 36/, 37/, 38/, 39/, 41/, 42/, 43/, /MAX / ACE, /MAX / BART"
3,12551,2,I St. & 7th St.,"21/, 26/, 36/, 43/"
3,12552,3,H St. & 4th St.,"21/, /21RX, 36/, 43/"
3,12554,4,H St. & 2nd St.,"21/, /21RX, 43/"
3,12553,5,Modesto HS - Paradise Rd. & Washington St.,"21/, /21RX, 43/"
3,12555,6,Paradise Rd. & Ash St.,"21/, /21RX, 43/"
3,12556,7,Sutter Ave. & Paradise Rd.,21/
3,12557,8,Sutter Ave. & Western Way,21/
3,12558,9,Sutter Ave. & Rouse Ave.,21/
3,12559,10,Sutter Ave. & Nian Way,21/
3,12560,11,Sutter Ave. & Robertson Rd.,21/
3,12561,12,Robertson Rd. & Marseille Ln.,21/
3,12562,13,Robertson Rd & Hancock Across,21/
3,12563,14,Robertson Rd. & Marlow St.,21/
3,12564,15,Robertson Rd. & Vernon Ave.,21/
3,12565,16,Carpenter Rd. & Robertson Rd.,21/
3,12566,17,Paradise Rd. & Carpenter Rd.,21/
3,12567,18,Paradise Rd. & Vernon Ave.,21/
3,12568,19,Paradise Rd. & Pine Tree Ln.,21/
3,12569,20,Paradise Rd. & Wade Ave.,21/
3,12570,21,Paradise Rd. & Mayette Ave.,21/
3,12571,22,Paradise Rd. & Chicago Ave.,21/
3,12572,23,Paradise Rd. & Sutter Ave.,21/
3,12573,24,Paradise Rd. & Leon Ave.,"21/, /21RX"
3,12574,25,G St. & Sierra Dr. (Modesto HS),"21/, 36/"
3,12575,26,Modesto Hs - G St & 2nd St,"21/, 36/"
3,12576,27,G St. & 4th St.,"21/, 36/"
3,12577,28,7th St. & H St.,"21/, /21RX, 36/"
3,12578,29,7th St. & K St.,"21/, /21RX, 36/"
3,12550,30,Downtown Transit Center,"21/, /21RX, 22/, 23/, 24/, 25/, 26/, 27/, 29/, 30/, 31/, 32/, 33/, 34/, 36/, 37/, 38/, 39/, 41/, 42/, 43/, /MAX / ACE, /MAX / BART"
4,12550,1,Downtown Transit Center,"21/, /21RX, 22/, 23/, 24/, 25/, 26/, 27/, 29/, 30/, 31/, 32/, 33/, 34/, 36/, 37/, 38/, 39/, 41/, 42/, 43/, /MAX / ACE, /MAX / BART"
4,12551,2,I St. & 7th St.,"21/, 26/, 36/, 43/"
4,12579,3,I St. & 4th St.,26/
4,12580,4,I St. & 2nd St.,26/
4,12581,5,Vine St. & Jefferson St.,26/
4,12582,6,Madison St. & Walnut St.,26/
4,12583,7,California Ave. & MLK Dr.,26/
4,12584,8,California Ave. & Spencer Ave.,26/
4,12585,9,California Ave. & Emerald Ave.,26/
4,12586,10,California Ave. & Panama Dr.,26/
4,12587,11,Panama Dr. & Vallecito Way,26/
4,12588,12,Houser Ln. & Raymond Dr.,26/
4,12589,13,Carpenter Rd. & Houser Ln.,"26/, 36/, 43/"
4,12591,14,Central Catholic HS - Carpenter & Maze,"26/, 36/"
4,12592,15,Carpenter Rd. & Hillview Dr.,"26/, 36/"
4,12593,16,Carpenter Rd. & Elm Ave.,"26/, 36/"
4,12594,17,Carpenter Rd. & Kansas Ave.,"26/, 36/"
4,12595,18,Kansas Ave. & Lone Palm Ave.,26/
4,12596,19,Emerald Ave. & Kansas Ave.,26/
4,12597,20,Emerald Ave. & Elm Ave.,26/
4,12598,21,Emerald Ave. between Laurel & Mathia,26/
4,12599,22,Maze Blvd. & Spencer Ave.,26/
4,12600,23,Maze Blvd. & M.L.King Dr.,26/
4,12601,24,Maze Blvd. & Jefferson St.,26/
4,12602,25,L St. & 7th St.,26/
4,12550,26,Downtown Transit Center,"21/, /21RX, 22/, 23/, 24/, 25/, 26/, 27/, 29/, 30/, 31/, 32/, 33/, 34/, 36/, 37/, 38/, 39/, 41/, 42/, 43/, /MAX / ACE, /MAX / BART"
5,12550,1,Downtown Transit Center,"21/, /21RX, 22/, 23/, 24/, 25/, 26/, 27/, 29/, 30/, 31/, 32/, 33/, 34/, 36/, 37/, 38/, 39/, 41/, 42/, 43/, /MAX / ACE, /MAX / BART"
5,12551,2,I St. & 7th St.,"21/, 26/, 36/, 43/"
5,12579,3,I St. & 4th St.,26/
5,12580,4,I St. & 2nd St.,26/
5,12581,5,Vine St. & Jefferson St.,26/
5,12582,6,Madison St. & Walnut St.,26/
5,12583,7,California Ave. & MLK Dr.,26/
5,12584,8,California Ave. & Spencer Ave.,26/
5,12585,9,California Ave. & Emerald Ave.,26/
5,12586,10,California Ave. & Panama Dr.,26/
5,12587,11,Panama Dr. & Vallecito Way,26/
5,12588,12,Houser Ln. & Raymond Dr.,26/
5,12589,13,Carpenter Rd. & Houser Ln.,"26/, 36/, 43/"
5,12591,14,Central Catholic HS - Carpenter & Maze,"26/, 36/"
5,12592,15,Carpenter Rd. & Hillview Dr.,"26/, 36/"
5,12593,16,Carpenter Rd. & Elm Ave.,"26/, 36/"
5,12594,17,Carpenter Rd. & Kansas Ave.,"26/, 36/"
5,12595,18,Kansas Ave. & Lone Palm Ave.,26/
5,12596,19,Emerald Ave. & Kansas Ave.,26/
5,12597,20,Emerald Ave. & Elm Ave.,26/
5,12598,21,Emerald Ave. between Laurel & Mathia,26/
5,12599,22,Maze Blvd. & Spencer Ave.,26/
5,12600,23,Maze Blvd. & M.L.King Dr.,26/
5,12601,24,Maze Blvd. & Jefferson St.,26/
5,12602,25,L St. & 7th St.,26/
5,12550,26,Downtown Transit Center,"21/, /21RX, 22/, 23/, 24/, 25/, 26/, 27/, 29/, 30/, 31/, 32/, 33/, 34/, 36/, 37/, 38/, 39/, 41/, 42/, 43/, /MAX / ACE, /MAX / BART"
6,12550,1,Downtown Transit Center,"21/, /21RX, 22/, 23/, 24/, 25/, 26/, 27/, 29/, 30/, 31/, 32/, 33/, 34/, 36/, 37/, 38/, 39/, 41/, 42/, 43/, /MAX / ACE, /MAX / BART"
6,12551,2,I St. & 7th St.,"21/, 26/, 36/, 43/"
6,12579,3,I St. & 4th St.,26/
6,12580,4,I St. & 2nd St.,26/
6,12581,5,Vine St. & Jefferson St.,26/
6,12582,6,Madison St. & Walnut St.,26/
6,12583,7,California Ave. & MLK Dr.,26/
6,12584,8,California Ave. & Spencer Ave.,26/
6,12585,9,California Ave. & Emerald Ave.,26/
6,12586,10,California Ave. & Panama Dr.,26/
6,12587,11,Panama Dr. & Vallecito Way,26/
6,12588,12,Houser Ln. & Raymond Dr.,26/
6,12589,13,Carpenter Rd. & Houser Ln.,"26/, 36/, 43/"
6,12591,14,Central Catholic HS - Carpenter & Maze,"26/, 36/"
6,12592,15,Carpenter Rd. & Hillview Dr.,"26/, 36/"
6,12593,16,Carpenter Rd. & Elm Ave.,"26/, 36/"
6,12594,17,Carpenter Rd. & Kansas Ave.,"26/, 36/"
6,12595,18,Kansas Ave. & Lone Palm Ave.,26/
6,12596,19,Emerald Ave. & Kansas Ave.,26/
6,12597,20,Emerald Ave. & Elm Ave.,26/
6,12598,21,Emerald Ave. between Laurel & Mathia,26/
6,12599,22,Maze Blvd. & Spencer Ave.,26/
6,12600,23,Maze Blvd. & M.L.King Dr.,26/
6,12601,24,Maze Blvd. & Jefferson St.,26/
6,12602,25,L St. & 7th St.,26/
6,12550,26,Downtown Transit Center,"21/, /21RX, 22/, 23/, 24/, 25/, 26/, 27/, 29/, 30/, 31/, 32/, 33/, 34/, 36/, 37/, 38/, 39/, 41/, 42/, 43/, /MAX / ACE, /MAX / BART"
7,12550,1,Downtown Transit Center,"21/, /21RX, 22/, 23/, 24/, 25/, 26/, 27/, 29/, 30/, 31/, 32/, 33/, 34/, 36/, 37/, 38/, 39/, 41/, 42/, 43/, /MAX / ACE, /MAX / BART"
7,13158,2,J St. & 12th St.,"22/, 23/"
7,13159,3,J St. & 14th St.,"22/, 23/"
7,13160,4,J St. & 16th St.,"22/, 23/"
7,13161,5,McHenry Ave. & Jones St.,"22/, 23/"
7,13162,6,McHenry Ave. & Almond Ave.,"22/, 23/"
7,768647,7,McHenry Ave. & Morris Ave.,"22/, 23/"
7,13164,8,McHenry Ave. & Frances Ave.,"22/, 23/"
7,13165,9,McHenry Ave. & Hintze Ave.,"22/, 23/"
7,13166,10,McHenry Ave. & Fairmont Ave.,"22/, 23/"
7,13167,11,McHenry Ave. & Roseburg Ave.,"22/, 23/"
7,13168,12,McHenry Ave. & Orangeburg Ave.,"22/, 23/"
7,13169,13,McHenry Ave. & Coolidge Ave.,"22/, 23/"
7,12662,14,McHenry Village - McHenry & Granger,"22/, 23/, 24/"
7,12614,15,McHenry Ave. & Norwegian Ave.,"22/, 23/, 27/"
7,12615,16,McHenry Ave. & Tokay Ave.,"22/, 23/, 27/"
7,12616,17,McHenry Ave. & Mark Randy Pl.,"22/, 23/, 27/"
7,12617,18,McHenry Ave. & Sheila Ct.,"22/, 23/, 27/"
7,12618,19,McHenry Ave. & Floyd Ave. (Northbound),"22/, 23/, 27/"
7,12619,20,McHenry Ave. & Rumble Rd.,"22/, 23/, 27/, 37/"
7,12620,21,McHenry Ave. & Robinhood Dr.,"22/, 23/, 27/, 37/"
7,12621,22,McHenry Ave. & Sylvan Ave.,"22/, 23/, 27/"
7,12622,23,McHenry Ave. & Warren Way,"22/, 23/, 27/"
7,12623,24,McHenry Ave. & Coralwood Rd.,"22/, 23/, 27/"
