from_stop_id,to_stop_id,transfer_type
10002,10002,0
10003,10003,0
10003,10004,0
10004,10003,0
10004,10004,0
10005,10005,0
10005,10006,0
10006,10005,0
10006,10006,0
10007,10007,0
10007,10009,0
10009,10007,0
10009,10009,0
10011,10011,0
10011,10013,0
10013,10011,0
10013,10013,0
10013,10015,0
10013,10016,0
10014,10014,0
10015,10013,0
10015,10015,0
10015,10016,0
10016,10013,0
10016,10015,0
10016,10016,0
10016,10023,0
10017,10017,0
10018,10018,0
10018,10021,0
10021,10018,0
10021,10021,0
10021,10027,0
10022,10022,0
10022,10025,0
10023,10016,0
10023,10023,0
10025,10022,0
10025,10025,0
10025,10029,0
10027,10021,0
10027,10027,0
10027,10030,0
10027,10031,0
10028,10028,0
10029,10025,0
10029,10029,0
10029,10030,0
10029,10031,0
10030,10027,0
10030,10029,0
10030,10030,0
10030,10031,0
10031,10027,0
10031,10029,0
10031,10030,0
10031,10031,0
10031,10034,0
10033,10033,0
10034,10031,0
10034,10034,0
10034,10040,0
10035,10035,0
10036,10036,0
10040,10034,0
10040,10040,0
10040,10042,0
10041,10041,0
10041,10045,0
10042,10040,0
10042,10042,0
10043,10043,0
10045,10041,0
10045,10045,0
10047,10047,0
10050,10050,0
10056,10056,0
10057,10057,0
10065,10065,0
10066,10066,0
10066,10068,0
10067,10067,0
10068,10066,0
10068,10068,0
10073,10073,0
10074,10074,0
10075,10075,0
10076,10076,0
10077,10077,0
10078,10078,0
10079,10079,0
10081,10081,0
10086,10086,0
10089,10089,0
10097,10097,0
10098,10099,0
10099,10098,0
10099,10099,0
10100,10100,0
10101,10101,0
10104,10104,0
10105,10105,0
10105,10106,0
10106,10105,0
10107,10107,0
10109,10109,0
10110,10110,0
10112,10112,0
10114,10114,0
10115,10115,0
10125,10125,0
10125,10127,0
10126,10126,0
10127,10125,0
10127,10127,0
10128,10128,0
10129,10129,0
10130,10130,0
10131,10131,0
10133,10133,0
10137,10137,0
10138,10138,0
10140,10140,0
10141,10141,0
10143,10143,0
10147,10147,0
10149,10149,0
10150,10150,0
10151,10151,0
10153,10153,0
10154,10154,0
10155,10155,0
10157,10157,0
10158,10158,0
10159,10159,0
10163,10163,0
10165,10165,0
10169,10169,0
10173,10173,0
10174,10174,0
10176,10176,0
10178,10178,0
10181,10181,0
10185,10185,0
10186,10186,0
10187,10187,0
10196,10196,0
10198,10198,0
10201,10201,0
10206,10206,0
10207,10207,0
10207,10212,0
10209,10209,0
10212,10207,0
10212,10212,0
10213,10213,0
10215,10215,0
10224,10224,0
10231,10231,0
10234,10234,0
10237,10237,0
10239,10239,0
10240,10240,0
10241,10241,0
10252,10252,0
10264,10264,0
10282,10282,0
10286,10286,0
10289,10289,0
10291,10291,0
10292,10292,0
10293,10294,0
10294,10293,0
10294,10294,0
10294,10295,0
10295,10294,0
10298,10298,0
10314,10314,0
10326,10326,0
10327,10327,0
10333,10333,0
10337,10337,0
10348,10348,0
10350,10350,0
10351,10351,0
10352,10352,0
10353,10353,0
10357,10357,0
10364,10364,0
10372,10372,0
10373,10373,0
10378,10378,0
10380,10380,0
10381,10381,0
10382,10382,0
10395,10395,0
10403,10403,0
10404,10408,0
10408,10404,0
10415,10415,0
10423,10423,0
10424,10424,0
10428,10428,0
10429,10429,0
10431,10431,0
10432,10432,0
10438,10438,0
10440,10440,0
10442,10442,0
10443,10443,0
10450,10450,0
10452,10452,0
10457,10457,0
10459,10459,0
10460,10460,0
10461,10461,0
10464,10464,0
10466,10466,0
10467,10467,0
10480,10480,0
10482,10482,0
10484,10484,0
10488,10488,0
10491,10491,0
10492,10492,0
10493,10493,0
10494,10494,0
10496,10496,0
10500,10500,0
10500,10502,0
10502,10500,0
10502,10502,0
