stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0002,0002,Del Monte Center / Gate 1,,36.58463,-121.897395,,,0,
0003,0003,Del Monte Center / Gate 2,,36.584722,-121.897255,,,0,
0004,0004,Del Monte Center / Gate 3,,36.584443,-121.898955,,,0,
0006,0006,6th / Mission Street,,36.555615,-121.920754,,,0,
0011,0011,N Main / Northridge Mall,,36.716735,-121.657229,,,0,
0013,0013,Del Monte / Williams Road,,36.682644,-121.60547,,,0,
0014,0014,S Main / Plaza Circle,,36.657118,-121.659605,,,0,
0015,0015,S Main / Nissen,,36.657423,-121.659755,,,0,
0020,0020,Watsonville Transit Center / Lane 2,,36.909574,-121.759896,,,0,
0031,0031,Medical Center Dr / Hospital,,36.695592,-121.631944,,,0,
0032,0032,Medical Center Dr / Hospital,,36.695766,-121.632053,,,0,
0034,0034,Medical Center Drive / Medical Center Drive,,36.698007,-121.634628,,,0,
0036,0036,Medical Center Drive / Medical Center Drive,,36.697404,-121.635198,,,0,
0119,0119,Sunset / 17 Mile Drive,,36.615443,-121.932179,,,0,
0122,0122,Sunset / Grove Acres,,36.615897,-121.933912,,,0,
0123,0123,Asilomar / Sunset,,36.616475,-121.936015,,,0,
0125,0125,Asilomar - Conference Center,,36.619662,-121.935701,,,0,
0127,0127,Asilomar / Andril Motel,,36.621185,-121.936034,,,0,
0128,0128,Asilomar / Pico,,36.624439,-121.935622,,,0,
0129,0129,Pico / Crocker,,36.623762,-121.933884,,,0,
0131,0131,Pico / Evergreen,,36.62343,-121.932249,,,0,
0134,0134,17 Mile / Short,,36.624027,-121.928545,,,0,
0137,0137,17 Mile Drive / Lighthouse,,36.625858,-121.927739,,,0,
0144,0144,Lighthouse / Granite,,36.623189,-121.922549,,,0,
0201,0201,Lighthouse / Cedar,,36.624042,-121.92402,,,0,
0204,0204,Lighthouse / Del Monte Blvd,,36.625019,-121.926005,,,0,
0210,0210,Lighthouse / Ridge Road,,36.627132,-121.928744,,,0,
0213,0213,Lighthouse / Jewell,,36.629197,-121.930386,,,0,
0216,0216,Lighthouse / Asilomar,,36.630646,-121.931572,,,0,
0219,0219,Asilomar / PG Golf Links,,36.633445,-121.931958,,,0,
0220,0220,Del Monte / Acropolis Street,,36.633726,-121.929359,,,0,
0222,0222,Del Monte / Companion Way,,36.632674,-121.926935,,,0,
0225,0225,Del Monte / Quarterdeck,,36.631697,-121.924985,,,0,
0228,0228,Del Monte / Sea Palm,,36.628753,-121.923419,,,0,
0231,0231,Ocean View / Moss,,36.627652,-121.920748,,,0,
0234,0234,Ocean View / Recreation Trail,,36.625084,-121.917386,,,0,
0237,0237,Briggs / Griffin Senior Center,,36.624751,-121.918813,,,0,
0303,0303,Pacific / Martin St,,36.593954,-121.89817,,,0,
0305,0305,Martin / Fountain Ave,,36.593122,-121.900693,,,0,
0306,0306,Martin / # 818,,36.592651,-121.902856,,,0,
0307,0307,Via Gayuba / Via Paraiso,,36.591976,-121.906267,,,0,
0309,0309,Via Gayuba / Walter Colton,,36.590787,-121.909019,,,0,
0311,0311,Via Gayuba / Mar Vista,,36.590459,-121.911254,,,0,
0313,0313,Mar Vista / Via Ladera,,36.592361,-121.914857,,,0,
0315,0315,Skyline Dr / Mar Vista,,36.5935693,-121.9160877,,,0,
0316,0316,Skyline Dr / Forest Ridge,,36.591463,-121.917608,,,0,
0320,0320,Skyline Dr / Mar Vista,,36.5838332,-121.9122374,,,0,
0321,0321,Mar Vista / Monte Vista,,36.583757,-121.907708,,,0,
0323,0323,Monte Vista / Porta Vista,,36.584413,-121.906637,,,0,
0325,0325,Soledad Dr / Via Esperanza,,36.585274,-121.904485,,,0,
0331,0331,Iris Canyon / Monterey Hospice,,36.581504,-121.891526,,,0,
0332,0332,Glenwood Circle / Park Lane,,36.584891,-121.888998,,,0,
0334,0334,Glenwood Circle / Kimberly Place,,36.586918,-121.887037,,,0,
0336,0336,Glenwood Circle /  # 500,,36.587282,-121.884785,,,0,
0340,0340,Aguajito / Mark Thomas,,36.590572,-121.879813,,,0,
0342,0342,Allen Dr / Courthouse,,36.5891063,-121.880071,,,0,
0352,0352,Aguajito / Mark Thomas,,36.590642,-121.879723,,,0,
0354,0354,Via Lavandera / Glenwood,,36.592495,-121.882488,,,0,
0356,0356,Glenwood Circle / # 500,,36.587299,-121.884843,,,0,
0358,0358,Glenwood Circle / Kimberly Place,,36.586636,-121.887422,,,0,
0360,0360,Glenwood Circle / Monterey Pines,,36.585217,-121.888982,,,0,
0362,0362,Iris Canyon / Monterey Hospice,,36.581115,-121.89182,,,0,
0394,0394,Pacific / Buena Vista,,36.584746,-121.902765,,,0,
0399,0399,Pacific / Martin Street,,36.593281,-121.898292,,,0,
0401,0401,Carpenter / Valley Way,,36.562685,-121.915533,,,0,
0402,0402,Carpenter / 2nd,,36.560492,-121.915651,,,0,
0403,0403,Carpenter / 4th,,36.558022,-121.915571,,,0,
0404,0404,Carpenter / 6th,,36.555806,-121.915628,,,0,
0406,0406,Ocean / Santa Fe,,36.555125,-121.918274,,,0,
0408,0408,Rio Road / Crossroads,,36.53912,-121.909927,,,0,
0409,0409,Rio Rd / Carmel Center Pl,,36.538048,-121.907131,,,0,
0410,0410,Carmel Rancho Blvd / # 26535,,36.538776,-121.904778,,,0,
0411,0411,Carmel Rancho / Barnyard (Allegro's),,36.54033,-121.907565,,,0,
0412,0412,Carmel Rancho Blvd / # 26385,,36.540789,-121.904782,,,0,
