service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
B_WDSCHoff,1,1,1,1,1,0,0,20171008,20180407
B_WDSCHon,1,1,1,1,1,0,0,20171008,20180407
B_MOSCHoff,1,0,0,0,0,0,0,20171008,20180407
B_MOSCHon,1,0,0,0,0,0,0,20171008,20180407
B_TUSCHoff,0,1,0,0,0,0,0,20171008,20180407
B_TUSCHon,0,1,0,0,0,0,0,20171008,20180407
B_WESCHoff,0,0,1,0,0,0,0,20171008,20180407
B_WESCHon,0,0,1,0,0,0,0,20171008,20180407
B_THSCHoff,0,0,0,1,0,0,0,20171008,20180407
B_THSCHon,0,0,0,1,0,0,0,20171008,20180407
B_FRSCHoff,0,0,0,0,1,0,0,20171008,20180407
B_FRSCHon,0,0,0,0,1,0,0,20171008,20180407
B_TWRFSCHoff,0,1,1,1,1,0,0,20171008,20180407
B_TWRFSCHon,0,1,1,1,1,0,0,20171008,20180407
B_TRFSCHoff,0,1,0,1,1,0,0,20171008,20180407
B_TRFSCHon,0,1,0,1,1,0,0,20171008,20180407
B_MWRFSCHoff,1,0,1,1,1,0,0,20171008,20180407
B_MWRFSCHon,1,0,1,1,1,0,0,20171008,20180407
B_MTRFSCHoff,1,1,0,1,1,0,0,20171008,20180407
B_MTRFSCHon,1,1,0,1,1,0,0,20171008,20180407
B_MTWFSCHoff,1,1,1,0,1,0,0,20171008,20180407
B_MTWFSCHon,1,1,1,0,1,0,0,20171008,20180407
B_MTWRSCHoff,1,1,1,1,0,0,0,20171008,20180407
B_MTWRSCHon,1,1,1,1,0,0,0,20171008,20180407
B_SASCHoff,0,0,0,0,0,1,0,20171008,20180407
B_SUSCHoff,0,0,0,0,0,0,1,20171008,20180407
C_WDSCHoff,1,1,1,1,1,0,0,20171008,20180407
C_FRSCHoff,0,0,0,0,1,0,0,20171008,20180407
C_SASCHoff,0,0,0,0,0,1,0,20171008,20180407
C_SUSCHoff,0,0,0,0,0,0,1,20171008,20180407
C_SPECSCHoff,0,0,0,0,0,1,0,20171103,20171103
S_WDSCHoff,1,1,1,1,1,0,0,20171008,20180407
S_FRSCHoff,0,0,0,0,1,0,0,20171008,20180407
S_SASCHoff,0,0,0,0,0,1,0,20171008,20180407
S_SUSCHoff,0,0,0,0,0,0,1,20171008,20180407

