stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_code,location_type,parent_station,wheelchair_boarding,intersection_code,stop_place,reference_place,stop_name_short
10374,Gilman Dr & Myers Dr,32.876948628177,-117.235532875052,,10374,0,,1,M-TC-Bus,gilmye,,Gilman&Myers
10391,La Jolla Village Dr & Lebon Dr,32.870592454978,-117.223248031703,,10391,0,,1,F-E/B,,,LJ Vlge&Lebon
10400,La Jolla Village Dr & Regents Rd,32.871464830371,-117.217860828310,,10400,0,,1,F-E/B,,,LJ Vlge&Rgnts
10772,Gilman Dr & Myers Dr,32.877182642543,-117.235828646115,,10772,0,,1,N-W/B,gilmye,,Gilman&Myers
10793,La Jolla Village Dr & Regents Rd,32.871821317452,-117.217965717231,,10793,0,,1,N-W/B,,,LJ Vlge&Rgnts
11151,Nobel Dr & Lebon Dr,32.868600177745,-117.225287611056,,11151,0,,1,F-W/B,nobleb,,Nobel&Lebon
11538,N Torrey Pines Rd & Torrey Pines Scenic Dr,32.887474965870,-117.243837154109,,11538,0,,1,F-S/B,,,N Try Pines&Try Pines Scenic
11539,N Torrey Pines Rd & Science Park Rd South,32.906752740933,-117.243892077670,,11539,0,,1,F-S/B,,,N Try Pines&Science Park South
11541,N Torrey Pines Rd & Science Park Rd,32.901423743319,-117.242815327177,,11541,0,,1,F-S/B,,,N Try Pines&Science Park
11548,Gilman Dr & Eucalyptus Grove Ln,32.875781349314,-117.239210170063,,11548,0,,1,F-S/B,schola,,Gilman&Eucalyptus Grove
11875,N Torrey Pines Rd & Almahurst Row,32.880464664296,-117.244028320645,,11875,0,,2,F-S/B,,,N Try Pines&Almahurst Row
11876,N Torrey Pines Rd & La Jolla Shores Dr,32.874900748472,-117.243796087851,,11876,0,,1,F-S/B,torlaj,,N Try Pines&LJ Shores
11877,N Torrey Pines Rd & Salk Institute Rd,32.885786392384,-117.243958151939,,11877,0,,1,F-S/B,,,N Try Pines&Salk Institute
11882,N Torrey Pines Rd & Scripps Clinic Drwy,32.894078404998,-117.241259875517,,11882,0,,2,F-S/B,scripp,,N Try Pines&Scripps Clinic
11885,N Torrey Pines Rd & Genesee Av,32.891358939919,-117.241405148793,,11885,0,,2,F-S/B,ntrgen,,N Try Pines&Gnsee
11923,La Jolla Village Dr & Genesee Av,32.872645396322,-117.214512544615,,11923,0,,1,F-W/B,ljgenW,,LJ Vlge&Gnsee
12310,N Torrey Pines Rd & La Jolla Shores Dr,32.874644819256,-117.243493541336,,12310,0,,1,N-N/B,torlaj,,N Try Pines&LJ Shores
12311,N Torrey Pines Rd & Torrey Pines Scenic Dr,32.886533692436,-117.243653869080,,12311,0,,0,N-N/B,,,N Try Pines&Try Pines Scenic
12316,N Torrey Pines Rd & North Point Dr,32.889558246472,-117.242482692392,,12316,0,,0,F-N/B,,,N Try Pines&NPt
12320,Gilman Dr & Eucalyptus Grove Ln,32.875265520602,-117.238754883897,,12320,0,,1,N-N/B,schola,,Gilman&Eucalyptus Grove
12631,N Torrey Pines Rd & Muir College Dr,32.881349667012,-117.243689781073,,12631,0,,0,F-N/B,,,N Try Pines&Muir Coll
12634,N Torrey Pines Rd & Revelle College Dr,32.871605503110,-117.243423395434,,12634,0,,1,F-N/B,,,N Try Pines&Revelle Coll
12639,N Torrey Pines Rd & Scripps Clinic Drwy,32.895275215339,-117.241110468162,,12639,0,,0,F-N/B,scripp,,N Try Pines&Scripps Clinic
13024,Nobel Dr & La Jolla Village Square Drwy,32.867766155927,-117.231687882650,,13024,0,,1,N-E/B,noblaj,,Nobel&LJ Vlge Square
13058,Nobel Dr & La Jolla Village Square Drwy,32.868011012422,-117.231658045725,,13058,0,,1,F-W/B,noblaj,,Nobel&LJ Vlge Square
13091,VA Hospital,32.874830748360,-117.232962075036,,13091,0,,1,M-Special_Loc,vahos,,VA Hospital
13141,N Torrey Pines Rd & John J. Hopkins Dr,32.897928625627,-117.241661644664,,13141,0,,0,N-N/B,scripN,,N Try Pines&John J. Hopkins
20001,Broadway & Leslie Ln,33.148971906741,-117.090783748209,,20001,0,,1,F-N/B,,,Brdwy&Leslie
20004,Brown St & Del Valle (Las Pulgas),33.350836404287,-117.411235785746,,20004,0,,2,N-E/B,,,Brown&Del Valle (Las Pulgas)
20006,Access Rd & Px,33.223164386154,-117.395501977257,,20006,0,,0,N-E/B,cpdelN,,Access&Px
20007,Vandegrift Bl & Ash Rd,33.231845638254,-117.389372176332,,20007,0,,0,N-N/B,,,Vandegrift&Ash
20018,Division St & Grant St,33.196127036389,-117.370257604753,,20018,0,,1,N-E/B,,,Division&Grant
20020,Division St & Country Club Ln,33.197026125350,-117.365342494020,,20020,0,,1,N-E/B,osdsnN,,Division&Country Club
20022,Vista Way & Nevada St,33.173725522524,-117.356613951985,,20022,0,,2,N-E/B,,,Vista Way&Nevada
20024,Vandegrift Bl & Area 26,33.317868814223,-117.327032073069,,20024,0,,2,N-E/B,,,Vandegrift&Area 26
20025,Oceanside Bl & Industry St,33.197835583424,-117.350108646718,,20025,0,,2,N-E/B,,,Oceanside&Industry
20026,Bldg 22114 & 10th St,33.294299966514,-117.350633357640,,20026,0,,0,N-E/B,,,Bldg 22114&10th
20027,Grand Av & Madison St,33.161666472569,-117.347798781894,,20027,0,,2,N-E/B,,,Grand&Madison
20030,Grand Av & Harding St,33.162911541263,-117.345624898534,,20030,0,,1,N-E/B,,,Grand&Harding
20032,Oceanside Bl & Camelot Dr,33.200654495739,-117.344324719622,,20032,0,,1,N-E/B,,,Oceanside&Camelot
20038,Oceanside Bl & Garrison St,33.201670543834,-117.336612027949,,20038,0,,2,F-E/B,,,Oceanside&Garrison
20039,Mission Av & 3745 (Fireside St),33.223052140389,-117.334290503516,,20039,0,,1,F-E/B,,,Mission&3745 (Fireside)
20041,Mesa Dr & Garrison St,33.208641362133,-117.334341092765,,20041,0,,1,N-E/B,mesecE,,Mesa&Garrison
20045,Mission Av & El Camino Real,33.225427868301,-117.331432646948,,20045,0,,1,N-E/B,misecE,,Mission&El Cmo Real
20047,Magnolia Av & Brady Cr (Jr High),33.158408892812,-117.330347720362,,20047,0,,0,F-E/B,,,Magnolia&Brady Cr (Jr High)
20049,Sequoia & Angeles,33.347152154159,-117.322100519115,,20049,0,,2,N-E/B,,,Sequoia&Angeles
20051,Carlsbad Village Dr & Santa Clara Way,33.170575092609,-117.316866190243,,20051,0,,1,N-E/B,cvsanE,,Clsbd Vlge&Santa Clara Way
20054,Carlsbad Village Dr & Victoria Av,33.166449503117,-117.305639482816,,20054,0,,2,F-E/B,,,Clsbd Vlge&Victoria
20059,N River Rd & Redondo Dr,33.249538794363,-117.300801826579,,20059,0,,1,F-N/B,vanred,,N River&Redondo
20061,Barnard Dr & Meadow Ln,33.186712812357,-117.297371684939,,20061,0,,1,N-E/B,,,Barnard&Meadow
20063,Encinitas Bl & I-5,33.048504497072,-117.289486393612,,20063,0,,1,N-E/B,,,Encinitas&I-5
20066,Santa Fe Dr & Summit Av,33.036131725212,-117.288374055675,,20066,0,,1,N-E/B,,,Santa Fe&Summit
20067,Lake Bl & Thunder Dr,33.180104382251,-117.289003850336,,20067,0,,2,N-E/B,,,Lake&Thunder
20068,Lake Bl & Del Cerro Av,33.178492736638,-117.283866394378,,20068,0,,2,N-E/B,,,Lake&Del Cerro
