route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
Costa Mesa - San Juan Capistrano Express **,3,,46A056,1,216,http://www.octa.net/eBusBook/RoutePDF/route216.pdf,Costa Mesa - San Juan Capistrano Express ** via 405 Fwy,216
Santa Ana / Costa mesa,3,,938177,1,150,http://www.octa.net/eBusBook/RoutePDF/route150.pdf,Santa Ana / Costa mesa via Flower/ Bristol/ Raitt/ Fairview,150
Anaheim - Brea Mall,3,,938177,1,153,http://www.octa.net/eBusBook/RoutePDF/route153.pdf,Anaheim - Brea Mall via Associated - Sunkist,153
Fullerton - Newport Beach,3,,00AFF2,1,47A,http://www.octa.net/eBusBook/RoutePDF/route047.pdf,Fullerton - Newport Beach via Anaheim/Haster/Fairview,47A
Irvine - San Juan Capistrano Express **,3,,46A056,1,212,http://www.octa.net/eBusBook/RoutePDF/route212.pdf,Irvine - San Juan Capistrano Express ** via 405 Fwy,212
Brea - Irvine Express,3,,46A056,1,213,http://www.octa.net/eBusBook/RoutePDF/route213.pdf,Brea - Irvine Express via 55 Fwy,213
Huntington Beach - Irvine Express,3,,46A056,1,211,http://www.octa.net/eBusBook/RoutePDF/route211.pdf,Huntington Beach - Irvine Express via 405 Frwy,211
Cerritos - Anaheim,3,,00AFF2,1,30,http://www.octa.net/eBusBook/RoutePDF/route030.pdf,Cerritos - Anaheim via Orangethorpe Ave,30
Orange Transportation Center - St Joseph Hospital,3,,CF1429,1,453,http://www.octa.net/eBusBook/RoutePDF/route453.pdf,Orange Transportation Center - St Joseph Hospital via Chapman/Ma,453
Garden Grove - Orange Transportation Center,3,,CF1429,1,454,http://www.octa.net/eBusBook/RoutePDF/route454.pdf,Garden Grove - Orange Transportation Center via Metropolitan/Cha,454
Huntington Beach - Los Angeles Express,3,,614474,1,701,http://www.octa.net/eBusBook/RoutePDF/route701.pdf,Huntington Beach - Los Angeles Express via 405/605/105,701
La Habra - Huntington Beach,3,,00AFF2,1,29,http://www.octa.net/eBusBook/RoutePDF/route029.pdf,La Habra - Huntington Beach via Beach Blvd,29
Long Beach - Tustin,3,,00AFF2,1,60,http://www.octa.net/eBusBook/RoutePDF/route060.pdf,Long Beach - Tustin via Westminster/17th,60
Mission Viejo - Rancho Santa Margarita,3,,00AFF2,1,82,http://www.octa.net/eBusBook/RoutePDF/route082.pdf,Mission Viejo - Rancho Santa Margarita via Santa Margarita Pkwy,82
Mission Viejo - Laguna Beach,3,,00AFF2,1,89,http://www.octa.net/eBusBook/RoutePDF/route089.pdf,Mission Viejo - Laguna Beach via El Toro Road/Laguna Canyon,89
Huntington Beach - Tustin,3,,00AFF2,1,64,http://www.octa.net/eBusBook/RoutePDF/route064.pdf,Huntington Beach - Tustin via Bolsa/1st,64
Costa Mesa - Fullerton,3,,00AFF2,1,35,http://www.octa.net/eBusBook/RoutePDF/route035.pdf,Costa Mesa - Fullerton via Brookhurst St,35
Huntington Beach - Irvine,3,,00AFF2,1,66,http://www.octa.net/eBusBook/RoutePDF/route066.pdf,Huntington Beach - Irvine via McFadden/Walnut,66
Huntington Beach - Irvine,3,,938177,1,178,http://www.octa.net/eBusBook/RoutePDF/route178.pdf,Huntington Beach - Irvine via Adams/Birch/Campus,178
Foothill Ranch - Laguna Hills,3,,938177,1,177,http://www.octa.net/eBusBook/RoutePDF/route177.pdf,Foothill Ranch - Laguna Hills via Lake Forest Drive/Los Alisos,177
Anaheim - Laguna Hills Express,3,,00AFF2,1,83,http://www.octa.net/eBusBook/RoutePDF/route083.pdf,Anaheim - Laguna Hills Express via 5 Freeway,83
ARTIC - OC FAIRGROUNDS,3,,8080FF,1,650A,,OC FAIR EXPRESS - ARTIC,650A
Costa Mesa - Mission Viejo,3,,00AFF2,1,86,http://www.octa.net/eBusBook/RoutePDF/route086.pdf,Costa Mesa - Mission Viejo via Alton/Jeronimo,86
Rancho Santa Margarita - Laguna Niguel,3,,00AFF2,1,87,http://www.octa.net/eBusBook/RoutePDF/route087.pdf,Rancho Santa Margarita - Laguna Niguel via Alicia,87
Mission Viejo - Laguna Niguel,3,,00AFF2,1,85,http://www.octa.net/eBusBook/RoutePDF/route085.pdf,Mission Viejo - Laguna Niguel via Marguerite/Crown Valley,85
