"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone"
2,"2","HASTER-ORANGEWOOD",,"33.79584","-117.90631",,,,,
3,"3","HASTER-WAKEFIELD",,"33.79916","-117.90635",,,,,
4,"4","HASTER-KATELLA",,"33.80212","-117.90644",,,,,
5,"5","ANAHEIM-KATELLA",,"33.80432","-117.90637",,,,,
6,"6","ANAHEIM-CERRITOS",,"33.81093","-117.90598",,,,,
7,"7","ANAHEIM-PALAIS",,"33.81393","-117.90649",,,,,
8,"8","ANAHEIM-BALL",,"33.81772","-117.90782",,,,,
9,"9","ANAHEIM-LORRAINE",,"33.82068","-117.90887",,,,,
10,"10","ANAHEIM-VERMONT",,"33.82344","-117.90980",,,,,
11,"11","ANAHEIM-SOUTH",,"33.82660","-117.91086",,,,,
12,"12","ANAHEIM-WATER",,"33.82879","-117.91157",,,,,
13,"13","ANAHEIM-SANTA ANA",,"33.83100","-117.91232",,,,,
14,"14","ANAHEIM-BROADWAY",,"33.83322","-117.91302",,,,,
15,"15","ANAHEIM-CENTER ST PROMENADE",,"33.83502","-117.91352",,,,,
16,"16","ANAHEIM-LINCOLN",,"33.83729","-117.91433",,,,,
17,"17","ANAHEIM-SYCAMORE",,"33.83970","-117.91519",,,,,
18,"18","ANAHEIM-WILHELMINA",,"33.84192","-117.91593",,,,,
19,"19","ANAHEIM-NORTH",,"33.84413","-117.91665",,,,,
20,"20","ANAHEIM-LA VERNE",,"33.84630","-117.91761",,,,,
21,"21","ANAHEIM-NORTH",,"33.84441","-117.91698",,,,,
22,"22","ANAHEIM-WILHELMINA",,"33.84171","-117.91610",,,,,
23,"23","ANAHEIM-SYCAMORE",,"33.83951","-117.91541",,,,,
24,"24","ANAHEIM-LINCOLN",,"33.83586","-117.91418",,,,,
25,"25","ANAHEIM-BROADWAY",,"33.83370","-117.91346",,,,,
26,"26","ANAHEIM-SANTA ANA",,"33.83075","-117.91249",,,,,
27,"27","ANAHEIM-WATER",,"33.82861","-117.91177",,,,,
28,"28","ANAHEIM-SOUTH",,"33.82642","-117.91105",,,,,
30,"30","ANAHEIM-VERMONT",,"33.82275","-117.90984",,,,,
31,"31","ANAHEIM-LORRAINE",,"33.82049","-117.90930",,,,,
32,"32","ANAHEIM-BALL",,"33.81769","-117.90831",,,,,
33,"33","ANAHEIM-WINSTON",,"33.81462","-117.90715",,,,,
35,"35","ANAHEIM-CERRITOS",,"33.81076","-117.90628",,,,,
36,"36","HASTER-KATELLA",,"33.80211","-117.90679",,,,,
37,"37","HASTER-WAKEFIELD",,"33.79935","-117.90665",,,,,
38,"38","HASTER-ORANGEWOOD",,"33.79643","-117.90655",,,,,
39,"39","HASTER-CLIFFWOOD",,"33.79401","-117.90649",,,,,
40,"40","HASTER-TILLER",,"33.79164","-117.90646",,,,,
41,"41","BALL-FREMONT",,"33.81707","-118.01540",,,,,
42,"42","BALL-KNOTT",,"33.81712","-118.01006",,,,,
43,"43","BALL-MASTERS",,"33.81717","-118.00746",,,,,
44,"44","BALL-WESTERN",,"33.81721","-118.00169",,,,,
45,"45","BALL-COURTRIGHT",,"33.81723","-117.99913",,,,,
46,"46","BALL-HALLIDAY",,"33.81728","-117.99630",,,,,
47,"47","BALL-BEACH",,"33.81728","-117.99280",,,,,
49,"49","BALL-DALE",,"33.81739","-117.98420",,,,,
50,"50","BALL-MACDUFF",,"33.81739","-117.98187",,,,,
51,"51","BALL-MAGNOLIA",,"33.81748","-117.97542",,,,,
52,"52","BALL-WEBSTER",,"33.81753","-117.97056",,,,,
53,"53","BALL-GILBERT",,"33.81753","-117.96814",,,,,
54,"54","BALL-BROOKHURST",,"33.81764","-117.95932",,,,,
55,"55","BALL-EMPIRE",,"33.81768","-117.95409",,,,,
56,"56","BALL-NUTWOOD",,"33.81772","-117.94972",,,,,
57,"57","BALL-TRIDENT",,"33.81774","-117.94616",,,,,
58,"58","BALL-EUCLID",,"33.81779","-117.94081",,,,,
59,"59","BALL-LOARA",,"33.81783","-117.93687",,,,,
60,"60","BALL-HAMPSTEAD",,"33.81788","-117.93166",,,,,
61,"61","BALL-WALNUT",,"33.81802","-117.92831",,,,,
62,"62","BALL-WEST",,"33.81793","-117.92365",,,,,
63,"63","BALL-CAST",,"33.81787","-117.92101",,,,,
64,"64","BALL-HARBOR",,"33.81794","-117.91462",,,,,
65,"65","BALL-CLAREMONT",,"33.81793","-117.91110",,,,,
66,"66","BALL-ANAHEIM",,"33.81795","-117.90756",,,,,
67,"67","BALL-ALLEC",,"33.81794","-117.90253",,,,,
68,"68","BALL-LEWIS",,"33.81795","-117.89841",,,,,
69,"69","BALL-EAST",,"33.81795","-117.89570",,,,,
70,"70","BALL-SHERMAN",,"33.81796","-117.89183",,,,,
71,"71","BALL-STATE COLLEGE",,"33.81795","-117.88844",,,,,
72,"72","BALL-BELHAVEN",,"33.81795","-117.88518",,,,,
73,"73","BALL-SUNKIST",,"33.81795","-117.88085",,,,,
74,"74","BALL-SUNKIST",,"33.81819","-117.88108",,,,,
75,"75","BALL-BELHAVEN",,"33.81820","-117.88593",,,,,
76,"76","BALL-STATE COLLEGE",,"33.81819","-117.88983",,,,,
77,"77","BALL-EAST",,"33.81819","-117.89356",,,,,
78,"78","BALL-EAST",,"33.81819","-117.89592",,,,,
79,"79","BALL-LEWIS",,"33.81819","-117.89847",,,,,
80,"80","BALL-ALLEC",,"33.81819","-117.90265",,,,,
81,"81","BALL-ANAHEIM",,"33.81824","-117.90776",,,,,
82,"82","BALL-LEMON",,"33.81819","-117.91008",,,,,
83,"83","BALL-HARBOR",,"33.81824","-117.91442",,,,,
84,"84","BALL-OX",,"33.81821","-117.92077",,,,,
85,"85","BALL-FLORE",,"33.81819","-117.92395",,,,,
86,"86","BALL-WALNUT",,"33.81816","-117.92894",,,,,
87,"87","BALL-HAMPSTEAD",,"33.81810","-117.93251",,,,,
88,"88","BALL-LOARA",,"33.81805","-117.93743",,,,,
89,"89","BALL-EUCLID",,"33.81807","-117.94205",,,,,
90,"90","BALL-TRIDENT",,"33.81799","-117.94609",,,,,
91,"91","BALL-NUTWOOD",,"33.81797","-117.94986",,,,,
92,"92","BALL-EMPIRE",,"33.81791","-117.95431",,,,,
93,"93","BALL-BROOKHURST",,"33.81786","-117.95956",,,,,
94,"94","BALL-PERDIDO",,"33.81783","-117.96275",,,,,
95,"95","BALL-GILBERT",,"33.81778","-117.96804",,,,,
96,"96","BALL-WEBSTER",,"33.81775","-117.97072",,,,,
97,"97","BALL-MAGNOLIA",,"33.81770","-117.97551",,,,,
98,"98","BALL-SHERRILL",,"33.81766","-117.98000",,,,,
99,"99","BALL-DALE",,"33.81761","-117.98510",,,,,
101,"101","BALL-BEACH",,"33.81751","-117.99429",,,,,
102,"102","BALL-HALLIDAY",,"33.81750","-117.99650",,,,,
103,"103","BALL-WESTERN",,"33.81744","-118.00171",,,,,
104,"104","BALL-WESTVALE",,"33.81740","-118.00736",,,,,
105,"105","BALL-KNOTT",,"33.81735","-118.01176",,,,,
