"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id"
"1","MTUWTF",6039907,"SAN CLEMENTE - CAMINO REAL & SANTA MARGARITA",,"118","0101"
"1","MTUWTF",6039908,"SAN CLEMENTE - CAMINO REAL & SANTA MARGARITA",,"141","0101"
"1","MTUWTF",6039909,"SAN CLEMENTE - CAMINO REAL & SANTA MARGARITA",,"114","0101"
"1","MTUWTF",6039910,"SAN CLEMENTE - CAMINO REAL & SANTA MARGARITA",,"119","0101"
"1","MTUWTF",6039911,"SAN CLEMENTE - CAMINO REAL & SANTA MARGARITA",,"113","0101"
"1","MTUWTF",6039912,"SAN CLEMENTE - CAMINO REAL & SANTA MARGARITA",,"120","0101"
"1","MTUWTF",6039913,"SAN CLEMENTE - CAMINO REAL & SANTA MARGARITA",,"141","0101"
"1","MTUWTF",6039914,"SAN CLEMENTE - CAMINO REAL & SANTA MARGARITA",,"122","0101"
"1","MTUWTF",6039915,"SAN CLEMENTE - CAMINO REAL & SANTA MARGARITA",,"119","0101"
"1","MTUWTF",6039916,"SAN CLEMENTE - CAMINO REAL & SANTA MARGARITA",,"113","0101"
"1","MTUWTF",6039917,"SAN CLEMENTE - CAMINO REAL & SANTA MARGARITA",,"120","0101"
"1","MTUWTF",6039918,"SAN CLEMENTE - CAMINO REAL & SANTA MARGARITA",,"141","0101"
"1","MTUWTF",6039919,"SAN CLEMENTE - CAMINO REAL & SANTA MARGARITA",,"122","0101"
"1","MTUWTF",6039920,"METROLINK SHUTTLE",,"114","0100"
"1","MTUWTF",6039921,"NEWPORT TRANSP CENTER ",,"116","0110"
"1","MTUWTF",6039922,"METROLINK SHUTTLE",,"119","0100"
"1","MTUWTF",6039923,"NEWPORT TRANSP CENTER ",,"115","0110"
"1","MTUWTF",6039924,"METROLINK SHUTTLE",,"113","0100"
"1","MTUWTF",6039925,"METROLINK SHUTTLE",,"120","0100"
"1","MTUWTF",6039926,"NEWPORT TRANSP CENTER ",,"111","0110"
"1","MTUWTF",6039927,"METROLINK SHUTTLE",,"141","0100"
"1","MTUWTF",6039928,"NEWPORT TRANSP CENTER ",,"115","0110"
