from_stop_id,to_stop_id,transfer_type
10002,10002,0
10008,10008,0
10010,10010,0
10011,10011,0
10013,10013,0
10019,10019,0
10034,10034,0
10035,10035,0
10039,10039,0
10039,10046,0
10040,10040,0
10045,10045,0
10046,10039,0
10047,10047,0
10052,10052,0
10057,10057,0
10058,10058,0
10059,10059,0
10060,10060,0
10061,10061,0
10062,10062,0
10063,10063,0
10064,10064,0
10065,10065,0
10067,10067,0
10068,10068,0
10069,10069,0
10070,10070,0
10073,10073,0
10073,10075,0
10073,10087,0
10074,10074,0
10075,10073,0
10076,10076,0
10076,10088,0
10076,10089,0
10076,10090,0
10077,10077,0
10078,10078,0
10079,10079,0
10079,10095,0
10080,10080,0
10081,10081,0
10082,10082,0
10083,10083,0
10086,10086,0
10087,10073,0
10087,10087,0
10087,10088,0
10088,10076,0
10088,10087,0
10088,10088,0
10088,10089,0
10088,10090,0
10088,10099,0
10089,10076,0
10089,10088,0
10089,10089,0
10089,10090,0
10090,10076,0
10090,10088,0
10090,10089,0
10090,10090,0
10090,10099,0
10091,10091,0
10091,10098,0
10092,10092,0
10095,10079,0
10095,10095,0
10096,10096,0
10097,10097,0
10098,10091,0
10098,10098,0
10099,10088,0
10099,10090,0
10099,10099,0
10102,10102,0
10108,10108,0
10110,10110,0
10113,10113,0
10115,10115,0
10116,10116,0
10118,10118,0
10119,10119,0
10120,10120,0
10121,10121,0
10123,10123,0
10124,10124,0
10125,10125,0
10131,10131,0
10137,10137,0
10138,10138,0
10139,10139,0
10140,10140,0
10141,10141,0
10142,10142,0
10143,10143,0
10144,10144,0
10144,10150,0
10145,10145,0
10146,10146,0
10147,10147,0
10148,10148,0
10149,10149,0
10150,10144,0
10151,10151,0
10152,10152,0
10153,10153,0
10154,10154,0
10155,10155,0
10156,10156,0
10157,10157,0
10158,10158,0
10161,10161,0
10172,10172,0
10174,10174,0
10181,10181,0
10182,10182,0
10183,10183,0
10183,10195,0
10186,10186,0
10187,10187,0
10188,10188,0
10191,10191,0
10191,10193,0
10193,10191,0
10193,10193,0
10194,10194,0
10195,10183,0
10195,10195,0
10196,10196,0
10214,10214,0
10218,10218,0
10221,10221,0
10223,10223,0
10224,10224,0
10225,10225,0
10228,10228,0
10234,10234,0
10235,10235,0
10237,10237,0
10239,10239,0
10239,10246,0
10243,10243,0
10244,10244,0
10245,10245,0
10246,10239,0
10246,10246,0
10246,10251,0
10251,10246,0
10251,10251,0
10259,10260,0
10260,10259,0
10261,10263,0
10263,10261,0
10263,10263,0
10268,10268,0
10273,10273,0
