from_stop_id,to_stop_id,transfer_type
10039,10046,0
10046,10039,0
10073,10075,0
10073,10087,0
10075,10073,0
10076,10088,0
10076,10089,0
10076,10090,0
10079,10095,0
10087,10073,0
10087,10088,0
10088,10076,0
10088,10087,0
10088,10089,0
10088,10090,0
10088,10099,0
10089,10076,0
10089,10088,0
10089,10090,0
10090,10076,0
10090,10088,0
10090,10089,0
10090,10099,0
10091,10098,0
10095,10079,0
10098,10091,0
10099,10088,0
10099,10090,0
10144,10150,0
10150,10144,0
10183,10195,0
10191,10193,0
10193,10191,0
10195,10183,0
10239,10246,0
10246,10239,0
10246,10251,0
10251,10246,0
10259,10260,0
10260,10259,0
10261,10263,0
10263,10261,0
