trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,continuous_stops,area_id,service_area_radius
t_117069_b_2803_tn_1,06:15:00,06:15:00,785023,1,N. McDowell - Old Redwood Hwy,0,0,0,1,0,,
t_117069_b_2803_tn_1,,,785024,2,,0,0,316.324071703881,0,0,,
t_117069_b_2803_tn_1,,,785083,3,,0,0,1100.26450231539,0,0,,
t_117069_b_2803_tn_1,,,785084,4,,0,0,1325.3112069138,0,0,,
t_117069_b_2803_tn_1,,,785085,5,,0,0,1916.79406527694,0,0,,
t_117069_b_2803_tn_1,,,785086,6,,0,0,2222.66394790547,0,0,,
t_117069_b_2803_tn_1,,,785087,7,,0,0,2514.83990008797,0,0,,
t_117069_b_2803_tn_1,06:19:00,06:19:00,785088,8,,0,0,2908.77640505939,1,0,,
t_117069_b_2803_tn_1,,,2371003,9,,0,0,3190.67020062538,0,0,,
t_117069_b_2803_tn_1,,,785089,10,,0,0,3454.65298811058,0,0,,
t_117069_b_2803_tn_1,,,785090,11,,0,0,3621.79082882881,0,0,,
t_117069_b_2803_tn_1,,,785091,12,,0,0,4069.41777261945,0,0,,
t_117069_b_2803_tn_1,,,785092,13,,0,0,4616.48890468357,0,0,,
t_117069_b_2803_tn_1,,,785093,14,,0,0,5028.67371103959,0,0,,
t_117069_b_2803_tn_1,06:23:00,06:23:00,785094,15,Eastside Transit Center,0,0,5436.0584069,1,0,,
t_117069_b_2803_tn_2,07:15:00,07:15:00,785023,1,N. McDowell - Old Redwood Hwy,0,0,0,1,0,,
t_117069_b_2803_tn_2,,,785024,2,,0,0,316.324071703881,0,0,,
t_117069_b_2803_tn_2,,,785083,3,,0,0,1100.26450231539,0,0,,
t_117069_b_2803_tn_2,,,785084,4,,0,0,1325.3112069138,0,0,,
t_117069_b_2803_tn_2,,,785085,5,,0,0,1916.79406527694,0,0,,
t_117069_b_2803_tn_2,,,785086,6,,0,0,2222.66394790547,0,0,,
t_117069_b_2803_tn_2,,,785087,7,,0,0,2514.83990008797,0,0,,
t_117069_b_2803_tn_2,07:19:00,07:19:00,785088,8,,0,0,2908.77640505939,1,0,,
t_117069_b_2803_tn_2,,,2371003,9,,0,0,3190.67020062538,0,0,,
t_117069_b_2803_tn_2,,,785089,10,,0,0,3454.65298811058,0,0,,
t_117069_b_2803_tn_2,,,785090,11,,0,0,3621.79082882881,0,0,,
t_117069_b_2803_tn_2,,,785091,12,,0,0,4069.41777261945,0,0,,
t_117069_b_2803_tn_2,,,785092,13,,0,0,4616.48890468357,0,0,,
t_117069_b_2803_tn_2,,,785093,14,,0,0,5028.67371103959,0,0,,
t_117069_b_2803_tn_2,07:23:00,07:23:00,785094,15,Eastside Transit Center,0,0,5436.0584069,1,0,,
t_117069_b_2803_tn_3,08:15:00,08:15:00,785023,1,N. McDowell - Old Redwood Hwy,0,0,0,1,0,,
t_117069_b_2803_tn_3,,,785024,2,,0,0,316.324071703881,0,0,,
t_117069_b_2803_tn_3,,,785083,3,,0,0,1100.26450231539,0,0,,
