timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,route_label,service_notes,direction_label,orientation
3,2034,0,20180107,20180107,1,1,1,1,1,0,0,Route 10,Starting 1/7/18 NON-SCHOOLDAY SERVICE (Monday-Friday),North,horizontal
4,2034,1,20180107,20180107,1,1,1,1,1,0,0,Route 10,Starting 1/7/18 NON-SCHOOLDAY SERVICE (Monday-Friday),South,horizontal
7,2034,0,20180319,20180325,1,1,1,1,1,0,0,Route 10,Starting 1/7/18 NON-SCHOOLDAY SERVICE (Monday-Friday),North,horizontal
8,2034,1,20180319,20180325,1,1,1,1,1,0,0,Route 10,Starting 1/7/18 NON-SCHOOLDAY SERVICE (Monday-Friday),South,horizontal
11,2034,0,20180604,20180815,1,1,1,1,1,0,0,Route 10,Starting 1/7/18 NON-SCHOOLDAY SERVICE (Monday-Friday),North,horizontal
12,2034,1,20180604,20180815,1,1,1,1,1,0,0,Route 10,Starting 1/7/18 NON-SCHOOLDAY SERVICE (Monday-Friday),South,horizontal
19,2039,0,20180107,20180107,0,0,0,0,0,0,1,Route 11,Starting 1/7/18 NON-SCHOOLDAY SERVICE (Sunday only),East,horizontal
20,2039,0,20180107,20180107,0,0,0,0,0,1,0,Route 11,Starting 1/7/18 NON-SCHOOLDAY SERVICE (Saturday only),East,horizontal
21,2039,0,20180107,20180107,1,1,1,1,1,0,0,Route 11,Starting 1/7/18 NON-SCHOOLDAY SERVICE (Monday-Friday),East,horizontal
22,2039,1,20180107,20180107,0,0,0,0,0,0,1,Route 11,Starting 1/7/18 NON-SCHOOLDAY SERVICE (Sunday only),West,horizontal
23,2039,1,20180107,20180107,0,0,0,0,0,1,0,Route 11,Starting 1/7/18 NON-SCHOOLDAY SERVICE (Saturday only),West,horizontal
24,2039,1,20180107,20180107,1,1,1,1,1,0,0,Route 11,Starting 1/7/18 NON-SCHOOLDAY SERVICE (Monday-Friday),West,horizontal
31,2039,0,20180319,20180325,0,0,0,0,0,0,1,Route 11,Starting 1/7/18 NON-SCHOOLDAY SERVICE (Sunday only),East,horizontal
32,2039,0,20180319,20180325,0,0,0,0,0,1,0,Route 11,Starting 1/7/18 NON-SCHOOLDAY SERVICE (Saturday only),East,horizontal
33,2039,0,20180319,20180325,1,1,1,1,1,0,0,Route 11,Starting 1/7/18 NON-SCHOOLDAY SERVICE (Monday-Friday),East,horizontal
34,2039,1,20180319,20180325,0,0,0,0,0,0,1,Route 11,Starting 1/7/18 NON-SCHOOLDAY SERVICE (Sunday only),West,horizontal
35,2039,1,20180319,20180325,0,0,0,0,0,1,0,Route 11,Starting 1/7/18 NON-SCHOOLDAY SERVICE (Saturday only),West,horizontal
36,2039,1,20180319,20180325,1,1,1,1,1,0,0,Route 11,Starting 1/7/18 NON-SCHOOLDAY SERVICE (Monday-Friday),West,horizontal
43,2039,0,20180604,20180815,0,0,0,0,0,0,1,Route 11,Starting 1/7/18 NON-SCHOOLDAY SERVICE (Sunday only),East,horizontal
44,2039,0,20180604,20180815,0,0,0,0,0,1,0,Route 11,Starting 1/7/18 NON-SCHOOLDAY SERVICE (Saturday only),East,horizontal
45,2039,0,20180604,20180815,1,1,1,1,1,0,0,Route 11,Starting 1/7/18 NON-SCHOOLDAY SERVICE (Monday-Friday),East,horizontal
46,2039,1,20180604,20180815,0,0,0,0,0,0,1,Route 11,Starting 1/7/18 NON-SCHOOLDAY SERVICE (Sunday only),West,horizontal
