service_id,date,exception_type
Weekday,20171225,2
Weekday,20171226,2
Sunday,20171226,1
Weekday,20180101,2
Weekday,20180102,2
Sunday,20180102,1
Weekday,20180219,2
Sunday,20180219,1
Weekday,20180528,2
Sunday,20180528,1
Weekday,20180704,2
Weekday,20180903,2
Sunday,20180903,1
Weekday,20181112,2
Sunday,20181112,1
Weekday,20181122,2
Weekday,20181123,2
Sunday,20181123,1
Weekday,20181225,2
Weekday,20181226,2
Sunday,20181226,1
Weekday,20190101,2
Weekday,20190102,2
Sunday,20190102,1
Weekday,20190218,2
Sunday,20190218,1
Weekday,20190527,2
Sunday,20190527,1
Weekday,20190704,2
Weekday,20190902,2
Sunday,20190902,1
Weekday,20191111,2
Sunday,20191111,1
Weekday,20191128,2
Weekday,20191129,2
Sunday,20191129,1
Weekday,20191225,2
Weekday,20191226,2
Sunday,20191226,1
Weekday,20200101,2
Weekday,20200102,2
Sunday,20200102,1
Weekday,20200217,2
Sunday,20200217,1
Weekday,20200525,2
Sunday,20200525,1
Weekday,20200703,2
Weekday,20200907,2
Sunday,20200907,1
Weekday,20201111,2
Sunday,20201111,1
Weekday,20201126,2
Weekday,20201127,2
Sunday,20201127,1
Weekday,20201225,2
Weekday,20201226,2
Sunday,20201226,1
