route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1,Weekday,1a_T01,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Weekday,1a_T02,Olive Avenue (WB) & Morton Avenue (EB),0,,R1DEV
1,Weekday,1a_T03,Olive Avenue (WB) & Morton Avenue (EB),0,,R1DEV
1,Weekday,1a_T04,Olive Avenue (WB) & Morton Avenue (EB),0,,R1DEV
1,Weekday,1a_T05,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Weekday,1a_T06,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Weekday,1a_T07,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Weekday,1a_T08,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Weekday,1a_T09,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Weekday,1a_T10,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Weekday,1a_T11,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Weekday,1a_T12,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Weekday,1a_T13,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Weekday,1a_T14,Olive Avenue (WB) & Morton Avenue (EB),0,,R1DEV
1,Weekday,1a_T15,Olive Avenue (WB) & Morton Avenue (EB),0,,R1DEV
1,Weekday,1a_T16,Olive Avenue (WB) & Morton Avenue (EB),0,,R1DEV
1,Weekday,1a_T17,Olive Avenue (WB) & Morton Avenue (EB),0,,R1DEV
1,Weekday,1a_T18,Olive Avenue (WB) & Morton Avenue (EB),0,,R1DEV
1,Weekday,1a_T19,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Weekday,1a_T20,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Weekday,1a_T21,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Weekday,1a_T22,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Weekday,1a_T23,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Weekday,1a_T24,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Saturday,1b_T01,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Saturday,1b_T02,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Saturday,1b_T03,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Saturday,1b_T04,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Saturday,1b_T05,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Saturday,1b_T06,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Saturday,1b_T07,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Saturday,1b_T08,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Saturday,1b_T09,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Saturday,1b_T10,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Saturday,1b_T11,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Saturday,1b_T12,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Saturday,1b_T13,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Saturday,1b_T14,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Saturday,1b_T15,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Saturday,1b_T16,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Saturday,1b_T17,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Saturday,1b_T18,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Saturday,1b_T19,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Saturday,1b_T20,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Saturday,1b_T21,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Sunday,1c_T01,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Sunday,1c_T02,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Sunday,1c_T03,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Sunday,1c_T04,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Sunday,1c_T05,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Sunday,1c_T06,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Sunday,1c_T07,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Sunday,1c_T08,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Sunday,1c_T09,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Sunday,1c_T10,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Sunday,1c_T11,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Sunday,1c_T12,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Sunday,1c_T13,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Sunday,1c_T14,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
1,Sunday,1c_T15,Olive Avenue (WB) & Morton Avenue (EB),0,,R1
2,Weekday,2a_T01,Henderson Avenue (WB) & Westfield Avenue (EB),0,,R2
2,Weekday,2a_T02,Henderson Avenue (WB) & Westfield Avenue (EB),0,,R2DEV
2,Weekday,2a_T03,Henderson Avenue (WB) & Westfield Avenue (EB),0,,R2DEV
2,Weekday,2a_T04,Henderson Avenue (WB) & Westfield Avenue (EB),0,,R2DEV
2,Weekday,2a_T05,Henderson Avenue (WB) & Westfield Avenue (EB),0,,R2
2,Weekday,2a_T06,Henderson Avenue (WB) & Westfield Avenue (EB),0,,R2
2,Weekday,2a_T07,Henderson Avenue (WB) & Westfield Avenue (EB),0,,R2
2,Weekday,2a_T08,Henderson Avenue (WB) & Westfield Avenue (EB),0,,R2
2,Weekday,2a_T09,Henderson Avenue (WB) & Westfield Avenue (EB),0,,R2
2,Weekday,2a_T10,Henderson Avenue (WB) & Westfield Avenue (EB),0,,R2
2,Weekday,2a_T11,Henderson Avenue (WB) & Westfield Avenue (EB),0,,R2
2,Weekday,2a_T12,Henderson Avenue (WB) & Westfield Avenue (EB),0,,R2
