service_id,date,exception_type
2109,20170930,2
2109,20171007,2
2110,20171120,1
2110,20171121,1
2110,20171122,1
2110,20180102,1
2110,20180103,1
2110,20180104,1
2110,20180108,1
2111,20170901,2
2111,20170908,2
2111,20170915,2
2111,20170922,2
2111,20171006,2
2111,20171110,2
2111,20171124,2
2111,20171222,2
2111,20171229,2
2111,20180105,2
2112,20170901,1
2112,20170908,1
2112,20170915,1
2112,20170922,1
2112,20171222,1
2113,20170830,2
2113,20170906,2
2113,20170913,2
2113,20170920,2
2113,20171004,2
2113,20171122,2
2113,20171220,2
2113,20171227,2
2113,20180103,2
2114,20170930,1
2114,20171007,1
2115,20170828,1
2115,20170911,1
2115,20170918,1
2115,20171218,1
2116,20171004,1
2117,20171226,1
2117,20171227,1
2117,20171228,1
2118,20170830,1
2118,20170906,1
2118,20170913,1
2118,20170920,1
2118,20171220,1
2119,20171002,1
2120,20171009,1
2120,20171110,1
2120,20180105,1
2121,20171006,1
2122,20170828,2
2122,20170904,2
2122,20170911,2
2122,20170918,2
2122,20171002,2
2122,20171009,2
2122,20171120,2
2122,20171218,2
2122,20171225,2
2122,20180101,2
2122,20180108,2
2123,20171124,1
2123,20171229,1
2124,20171001,1
2124,20171008,1
2125,20170829,2
2125,20170831,2
2125,20170905,2
2125,20170907,2
2125,20170912,2
2125,20170914,2
2125,20170919,2
2125,20170921,2
2125,20171003,2
2125,20171005,2
2125,20171121,2
2125,20171123,2
2125,20171219,2
2125,20171221,2
2125,20171226,2
2125,20171228,2
2125,20180102,2
2125,20180104,2
2126,20171003,1
2126,20171005,1
2127,20170904,1
2127,20171001,2
2127,20171008,2
2127,20171123,1
2127,20171225,1
2127,20180101,1
2128,20170829,1
2128,20170831,1
2128,20170905,1
2128,20170907,1
2128,20170912,1
2128,20170914,1
2128,20170919,1
2128,20170921,1
2128,20171219,1
2128,20171221,1
