route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,1,1,W. Corona-UC Riverside,,3,,FFFFFF,000000
10,1,10,Riverside/Watkins-Galleria,,3,,ffffff,000000
11,1,11,Moreno Valley-March ARB,,3,,FFFFFF,000000
12,1,12,Riverside/La Cadena-Merced,,3,,ffffff,000000
13,1,13,Hunter Park Metro-Galleria,,3,,ffffff,000000
14,1,14,Galleria-Loma Linda VA,,3,,FFFFFF,000000
15,1,15,Riverside/Downtown-Merced,,3,,FFFFFF,000000
16,1,16,UCR-Moreno Valley,,3,,FFFFFF,000000
18,1,18,Mo Val College-Sunnymead,,3,,FFFFFF,000000
19,1,19,Mo Val Mall-Perris Station,,3,,ffffff,000000
19F,1,19F,Perris Station - Perris Fairgrounds,,3,,FFFFFF,000000
20,1,20,Mo Val College-Riverside,,3,,ffffff,000000
202,1,202,Murrieta-Oceanside Express,,3,,FFFFFF,000000
204,1,204,Riverside-Montclair Express,,3,,FFFFFF,000000
206,1,206,Temecula-Corona Express,,3,,FFFFFF,000000
208,1,208,Temecula-Riverside Express,,3,,ffffff,000000
21,1,21,Galleria-Country Village,,3,,FFFFFF,000000
210,1,210,Riverside-Beaumont Express,,3,,ffffff,000000
212,1,212,San Jacinto-Hemet-Riverside Express,,3,,FFFFFF,000000
216,1,216,Riverside-Orange Express,,3,,FFFFFF,000000
217,1,217,San Jacinto-Escondido Exp.,,3,,FFFFFF,000000
22,1,22,Riverside - Lake Elsinore,,3,,FFFFFF,000000
23,1,23,Temecula - Murrieta - Wildomar,,3,,ffffff,000000
24,1,24,County Center - Temecula Valley Hospital,,3,,FFFFFF,000000
26,1,26,Moreno Valley Mtrlnk-Moreno Valley Mall,,3,,FFFFFF,000000
27,1,27,Galleria-Hemet Valley Mall,,3,,FFFFFF,000000
29,1,29,Riverside-Eastvale,,3,,FFFFFF,000000
3,1,3,Corona-Norco-Eastvale,,3,,ffffff,000000
30,1,30,Weston & Strohm-Perris Station- May Ranch,,3,,FFFFFF,000000
31,1,31,Hemet - Beaumont - Moreno Valley,,3,,FFFFFF,000000
32,1,32,Hemet Valley Mall - Mount San Jacinto College,,3,,FFFFFF,000000
33,1,33,Hemet Valley Mall - Sanderson- East Hemet,,3,,FFFFFF,000000
40,1,40,Lake Elsinore - Sun City/Menifee,,3,,FFFFFF,000000
41,1,41,Mead Valley- Moreno Valley/RUMC,,3,,FFFFFF,000000
42,1,42,Hemet Valley Mall - San Jacinto - Soboba Casino,,3,,FFFFFF,000000
49,1,49,Riverside-Country Village,,3,,FFFFFF,000000
50,1,50,Jury Trolley,,3,,FFFFFF,000000
51,1,51,UCR - Canyon Crest Towne Centre,,3,,FFFFFF,000000
52,1,52,Hunter Park Metrolink Station - UCR,,3,,ffffff,000000
54,1,54,Riverside Downtown Metrolink Shuttle,,3,,FFFFFF,000000
55,1,55,Temecula Trolley,,3,,FFFFFF,000000
55555,1,55555,Perris Yard Test,,3,,ffffff,000000
61,1,61,Sun City/Menifee-Murrieta-Temecula,,3,,ffffff,000000
74,1,74,San Jacinto-Hemet-Sun City-Perris,,3,,FFFFFF,000000
77777,1,77777,Training Manual Logon,,3,,000000,ffffff
79,1,79,Hemet-Winchester-Temecula,,3,,FFFFFF,000000
8,1,8,Lake Elsinore Wildomar Loop Routes,,3,,FFFFFF,000000
88888,1,88888,Exchange/Special,,3,,000000,ffffff
9999,1,9999,TEST ROUTE,,3,,FFFFFF,000000
GOLD,1,GOLD,UCR/Corona Transit Center - Gold Line,,3,,ffffff,000000
