trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,block_name
37759070,1,2109,"UCR",,0,65465107,shp-1-05,0,0,00108
37761070,1,2109,"UCR",,0,65465107,shp-1-05,0,0,00108
37763070,1,2109,"UCR",,0,65460607,shp-1-05,0,0,00102
37765070,1,2109,"UCR",,0,65461307,shp-1-05,0,0,00105
37768070,1,2109,"UCR",,0,65461307,shp-1-05,0,0,00105
37770070,1,2109,"UCR via DT Metrolink",,0,65461807,shp-1-02,0,0,00106
37772070,1,2109,"UCR",,0,65460807,shp-1-04,0,0,00103
37773070,1,2109,"UCR via DT Metrolink",,0,65461307,shp-1-02,0,0,00105
37775070,1,2109,"UCR",,0,65461807,shp-1-05,0,0,00106
37777070,1,2109,"UCR",,0,65460807,shp-1-05,0,0,00103
37780070,1,2109,"UCR via DT Metrolink",,0,65461807,shp-1-01,0,0,00106
37782070,1,2109,"UCR",,0,65460807,shp-1-05,0,0,00103
37785070,1,2109,"UCR",,0,65460807,shp-1-04,0,0,00103
37787070,1,2109,"UCR",,0,65460507,shp-1-05,0,0,00101
37789070,1,2109,"UCR via DT Metrolink",,0,65463607,shp-1-02,0,0,00107
37792070,1,2109,"UCR",,0,65460507,shp-1-05,0,0,00101
37794070,1,2109,"UCR",,0,65463607,shp-1-05,0,0,00107
37796070,1,2109,"UCR",,0,65460607,shp-1-04,0,0,00102
37797070,1,2109,"UCR",,0,65461107,shp-1-04,0,0,00104
37799070,1,2109,"UCR",,0,65461107,shp-1-05,0,0,00104
37801070,1,2109,"UCR",,0,65465107,shp-1-05,0,0,00108
37804070,1,2109,"UCR",,0,65460607,shp-1-05,0,0,00102
37806070,1,2109,"UCR",,0,65460607,shp-1-05,0,0,00102
37808070,1,2109,"UCR via DT Metrolink",,0,65461807,shp-1-02,0,0,00106
37809070,1,2109,"UCR via DT Metrolink",,0,65461107,shp-1-03,0,0,00104
37810070,1,2109,"UCR",,0,65461107,shp-1-05,0,0,00104
37814070,1,2109,"UCR",,0,65460507,shp-1-06,0,0,00101
37816070,1,2109,"UCR",,0,65460507,shp-1-04,0,0,00101
37817070,1,2109,"UCR",,0,65463607,shp-1-04,0,0,00107
37818070,1,2109,"UCR",,0,65460807,shp-1-08,0,0,00103
37821070,1,2109,"UCR",,0,65461107,shp-1-05,0,0,00104
37758070,1,2109,"Corona 6th & Smith",,1,65460607,shp-1-5o,0,0,00102
37760070,1,2109,"Corona 6th & Smith",,1,65465107,shp-1-5g,0,0,00108
37762070,1,2109,"Corona 6th & Smith",,1,65465107,shp-1-5i,0,0,00108
37764070,1,2109,"Corona 6th & Smith",,1,65465107,shp-1-5i,0,0,00108
37766070,1,2109,"Corona 6th & Smith",,1,65461307,shp-1-5k,0,0,00105
37767070,1,2109,"Corona 6th & Smith",,1,65461307,shp-1-5n,0,0,00105
37769070,1,2109,"Corona 6th & Smith",,1,65461307,shp-1-5g,0,0,00105
37771070,1,2109,"West Corona Metrolink",,1,65460807,shp-1-5e,0,0,00103
37774070,1,2109,"Corona 6th & Smith",,1,65461307,shp-1-5g,0,0,00105
37776070,1,2109,"Corona 6th & Smith",,1,65461807,shp-1-5g,0,0,00106
37778070,1,2109,"Corona 6th & Smith",,1,65460507,shp-1-5k,0,0,00101
37779070,1,2109,"West Corona Metrolink",,1,65461807,shp-1-60,0,0,00106
37781070,1,2109,"Corona 6th & Smith",,1,65460807,shp-1-5g,0,0,00103
37783070,1,2109,"Corona 6th & Smith",,1,65460807,shp-1-5g,0,0,00103
37784070,1,2109,"Corona 6th & Smith",,1,65463607,shp-1-5j,0,0,00107
37786070,1,2109,"Corona 6th & Smith",,1,65460507,shp-1-5g,0,0,00101
37788070,1,2109,"West Corona Metrolink",,1,65460507,shp-1-5e,0,0,00101
37790070,1,2109,"Corona 6th & Smith",,1,65460607,shp-1-5j,0,0,00102
37791070,1,2109,"Corona 6th & Smith",,1,65460507,shp-1-5i,0,0,00101
37793070,1,2109,"Corona 6th & Smith",,1,65463607,shp-1-5g,0,0,00107
37795070,1,2109,"Corona 6th & Smith",,1,65463607,shp-1-5g,0,0,00107
37798070,1,2109,"Corona 6th & Smith",,1,65461107,shp-1-5g,0,0,00104
37800070,1,2109,"Corona 6th & Smith",,1,65461107,shp-1-5g,0,0,00104
37802070,1,2109,"Corona 6th & Smith",,1,65465107,shp-1-5k,0,0,00108
37803070,1,2109,"Corona 6th & Smith",,1,65460607,shp-1-5i,0,0,00102
37805070,1,2109,"Corona 6th & Smith",,1,65460607,shp-1-5g,0,0,00102
37807070,1,2109,"West Corona Metrolink",,1,65460607,shp-1-5e,0,0,00102
37811070,1,2109,"Corona 6th & Smith",,1,65461807,shp-1-5g,0,0,00106
37812070,1,2109,"Corona 6th & Smith",,1,65461807,shp-1-5g,0,0,00106
37813070,1,2109,"West Corona Metrolink",,1,65460807,shp-1-5e,0,0,00103
37815070,1,2109,"West Corona Metrolink",,1,65461107,shp-1-5e,0,0,00104
37819070,1,2109,"West Corona Metrolink",,1,65463607,shp-1-5l,0,0,00107
37820070,1,2109,"Corona 6th & Smith",,1,65461107,shp-1-5g,0,0,00104
37822070,1,2109,"Corona 6th & Smith",,1,65461807,shp-1-5j,0,0,00106
38100070,10,2109,"Big Springs & Watkins",,0,65464407,shp-10-02,0,0,01001
38102070,10,2109,"Big Springs & Watkins",,0,65464407,shp-10-02,0,0,01001
38104070,10,2109,"Big Springs & Watkins",,0,65464407,shp-10-02,0,0,01001
38106070,10,2109,"Big Springs & Watkins",,0,65464407,shp-10-02,0,0,01001
38108070,10,2109,"Big Springs & Watkins",,0,65464707,shp-10-02,0,0,01002
38110070,10,2109,"Big Springs & Watkins",,0,65464707,shp-10-02,0,0,01002
38112070,10,2109,"Big Springs & Watkins",,0,65464707,shp-10-02,0,0,01002
38114070,10,2109,"Big Springs & Watkins",,0,65464707,shp-10-02,0,0,01002
38101070,10,2109,"Galleria at Tyler Mall",,1,65464407,shp-10-51,0,0,01001
38103070,10,2109,"Galleria at Tyler Mall",,1,65464407,shp-10-51,0,0,01001
38105070,10,2109,"Galleria at Tyler Mall",,1,65464407,shp-10-51,0,0,01001
38107070,10,2109,"Galleria at Tyler Mall",,1,65464407,shp-10-51,0,0,01001
38109070,10,2109,"Galleria at Tyler Mall",,1,65464707,shp-10-51,0,0,01002
38111070,10,2109,"Galleria at Tyler Mall",,1,65464707,shp-10-51,0,0,01002
38113070,10,2109,"Galleria at Tyler Mall",,1,65464707,shp-10-51,0,0,01002
38115070,10,2109,"Galleria at Tyler Mall",,1,65464707,shp-10-51,0,0,01002
37961070,11,2109,"Counterclockwise via Frederick",,0,65465207,shp-11-01,0,0,01102
37962070,11,2109,"Counterclockwise via Frederick",,0,65465207,shp-11-01,0,0,01102
37963070,11,2109,"Counterclockwise via Frederick",,0,65465207,shp-11-01,0,0,01102
37964070,11,2109,"Counterclockwise via Frederick",,0,65465207,shp-11-01,0,0,01102
37965070,11,2109,"Counterclockwise via Frederick",,0,65465207,shp-11-01,0,0,01102
37966070,11,2109,"Counterclockwise via Frederick",,0,65465207,shp-11-01,0,0,01102
37967070,11,2109,"Counterclockwise via Frederick",,0,65465207,shp-11-01,0,0,01102
37968070,11,2109,"Counterclockwise via Frederick",,0,65465207,shp-11-01,0,0,01102
37969070,11,2109,"Counterclockwise via Frederick",,0,65465207,shp-11-01,0,0,01102
37970070,11,2109,"Counterclockwise via Frederick",,0,65465207,shp-11-01,0,0,01102
37971070,11,2109,"Counterclockwise via Frederick",,0,65465207,shp-11-01,0,0,01102
37949070,11,2109," Clockwise Loop via Ironwood",,1,65465007,shp-11-51,0,0,01101
37950070,11,2109," Clockwise Loop via Ironwood",,1,65465007,shp-11-51,0,0,01101
37951070,11,2109," Clockwise Loop via Ironwood",,1,65465007,shp-11-51,0,0,01101
37952070,11,2109," Clockwise Loop via Ironwood",,1,65465007,shp-11-51,0,0,01101
37953070,11,2109," Clockwise Loop via Ironwood",,1,65465007,shp-11-51,0,0,01101
37954070,11,2109," Clockwise Loop via Ironwood",,1,65465007,shp-11-51,0,0,01101
37955070,11,2109," Clockwise Loop via Ironwood",,1,65465007,shp-11-51,0,0,01101
