stop_lat,stop_code,stop_lon,stop_id,stop_desc,stop_name,location_type,zone_id
38.576844,1718,-121.480795,1718,Buses head EB,J ST & 19TH ST (EB),0,2
38.676251,1200,-121.271721,1200,Buses head SB,SUNRISE BLVD MALL & BIRDCAGE ST (SB),0,0
38.468941,4022,-121.419334,4022,Buses head EB,WYNDHAM DR & BRUCEVILLE RD (EB),0,0
38.468422,4020,-121.42672,4020,Buses head EB,WYNDHAM DR & VALLEY HI DR (EB),0,0
38.468525,4021,-121.423004,4021,Buses head EB,WYNDHAM DR & LINDBROOK WAY (EB),0,0
38.663521,643,-121.343666,643,Buses head EB,AUBURN BLVD & KOHLER RD (EB),0,0
38.503113,1868,-121.416599,1868,Buses head NB,75TH ST & LAWNWOOD DR (NB),0,0
38.578156,344,-121.467171,344,Buses head EB,F ST & 28TH ST (EB),0,2
38.577778,345,-121.46579,345,Buses head EB,F ST & 29TH ST (EB),0,2
38.577418,346,-121.463106,346,Buses head NB,ALHAMBRA BLVD & F ST (NB),0,2
38.58165,1659,-121.410996,1659,Buses head WB,NORTHROP AVE & BELL ST (WB),0,0
38.580589,340,-121.476379,340,Buses head EB,F ST & 21ST ST (EB),0,2
38.579918,341,-121.473869,341,Buses head EB,F ST & 23RD ST (EB),0,2
38.579247,342,-121.471253,342,Buses head EB,F ST & 25TH ST (EB),0,2
38.578533,343,-121.468582,343,Buses head EB,F ST & 27TH ST (EB),0,2
38.64632,3996,-121.48764,3996,Buses head NB,NATIONAL DR & N MARKET BLVD (NB),0,0
38.643967,3995,-121.487625,3995,Buses head NB,NATIONAL DR & NATIONAL DR (NB),0,0
38.643444,3994,-121.492142,3994,Buses head EB,NATIONAL DR & LENNANE DR (EB),0,0
38.646244,3993,-121.496437,3993,Buses head SB,SIERRA POINT DR & N MARKET BLVD (SB),0,0
38.576989,349,-121.458398,349,Buses head EB,MCKINLEY BLVD & 34TH ST (EB),0,0
38.646278,3990,-121.496231,3990,Buses head NB,SIERRA POINT DR & N MARKET BLVD (NB),0,0
38.495953,2318,-121.479622,2318,Buses head WB,FLORIN RD & WOODBINE AVE (WB),0,0
38.495915,2319,-121.483803,2319,Buses head WB,FLORIN RD & 24TH ST (WB),0,0
38.495949,2317,-121.474159,2317,Buses head WB,FLORIN RD & INDIAN LN (WB),0,0
38.496193,2314,-121.461655,2314,Buses head WB,FLORIN RD & FRANKLIN BLVD (WB),0,0
38.496044,2315,-121.46801,2315,Buses head WB,FLORIN RD & W SERENITY DR (WB),0,0
38.49622,2312,-121.452004,2312,Buses head WB,FLORIN RD & EAST PKWY (WB),0,0
38.496193,2313,-121.456078,2313,Buses head WB,FLORIN RD & BOWLING DR (WB),0,0
38.496277,2311,-121.438568,2311,Buses head WB,FLORIN RD & 65TH ST (WB),0,0
38.560837,298,-121.444145,298,Buses head WB,FOLSOM BLVD & 51ST ST (WB),0,0
38.561554,299,-121.445976,299,Buses head WB,FOLSOM BLVD & 48TH ST (WB),0,0
38.560223,297,-121.442566,297,Buses head WB,FOLSOM BLVD & RODEO WAY (WB),0,0
38.557102,294,-121.434555,294,Buses head WB,FOLSOM BLVD & 59TH ST (WB),0,0
38.558407,295,-121.437851,295,Buses head WB,FOLSOM BLVD & 57TH ST (WB),0,0
38.55468,292,-121.42823,292,Buses head WB,FOLSOM BLVD & 65TH ST (WB),0,0
38.55592,293,-121.43148,293,Buses head WB,FOLSOM BLVD & 61ST ST (WB),0,0
38.552996,290,-121.42725,290,Buses head EB,65TH ST & WEST END ISLAND 2 (EB),0,0
38.552879,291,-121.427041,291,Buses head EB,65TH ST & EAST END ISLAND 2 (EB),0,0
38.683861,3773,-121.370079,3773,Buses head EB,DON JULIO BLVD & GARLAND CT (EB),0,0
38.681122,3772,-121.372879,3772,Buses head EB,DON JULIO BLVD & BELVA WAY (EB),0,0
38.679466,3771,-121.375404,3771,Buses head EB,DON JULIO BLVD & LARRY WAY (EB),0,0
38.67889,3770,-121.37793,3770,Buses head EB,DON JULIO BLVD & BOLIVAR AVE (EB),0,0
38.694966,3777,-121.363529,3777,Buses head NB,WALERGA RD & ELKHORN BLVD (NB),0,0
38.689536,3776,-121.363601,3776,Buses head NB,WALERGA RD & DON JULIO BLVD (NB),0,0
38.688106,3775,-121.365672,3775,Buses head EB,DON JULIO BLVD & CRAIGHURST DR (EB),0,0
38.686448,3774,-121.367388,3774,Buses head EB,DON JULIO BLVD & LARCHMONT DR (EB),0,0
38.698002,3778,-121.363518,3778,Buses head NB,WALERGA RD & GALBRATH DR (NB),0,0
