block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
a_2655,026R,1,RAMONA LOT,30453,1_merged_756862,750143
a_2654,026R,1,RAMONA LOT,30453,1_merged_756862,750142
a_2656,026R,1,RAMONA LOT,30453,1_merged_756862,750141
a_2655,026R,1,RAMONA LOT,30453,1_merged_756862,750140
a_2655,026R,1,RAMONA LOT,30454,1_merged_756862,750146
a_2654,026R,1,RAMONA LOT,30454,1_merged_756862,750145
a_2656,026R,1,RAMONA LOT,30454,1_merged_756862,750144
b_5103,051,0,Florin Mall - Downtown,30131,7_merged_756866,741862
b_5101,051,0,Florin Mall - Downtown,30131,7_merged_756866,741863
b_5101,051,0,Florin Mall - Downtown,30131,7_merged_756866,741860
b_5102,051,0,Florin Mall - Downtown,30131,7_merged_756866,741861
b_5101,051,0,Florin Mall - Downtown,30131,7_merged_756866,741866
b_5102,051,0,Florin Mall - Downtown,30131,7_merged_756866,741867
b_5102,051,0,Florin Mall - Downtown,30131,7_merged_756866,741864
b_5103,051,0,Florin Mall - Downtown,30131,7_merged_756866,741865
b_5103,051,0,Florin Mall - Downtown,30131,7_merged_756866,741868
b_5101,051,0,Florin Mall - Downtown,30131,7_merged_756866,741869
a_8107,081,0,Florin - Florin Mall,29522,1_merged_756862,727899
a_8108,081,0,Florin - Florin Mall,29522,1_merged_756862,727898
a_8104,081,0,Florin - Univ/65th Light Rail,29523,1_merged_756862,727897
a_8106,081,0,Florin - Univ/65th Light Rail,29523,1_merged_756862,727896
a_8103,081,0,Florin - Univ/65th Light Rail,29523,1_merged_756862,727895
a_8107,081,0,Florin - Florin Mall,29522,1_merged_756862,727894
a_8106,081,0,Florin - Univ/65th Light Rail,29523,1_merged_756862,727893
a_8108,081,0,Florin - Florin Mall,29522,1_merged_756862,727892
a_8104,081,0,Florin - Univ/65th Light Rail,29523,1_merged_756862,727891
a_8101,081,0,Florin - Univ/65th Light Rail,29523,1_merged_756862,727890
b_2142,103,1,Watt/I-80 Light Rail - Hillsdale,30196,1_merged_756865,743982
b_6102,061,1,South Land Park - Univ/65th Light Rail,30148,1_merged_756865,742521
b_2261,103,1,Watt/I-80 Light Rail - Hillsdale,30196,1_merged_756865,743981
b_8605,103,0,Hillsdale - Watt/I-80 Light Rail,30195,1_merged_756865,743980
b_0032,519,0,,30265,1_merged_756865,744766
b_0031,519,0,,30265,1_merged_756865,744767
b_0032,519,0,,30265,1_merged_756865,744764
b_0031,519,0,,30265,1_merged_756865,744765
b_0032,519,0,,30265,1_merged_756865,744762
b_0031,519,0,,30265,1_merged_756865,744763
b_0032,519,0,,30265,1_merged_756865,744760
b_0031,519,0,,30265,1_merged_756865,744761
b_0033,519,0,,30265,1_merged_756865,744768
b_0034,519,0,,30265,1_merged_756865,744769
a_5101,051,1,Downtown - Florin Towne Centre,29483,6_merged_756864,726546
b_5101,051,0,Florin Mall - Downtown,30131,1_merged_756865,741688
