route_id,realtime_enabled,realtime_routename,realtime_routecode
14-155,1,,
16-155,1,,
17-155,1,,
18-155,1,,
19-155,1,,
24-155,1,,
25-155,1,,
28-155,1,,
29-155,1,,
35-155,1,,
37-155,1,,
38-155,1,,
39-155,1,,
46-155,1,,
49-155,1,,
53-155,1,,
54-155,1,,
55-155,1,,
56-155,1,,
57-155,1,,
58-155,1,,
59-155,1,,
60-155,1,,
61-155,1,,
62-155,1,,
67-155,1,,
68-155,1,,
72-155,1,,
73-155,1,,
78-155,1,,
79-155,1,,
80-155,1,,
81-155,1,,
82-155,1,,
83-155,1,,
84-155,1,,
85-155,1,,
86-155,1,,
87-155,1,,
88-155,1,,
95-155,1,,
110-155,1,,
112-155,1,,
118-155,1,,
120-155,1,,
121-155,1,,
122-155,1,,
130-155,1,,
131-155,1,,
133-155,1,,
140-155,1,,
141-155,1,,
250-155,1,,
251-155,1,,
256-155,1,,
260-155,1,,
261-155,1,,
270-155,1,,
273-155,1,,
274-155,1,,
275-155,1,,
276-155,1,,
278-155,1,,
280-155,1,,
281-155,1,,
286-155,1,,
292-155,1,,
294-155,1,,
295-155,1,,
296-155,1,,
297-155,1,,
397-155,1,,
398-155,1,,
399-155,1,,
ECR-155,1,,
FLXP-155,1,,
KX-155,1,,
SCS-155,1,,
SMCS-155,1,,
