trip_id,realtime_trip_id
9673940-124-A-Weekday-55,171012
9673941-124-A-Weekday-55,171010
9673942-124-A-Weekday-55,171008
9673943-124-A-Weekday-55,171002
9673944-124-A-Weekday-55,171006
9673945-124-A-Weekday-55,171014
9673946-124-A-Weekday-55,171004
9673947-124-A-Weekday-55,171022
9673948-124-A-Weekday-55,171030
9673949-124-A-Weekday-55,171032
9673950-124-A-Weekday-55,171016
9673951-124-A-Weekday-55,171026
9673952-124-A-Weekday-55,171027
9673953-124-A-Weekday-55,171031
9673954-124-A-Weekday-55,171025
9673955-124-A-Weekday-55,171029
9673956-124-A-Weekday-55,171015
9673957-124-A-Weekday-55,171019
9673958-124-A-Weekday-55,171021
9673959-124-A-Weekday-55,171023
9673960-124-A-Weekday-55,171017
9673961-124-A-Weekday-55,2201001
9673962-124-A-Weekday-55,2201003
9673963-124-A-Weekday-55,2201005
9673964-124-A-Weekday-55,2201007
9673965-124-A-Weekday-55,2201009
9673966-124-A-Weekday-55,2201011
9673967-124-A-Weekday-55,2201013
9673968-124-A-Weekday-55,2201015
9673969-124-A-Weekday-55,2201017
9673970-124-A-Weekday-55,2201019
9673971-124-A-Weekday-55,2201021
9673972-124-A-Weekday-55,2201023
9673973-124-A-Weekday-55,2201025
9673974-124-A-Weekday-55,2201027
9673975-124-A-Weekday-55,2201029
9673976-124-A-Weekday-55,2201031
9673977-124-A-Weekday-55,171020
9673978-124-A-Weekday-55,171024
9673979-124-A-Weekday-55,171028
9673980-124-A-Weekday-55,171018
9673981-124-A-Weekday-55,171013
9673982-124-A-Weekday-55,171011
9673983-124-A-Weekday-55,171009
9673984-124-A-Weekday-55,171003
9673985-124-A-Weekday-55,171001
9673986-124-A-Weekday-55,171007
9673987-124-A-Weekday-55,171005
9674012-124-A-Weekday-55-SDon,181006
9674013-124-A-Weekday-55-SDon,181009
9674014-124-A-Weekday-55-SDon,181011
9674015-124-A-Weekday-55-SDon,181008
9674016-124-A-Weekday-55-SDon,181005
9674017-124-A-Weekday-55-SDon,181001
9674018-124-A-Weekday-55-SDon,181004
9674019-124-A-Weekday-55-SDon,181002
9674027-124-A-Weekday-55-SDon-1110100,181003
9674036-124-A-Weekday-55,2521002
9674037-124-A-Weekday-55,2521004
9674038-124-A-Weekday-55,2521006
9674039-124-A-Weekday-55,2521008
9674040-124-A-Weekday-55,2521010
9674041-124-A-Weekday-55,2521012
9674042-124-A-Weekday-55,2521014
9674043-124-A-Weekday-55,2521016
9674045-124-A-Weekday-55-SDon-0101000,184007
9533291-124-A-Saturday-50,176002
9533292-124-A-Saturday-50,176004
9533293-124-A-Saturday-50,176006
9533294-124-A-Saturday-50,176008
9533295-124-A-Saturday-50,176010
9533296-124-A-Saturday-50,176012
9533297-124-A-Saturday-50,176014
9533298-124-A-Saturday-50,176016
9533299-124-A-Saturday-50,176001
9533300-124-A-Saturday-50,176003
9533301-124-A-Saturday-50,176005
9533302-124-A-Saturday-50,176007
9533303-124-A-Saturday-50,176009
9533304-124-A-Saturday-50,176011
9533305-124-A-Saturday-50,176013
9533306-124-A-Saturday-50,176015
9533321-124-A-Sunday-50,177002
9533322-124-A-Sunday-50,177004
9533323-124-A-Sunday-50,177006
9533324-124-A-Sunday-50,177008
9533325-124-A-Sunday-50,177010
9533326-124-A-Sunday-50,177012
9533327-124-A-Sunday-50,177014
9533328-124-A-Sunday-50,177016
9533329-124-A-Sunday-50,177001
9533330-124-A-Sunday-50,177003
9533331-124-A-Sunday-50,177005
9533332-124-A-Sunday-50,177007
9533333-124-A-Sunday-50,177009
9533334-124-A-Sunday-50,177011
9533335-124-A-Sunday-50,177013
9533336-124-A-Sunday-50,177015
9732002-124-A-Holiday1-51,177002
9732003-124-A-Holiday1-51,177004
9732004-124-A-Holiday1-51,177006
9732005-124-A-Holiday1-51,177008
9732006-124-A-Holiday1-51,177010
9732007-124-A-Holiday1-51,177012
9732008-124-A-Holiday1-51,177014
9732009-124-A-Holiday1-51,177016
9732010-124-A-Holiday1-51,177001
9732011-124-A-Holiday1-51,177003
9732012-124-A-Holiday1-51,177005
9732013-124-A-Holiday1-51,177007
9732014-124-A-Holiday1-51,177009
9732015-124-A-Holiday1-51,177011
9732016-124-A-Holiday1-51,177013
9732017-124-A-Holiday1-51,177015
9921838-124-C-Weekday-53,1181001
9921839-124-C-Weekday-53,1121001
9921840-124-C-Weekday-53,1121003
9921841-124-C-Weekday-53,1181003
9921842-124-C-Weekday-53,1121007
9921843-124-C-Weekday-53,1121009
9921844-124-C-Weekday-53,1121011
9921845-124-C-Weekday-53,1121013
9921846-124-C-Weekday-53,1121015
9921847-124-C-Weekday-53,1121017
9921848-124-C-Weekday-53,1121019
9921849-124-C-Weekday-53,1121021
9921850-124-C-Weekday-53,1121023
9921851-124-C-Weekday-53,1181005
9921852-124-C-Weekday-53,1121025
9921853-124-C-Weekday-53,1181007
9921854-124-C-Weekday-53,1121027
9921855-124-C-Weekday-53,1181009
9921856-124-C-Weekday-53,1121029
9921857-124-C-Weekday-53,1101007
9921858-124-C-Weekday-53,1101009
9921859-124-C-Weekday-53,1101011
9921860-124-C-Weekday-53,1101013
9921861-124-C-Weekday-53,1101015
9921862-124-C-Weekday-53,1101017
9921863-124-C-Weekday-53,1101019
9921864-124-C-Weekday-53,1101021
9921865-124-C-Weekday-53,1101023
9921866-124-C-Weekday-53,1101025
9921867-124-C-Weekday-53,1101027
9921868-124-C-Weekday-53,1101029
9921869-124-C-Weekday-53,1101031
9921870-124-C-Weekday-53,1101033
9921871-124-C-Weekday-53,1101035
9921872-124-C-Weekday-53,1101037
9921873-124-C-Weekday-53,1101039
9921874-124-C-Weekday-53,1101041
9921875-124-C-Weekday-53,1101043
9921876-124-C-Weekday-53,1101045
9921877-124-C-Weekday-53,1101047
9921878-124-C-Weekday-53,1101049
9921879-124-C-Weekday-53,1101051
9921880-124-C-Weekday-53,3981001
9921881-124-C-Weekday-53,3981003
9921882-124-C-Weekday-53,3981005
9921883-124-C-Weekday-53,3981007
9921884-124-C-Weekday-53,3981009
9921885-124-C-Weekday-53,3981011
9921886-124-C-Weekday-53,3981013
9921887-124-C-Weekday-53,3981015
9921888-124-C-Weekday-53,3981017
9921889-124-C-Weekday-53,3981019
9921890-124-C-Weekday-53,3981021
9921891-124-C-Weekday-53,3981023
9921892-124-C-Weekday-53,3981025
9921893-124-C-Weekday-53,2741002
9921894-124-C-Weekday-53,2741004
9921895-124-C-Weekday-53,2741006
9921896-124-C-Weekday-53,2741008
9921897-124-C-Weekday-53,2741010
9921898-124-C-Weekday-53,2741012
9921899-124-C-Weekday-53,2741014
9921900-124-C-Weekday-53,2741016
9921901-124-C-Weekday-53,2741018
9921902-124-C-Weekday-53,2741020
9921903-124-C-Weekday-53,2741022
9921904-124-C-Weekday-53,2741024
9921905-124-C-Weekday-53,2741026
9921906-124-C-Weekday-53,2741028
9921907-124-C-Weekday-53,2741030
9921908-124-C-Weekday-53,2741032
9921909-124-C-Weekday-53,2741034
9921910-124-C-Weekday-53,2741036
9921911-124-C-Weekday-53,2741038
9921912-124-C-Weekday-53,2741040
9921913-124-C-Weekday-53,2741042
9921914-124-C-Weekday-53,2741044
9921915-124-C-Weekday-53,2741046
9921916-124-C-Weekday-53,2741048
9921917-124-C-Weekday-53,2741050
9921918-124-C-Weekday-53,2741052
9921919-124-C-Weekday-53,2741054
9921920-124-C-Weekday-53,2741056
9921921-124-C-Weekday-53,2741060
9921922-124-C-Weekday-53,1121002
9921923-124-C-Weekday-53,3971003
9921924-124-C-Weekday-53,3971005
9921925-124-C-Weekday-53,3971007
9921926-124-C-Weekday-53,3971001
9921927-124-C-Weekday-53,2941012
9921928-124-C-Weekday-53,2941014
9921929-124-C-Weekday-53,2941016
9921930-124-C-Weekday-53,2941018
9921931-124-C-Weekday-53,2941020
9921932-124-C-Weekday-53,2941022
9921933-124-C-Weekday-53,2941024
9921934-124-C-Weekday-53,3971002
9921935-124-C-Weekday-53,3971004
9921936-124-C-Weekday-53,3971006
9921937-124-C-Weekday-53,2971008
9921938-124-C-Weekday-53,2971002
9921939-124-C-Weekday-53,2971004
9921940-124-C-Weekday-53,2971006
9921941-124-C-Weekday-53,2921007
9921942-124-C-Weekday-53,2921011
9921943-124-C-Weekday-53,2921015
9921944-124-C-Weekday-53,2921019
9921945-124-C-Weekday-53,1101002
9921946-124-C-Weekday-53,1101004
9921947-124-C-Weekday-53,1121004
9921948-124-C-Weekday-53,1181002
9921949-124-C-Weekday-53,1101006
9921950-124-C-Weekday-53,1181004
9921951-124-C-Weekday-53,1101008
9921952-124-C-Weekday-53,1121006
9921953-124-C-Weekday-53,1101010
9921954-124-C-Weekday-53,1181006
9921955-124-C-Weekday-53,1101012
9921956-124-C-Weekday-53,1121008
9921957-124-C-Weekday-53,1101014
9921958-124-C-Weekday-53,1121010
9921959-124-C-Weekday-53,1101016
9921960-124-C-Weekday-53,1121012
9921961-124-C-Weekday-53,1101018
9921962-124-C-Weekday-53,1121014
9921963-124-C-Weekday-53,1101020
9921964-124-C-Weekday-53,1121016
9921965-124-C-Weekday-53,1101024
9921966-124-C-Weekday-53,1121018
9921967-124-C-Weekday-53,1101026
9921968-124-C-Weekday-53,1121020
9921969-124-C-Weekday-53,1101028
9921970-124-C-Weekday-53,1121024
9921971-124-C-Weekday-53,1101040
9921972-124-C-Weekday-53,1101042
9921973-124-C-Weekday-53,1121026
9921974-124-C-Weekday-53,1101044
9921975-124-C-Weekday-53,1181008
9921976-124-C-Weekday-53,1101046
9921977-124-C-Weekday-53,1121028
9921978-124-C-Weekday-53,1181010
9921979-124-C-Weekday-53,1101048
9921980-124-C-Weekday-53,1121030
9921981-124-C-Weekday-53,1101050
9921982-124-C-Weekday-53,1121032
9921983-124-C-Weekday-53,1101052
9921984-124-C-Weekday-53,1101054
9921985-124-C-Weekday-53,1101056
9921986-124-C-Weekday-53,2971005
9921987-124-C-Weekday-53,2741001
9921988-124-C-Weekday-53,2741003
9921989-124-C-Weekday-53,2741005
9921990-124-C-Weekday-53,2741007
9921991-124-C-Weekday-53,2741009
9921992-124-C-Weekday-53,2741011
9921993-124-C-Weekday-53,2741013
9921994-124-C-Weekday-53,2741015
9921995-124-C-Weekday-53,3981002
9921996-124-C-Weekday-53,2741017
9921997-124-C-Weekday-53,3981004
9921998-124-C-Weekday-53,2741021
9921999-124-C-Weekday-53,2741023
9922000-124-C-Weekday-53,3981006
9922001-124-C-Weekday-53,2741025
9922002-124-C-Weekday-53,2741027
9922003-124-C-Weekday-53,3981008
9922004-124-C-Weekday-53,2741029
9922005-124-C-Weekday-53,2741031
9922006-124-C-Weekday-53,3981010
9922007-124-C-Weekday-53,2741033
9922008-124-C-Weekday-53,2741035
9922009-124-C-Weekday-53,3981012
9922010-124-C-Weekday-53,2741037
9922011-124-C-Weekday-53,2741039
9922012-124-C-Weekday-53,3981014
9922013-124-C-Weekday-53,2741041
9922014-124-C-Weekday-53,3981016
9922015-124-C-Weekday-53,2741043
9922016-124-C-Weekday-53,2741045
9922017-124-C-Weekday-53,3981018
9922018-124-C-Weekday-53,2741047
9922019-124-C-Weekday-53,2741049
9922020-124-C-Weekday-53,3981020
9922021-124-C-Weekday-53,2741051
9922022-124-C-Weekday-53,2741053
9922023-124-C-Weekday-53,3981022
9922024-124-C-Weekday-53,2741055
9922025-124-C-Weekday-53,3981024
9922026-124-C-Weekday-53,2741057
9922027-124-C-Weekday-53,3981026
9922028-124-C-Weekday-53,2741059
9922029-124-C-Weekday-53,3981028
9922030-124-C-Weekday-53,2741061
9922031-124-C-Weekday-53,2941001
9922032-124-C-Weekday-53,2941003
9922033-124-C-Weekday-53,2941005
9922034-124-C-Weekday-53,2941007
9922035-124-C-Weekday-53,2941009
9922036-124-C-Weekday-53,2741019
9922037-124-C-Weekday-53,2921046
9922038-124-C-Weekday-53,2921032
9922039-124-C-Weekday-53,2921002
9922040-124-C-Weekday-53,2921022
9922041-124-C-Weekday-53,2921042
9922042-124-C-Weekday-53,2921050
9922043-124-C-Weekday-53,2921066
9922044-124-C-Weekday-53,2921078
9922045-124-C-Weekday-53,2921088
9922046-124-C-Weekday-53,2921092
9922047-124-C-Weekday-53,2921020
9922048-124-C-Weekday-53,2921068
9922049-124-C-Weekday-53,2921010
9922050-124-C-Weekday-53,2921036
9922051-124-C-Weekday-53,2921034
9922052-124-C-Weekday-53,2921080
9922053-124-C-Weekday-53,2921074
9922054-124-C-Weekday-53,2921084
9922055-124-C-Weekday-53,2921012
9922056-124-C-Weekday-53,2921048
9922057-124-C-Weekday-53,2921040
9922058-124-C-Weekday-53,2921006
9922059-124-C-Weekday-53,2921018
9922060-124-C-Weekday-53,2921014
9922061-124-C-Weekday-53,2921044
9922062-124-C-Weekday-53,2921038
9922063-124-C-Weekday-53,2921052
9922064-124-C-Weekday-53,2921054
9922065-124-C-Weekday-53,2921062
9922066-124-C-Weekday-53,2921060
9922067-124-C-Weekday-53,2921028
