route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
17-155,124-A-Weekday-55,9673940-124-A-Weekday-55,"Linda Mar Park & Ride",171012,0,,170521
17-155,124-A-Weekday-55,9673941-124-A-Weekday-55,"Linda Mar Park & Ride",171010,0,,170520
17-155,124-A-Weekday-55,9673942-124-A-Weekday-55,"Linda Mar Park & Ride",171008,0,,170521
17-155,124-A-Weekday-55,9673943-124-A-Weekday-55,"Linda Mar Park & Ride",171002,0,,170522
17-155,124-A-Weekday-55,9673944-124-A-Weekday-55,"Linda Mar Park & Ride",171006,0,,170523
17-155,124-A-Weekday-55,9673945-124-A-Weekday-55,"Linda Mar Park & Ride",171014,0,,170520
17-155,124-A-Weekday-55,9673946-124-A-Weekday-55,"Linda Mar Park & Ride",171004,0,,170521
17-155,124-A-Weekday-55,9673947-124-A-Weekday-55,"Linda Mar Park & Ride",171022,0,,170515
17-155,124-A-Weekday-55,9673948-124-A-Weekday-55,"Linda Mar Park & Ride",171030,0,,170524
17-155,124-A-Weekday-55,9673949-124-A-Weekday-55,"Linda Mar Park & Ride",171032,0,,170516
17-155,124-A-Weekday-55,9673950-124-A-Weekday-55,"Linda Mar Park & Ride",171016,0,,170516
17-155,124-A-Weekday-55,9673951-124-A-Weekday-55,"Linda Mar Park & Ride",171026,0,,170515
17-155,124-A-Weekday-55,9673952-124-A-Weekday-55,"Moonridge Apts",171027,1,,170517
17-155,124-A-Weekday-55,9673953-124-A-Weekday-55,"Moonridge Apts",171031,1,,170517
17-155,124-A-Weekday-55,9673954-124-A-Weekday-55,"Pescadero",171025,1,,170519
17-155,124-A-Weekday-55,9673955-124-A-Weekday-55,"Moonridge Apts",171029,1,,170517
17-155,124-A-Weekday-55,9673956-124-A-Weekday-55,"Moonridge Apts",171015,1,,170518
17-155,124-A-Weekday-55,9673957-124-A-Weekday-55,"Moonridge Apts",171019,1,,170518
17-155,124-A-Weekday-55,9673958-124-A-Weekday-55,"Moonridge Apts",171021,1,,170517
17-155,124-A-Weekday-55,9673959-124-A-Weekday-55,"Moonridge Apts",171023,1,,170518
17-155,124-A-Weekday-55,9673960-124-A-Weekday-55,"Moonridge Apts",171017,1,,170517
FLXP-155,124-A-Weekday-55,9673961-124-A-Weekday-55,"Pacifica",2201001,0,,FLXP0054
FLXP-155,124-A-Weekday-55,9673962-124-A-Weekday-55,"Pacifica",2201003,0,,FLXP0054
FLXP-155,124-A-Weekday-55,9673963-124-A-Weekday-55,"Pacifica",2201005,0,,FLXP0054
FLXP-155,124-A-Weekday-55,9673964-124-A-Weekday-55,"Pacifica",2201007,0,,FLXP0054
FLXP-155,124-A-Weekday-55,9673965-124-A-Weekday-55,"Pacifica",2201009,0,,FLXP0054
FLXP-155,124-A-Weekday-55,9673966-124-A-Weekday-55,"Pacifica",2201011,0,,FLXP0054
FLXP-155,124-A-Weekday-55,9673967-124-A-Weekday-55,"Pacifica",2201013,0,,FLXP0054
FLXP-155,124-A-Weekday-55,9673968-124-A-Weekday-55,"Pacifica",2201015,0,,FLXP0054
FLXP-155,124-A-Weekday-55,9673969-124-A-Weekday-55,"Pacifica",2201017,0,,FLXP0054
FLXP-155,124-A-Weekday-55,9673970-124-A-Weekday-55,"Pacifica",2201019,0,,FLXP0054
FLXP-155,124-A-Weekday-55,9673971-124-A-Weekday-55,"Pacifica",2201021,0,,FLXP0054
FLXP-155,124-A-Weekday-55,9673972-124-A-Weekday-55,"Pacifica",2201023,0,,FLXP0054
FLXP-155,124-A-Weekday-55,9673973-124-A-Weekday-55,"Pacifica",2201025,0,,FLXP0054
FLXP-155,124-A-Weekday-55,9673974-124-A-Weekday-55,"Pacifica",2201027,0,,FLXP0054
FLXP-155,124-A-Weekday-55,9673975-124-A-Weekday-55,"Pacifica",2201029,0,,FLXP0054
FLXP-155,124-A-Weekday-55,9673976-124-A-Weekday-55,"Pacifica",2201031,0,,FLXP0054
17-155,124-A-Weekday-55,9673977-124-A-Weekday-55,"Linda Mar Park & Ride",171020,0,,170516
17-155,124-A-Weekday-55,9673978-124-A-Weekday-55,"Linda Mar Park & Ride",171024,0,,170516
17-155,124-A-Weekday-55,9673979-124-A-Weekday-55,"Linda Mar Park & Ride",171028,0,,170516
17-155,124-A-Weekday-55,9673980-124-A-Weekday-55,"Linda Mar Park & Ride",171018,0,,170515
17-155,124-A-Weekday-55,9673981-124-A-Weekday-55,"Moonridge Apts",171013,1,,170512
17-155,124-A-Weekday-55,9673982-124-A-Weekday-55,"Moonridge Apts",171011,1,,170513
17-155,124-A-Weekday-55,9673983-124-A-Weekday-55,"Moonridge Apts",171009,1,,170512
17-155,124-A-Weekday-55,9673984-124-A-Weekday-55,"Moonridge Apts",171003,1,,170512
17-155,124-A-Weekday-55,9673985-124-A-Weekday-55,"Pescadero",171001,1,,170514
17-155,124-A-Weekday-55,9673986-124-A-Weekday-55,"Moonridge Apts",171007,1,,170513
17-155,124-A-Weekday-55,9673987-124-A-Weekday-55,"Moonridge Apts",171005,1,,170512
18-155,124-A-Weekday-55-SDon,9674012-124-A-Weekday-55-SDon,"Main/7th",181006,0,,180040
18-155,124-A-Weekday-55-SDon,9674013-124-A-Weekday-55-SDon,"Miramontes/Moonridge Apts",181009,1,,180042
18-155,124-A-Weekday-55-SDon,9674014-124-A-Weekday-55-SDon,"Miramontes/Moonridge Apts",181011,1,,180042
18-155,124-A-Weekday-55-SDon,9674015-124-A-Weekday-55-SDon,"Main/7th",181008,0,,180039
18-155,124-A-Weekday-55-SDon,9674016-124-A-Weekday-55-SDon,"Main/Lewis Foster",181005,1,,180043
18-155,124-A-Weekday-55-SDon,9674017-124-A-Weekday-55-SDon,"Kelly/Church",181001,1,,180041
18-155,124-A-Weekday-55-SDon,9674018-124-A-Weekday-55-SDon,"Main/Lewis Foster",181004,0,,180035
18-155,124-A-Weekday-55-SDon,9674019-124-A-Weekday-55-SDon,"Main/Lewis Foster",181002,0,,180035
18-155,124-A-Weekday-55-SDon-1110100,9674027-124-A-Weekday-55-SDon-1110100,"Kelly/Church",181003,1,,180041
SMCS-155,124-A-Weekday-55,9674036-124-A-Weekday-55,"",2521002,1,,SMCS0005
SMCS-155,124-A-Weekday-55,9674037-124-A-Weekday-55,"",2521004,1,,SMCS0005
SMCS-155,124-A-Weekday-55,9674038-124-A-Weekday-55,"",2521006,1,,SMCS0005
SMCS-155,124-A-Weekday-55,9674039-124-A-Weekday-55,"",2521008,1,,SMCS0005
SMCS-155,124-A-Weekday-55,9674040-124-A-Weekday-55,"",2521010,1,,SMCS0005
SMCS-155,124-A-Weekday-55,9674041-124-A-Weekday-55,"",2521012,1,,SMCS0005
SMCS-155,124-A-Weekday-55,9674042-124-A-Weekday-55,"",2521014,1,,SMCS0005
SMCS-155,124-A-Weekday-55,9674043-124-A-Weekday-55,"",2521016,1,,SMCS0005
18-155,124-A-Weekday-55-SDon-0101000,9674045-124-A-Weekday-55-SDon-0101000,"Kelly/Church",184007,1,,180041
17-155,124-A-Saturday-50,9533291-124-A-Saturday-50,"Linda Mar Park & Ride",176002,0,,170509
17-155,124-A-Saturday-50,9533292-124-A-Saturday-50,"Linda Mar Park & Ride",176004,0,,170509
17-155,124-A-Saturday-50,9533293-124-A-Saturday-50,"Linda Mar Park & Ride",176006,0,,170511
17-155,124-A-Saturday-50,9533294-124-A-Saturday-50,"Linda Mar Park & Ride",176008,0,,170511
17-155,124-A-Saturday-50,9533295-124-A-Saturday-50,"Linda Mar Park & Ride",176010,0,,170511
17-155,124-A-Saturday-50,9533296-124-A-Saturday-50,"Linda Mar Park & Ride",176012,0,,170511
17-155,124-A-Saturday-50,9533297-124-A-Saturday-50,"Linda Mar Park & Ride",176014,0,,170509
17-155,124-A-Saturday-50,9533298-124-A-Saturday-50,"Linda Mar Park & Ride",176016,0,,170509
17-155,124-A-Saturday-50,9533299-124-A-Saturday-50,"Moonridge Apts",176001,1,,170508
17-155,124-A-Saturday-50,9533300-124-A-Saturday-50,"Moonridge Apts",176003,1,,170510
17-155,124-A-Saturday-50,9533301-124-A-Saturday-50,"Moonridge Apts",176005,1,,170510
17-155,124-A-Saturday-50,9533302-124-A-Saturday-50,"Moonridge Apts",176007,1,,170510
17-155,124-A-Saturday-50,9533303-124-A-Saturday-50,"Moonridge Apts",176009,1,,170510
17-155,124-A-Saturday-50,9533304-124-A-Saturday-50,"Moonridge Apts",176011,1,,170508
17-155,124-A-Saturday-50,9533305-124-A-Saturday-50,"Moonridge Apts",176013,1,,170508
17-155,124-A-Saturday-50,9533306-124-A-Saturday-50,"Moonridge Apts",176015,1,,170508
17-155,124-A-Sunday-50,9533321-124-A-Sunday-50,"Linda Mar Park & Ride",177002,0,,170509
17-155,124-A-Sunday-50,9533322-124-A-Sunday-50,"Linda Mar Park & Ride",177004,0,,170509
17-155,124-A-Sunday-50,9533323-124-A-Sunday-50,"Linda Mar Park & Ride",177006,0,,170511
17-155,124-A-Sunday-50,9533324-124-A-Sunday-50,"Linda Mar Park & Ride",177008,0,,170511
17-155,124-A-Sunday-50,9533325-124-A-Sunday-50,"Linda Mar Park & Ride",177010,0,,170511
17-155,124-A-Sunday-50,9533326-124-A-Sunday-50,"Linda Mar Park & Ride",177012,0,,170511
17-155,124-A-Sunday-50,9533327-124-A-Sunday-50,"Linda Mar Park & Ride",177014,0,,170509
17-155,124-A-Sunday-50,9533328-124-A-Sunday-50,"Linda Mar Park & Ride",177016,0,,170509
17-155,124-A-Sunday-50,9533329-124-A-Sunday-50,"Moonridge Apts",177001,1,,170508
17-155,124-A-Sunday-50,9533330-124-A-Sunday-50,"Moonridge Apts",177003,1,,170510
17-155,124-A-Sunday-50,9533331-124-A-Sunday-50,"Moonridge Apts",177005,1,,170510
17-155,124-A-Sunday-50,9533332-124-A-Sunday-50,"Moonridge Apts",177007,1,,170510
17-155,124-A-Sunday-50,9533333-124-A-Sunday-50,"Moonridge Apts",177009,1,,170510
17-155,124-A-Sunday-50,9533334-124-A-Sunday-50,"Moonridge Apts",177011,1,,170508
