route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
ONT AIRPORT-VINEYARD-CHAFFEY COLLGE,3,000000,FF0000,9029,7529,http://www.omnitrans.org/routes/list/route80.shtml,,80
CHINO HILLS-LOS SERRANOS-CHINO,3,000000,93EEE0,9029,7521,http://www.omnitrans.org/routes/list/route365.shtml,,365
SAN BDNO-MUSCOY-CSUSB,3,000000,F0CAA6,9029,7504,http://www.omnitrans.org/routes/list/route11.shtml,,11
FONTANA-BASELINE-SAN BDNO,3,000000,C0DCC0,9029,7229,http://www.omnitrans.org/routes/list/route10.shtml,,10
COLTON-DEL ROSA,3,000000,008080,9029,7228,http://www.omnitrans.org/routes/list/route1.shtml,,1
SAN BDNO-HIGHLAND,3,000000,C9C9C9,9029,7248,http://www.omnitrans.org/routes/list/route4.shtml,,4
CSUSB-DEL ROSA-SAN BDNO,3,000000,8CCC80,9029,7523,http://www.omnitrans.org/routes/list/route5.shtml,,5
GRAND TERRACE-LOMA LINDA,3,000000,A3AADE,9029,7520,http://www.omnitrans.org/routes/list/route325.shtml,,325
CHINO HILLS-LOS SERRANOS-CHINO,3,000000,93EEE0,9029,7247,http://www.omnitrans.org/routes/list/route365.shtml,,365
GRAND TERRACE-LOMA LINDA,3,000000,A3AADE,9029,7246,http://www.omnitrans.org/routes/list/route325.shtml,,325
SAN BDNO-BASELINE-HIGHLAND,3,000000,D5D500,9029,7242,http://www.omnitrans.org/routes/list/route3.shtml,,3
SAN BDNO-ONT MILLS-MONTCLAIR,3,000000,FF0000,9029,7241,http://www.omnitrans.org/routes/list/route290.shtml,,290
KAISER S.FONTANA - BLOOMINGTON,3,000000,8CCCFF,9029,7240,http://www.omnitrans.org/routes/list/route29.shtml,,29
S.ONTARIO-CAMPUS-SAN ANTONIO HOSP,3,000000,FF00FF,9029,7261,http://www.omnitrans.org/routes/list/route86.shtml,,86
CHINO-MONTCLAIR-CHAFFEY COLLGE,3,000000,60FD53,9029,7260,http://www.omnitrans.org/routes/list/route85.shtml,,85
CSUSB-DEL ROSA-SAN BDNO,3,000000,8CCC80,9029,7249,http://www.omnitrans.org/routes/list/route5.shtml,,5
CHINO HILLS-RAMONA AVE-MONTCLAIR,3,000000,1E866F,9029,7262,http://www.omnitrans.org/routes/list/route88.shtml,,88
YUCAIPA,3,000000,FFFF00,9029,7517,http://www.omnitrans.org/routes/list/route308.shtml,,308
SAN BDNO-BASELINE-HIGHLAND,3,000000,D5D500,9029,7516,http://www.omnitrans.org/routes/list/route3.shtml,,3
SAN BDNO-ONT MILLS-MONTCLAIR,3,000000,FF0000,9029,7515,http://www.omnitrans.org/routes/list/route290.shtml,,290
KAISER S.FONTANA - BLOOMINGTON,3,000000,8CCCFF,9029,7514,http://www.omnitrans.org/routes/list/route29.shtml,,29
N. RIALTO-COLTON-ARMC,3,000000,80FFFF,9029,7513,http://www.omnitrans.org/routes/list/route22.shtml,,22
RIVERSIDE-SAN BERNARDINO,3,000000,8080FF,9029,7512,http://www.omnitrans.org/routes/list/route215.shtml,,215
YUCAIPA-REDLANDS-SAN BDNO,3,000000,80CC80,9029,7511,http://www.omnitrans.org/routes/list/route208.shtml,,208
GREEN LINE,3,000000,1BE494,9029,7510,http://www.omnitrans.org/routes/list/route202.shtml,,sbX
S.ONTARIO-CAMPUS-SAN ANTONIO HOSP,3,000000,FF00FF,9029,7535,http://www.omnitrans.org/routes/list/route86.shtml,,86
CHINO-MONTCLAIR-CHAFFEY COLLGE,3,000000,60FD53,9029,7534,http://www.omnitrans.org/routes/list/route85.shtml,,85
CHINO HILLS-RAMONA AVE-MONTCLAIR,3,000000,1E866F,9029,7536,http://www.omnitrans.org/routes/list/route88.shtml,,88
RANCHO CUCAMONGA-FONTANA,3,000000,808000,9029,7531,http://www.omnitrans.org/routes/list/route82.shtml,,82
CHINO-HAVEN-CHAFFEY COLLGE,3,000000,F0CAA6,9029,7530,http://www.omnitrans.org/routes/list/route81.shtml,,81
YUCAIPA,3,000000,C6CCCC,9029,7519,http://www.omnitrans.org/routes/list/route310.shtml,,310
CHINO-EUCLID AVE-UPLAND,3,000000,84ACFF,9029,7532,http://www.omnitrans.org/routes/list/route83.shtml,,83
COLTON-DEL ROSA,3,000000,008080,9029,7502,http://www.omnitrans.org/routes/list/route1.shtml,,1
FONTANA-BASELINE-SAN BDNO,3,000000,C0DCC0,9029,7503,http://www.omnitrans.org/routes/list/route10.shtml,,10
