block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_215-1,7512,0,NB-RIVERSIDE-SAN BERNARDINO,25266,1_merged_950534,924629
b_215-2,7512,0,NB-RIVERSIDE-SAN BERNARDINO,25266,1_merged_950534,924628
b_215-1,7512,0,NB-RIVERSIDE-SAN BERNARDINO,25266,1_merged_950534,924627
b_215-2,7512,0,NB-RIVERSIDE-SAN BERNARDINO,25266,1_merged_950534,924626
b_215-1,7512,0,NB-RIVERSIDE-SAN BERNARDINO,25266,1_merged_950534,924625
b_215-1,7512,0,NB-RIVERSIDE-SAN BERNARDINO,25266,1_merged_950534,924624
b_215-2,7512,0,NB-RIVERSIDE-SAN BERNARDINO,25266,1_merged_950534,924623
b_215-3,7512,0,NB-RIVERSIDE-SAN BERNARDINO,25266,1_merged_950534,924622
b_215-2,7512,0,NB-RIVERSIDE-SAN BERNARDINO,25266,1_merged_950534,924621
b_215-1,7512,0,NB-RIVERSIDE-SAN BERNARDINO,25266,1_merged_950534,924620
b_365-2,7521,1,SB-CHINO HILLS-LOS SERRANOS-CHINO,25291,3_merged_950535,925390
b_365-1,7521,1,SB-CHINO HILLS-LOS SERRANOS-CHINO,25291,3_merged_950535,925391
a_20-1,7235,0,NB-FONTANA-KAISER-S. FONTANA,24390,1_merged_950531,891929
a_20-1,7235,1,SB-FONTANA-KAISER-S. FONTANA,24391,3_merged_950532,891928
b_365-2,7521,1,SB-CHINO HILLS-LOS SERRANOS-CHINO,25291,3_merged_950535,925394
b_365-1,7521,1,SB-CHINO HILLS-LOS SERRANOS-CHINO,25291,3_merged_950535,925395
b_365-2,7521,1,SB-CHINO HILLS-LOS SERRANOS-CHINO,25291,3_merged_950535,925396
b_365-1,7521,0,NB-CHINO HILLS-LOS SERRANOS-CHINO,25287,1_merged_950534,925397
a_20-1,7235,1,SB-FONTANA-KAISER-S. FONTANA,24391,3_merged_950532,891923
a_20-1,7235,1,SB-FONTANA-KAISER-S. FONTANA,24391,3_merged_950532,891922
a_20-1,7235,1,SB-FONTANA-KAISER-S. FONTANA,24391,3_merged_950532,891921
a_20-1,7235,1,SB-FONTANA-KAISER-S. FONTANA,24391,3_merged_950532,891920
