service_id,date,exception_type,exception_note,schedule_type
65339-0000001-0,20170903,1,FINAL,SU
65354-0000001-0,20170903,1,FINAL,SU
6535425-0000001-25,20170903,1,FINAL 904 Summer,SU
65401-0000001-0,20170903,1,PRODUCTION,SU
65385-0000001-0,20170903,1,Schedule #107,SU
65339-0000001-0,20170904,1,FINAL,SU
65354-0000001-0,20170904,1,FINAL,SU
6535425-0000001-25,20170904,1,FINAL 904 Summer,SU
65402-0000001-0,20170904,1,PRODUCTION - HOLIDAY,SU
65385-0000001-0,20170904,1,Schedule #107,SU
65334-1111100-0,20170905,1,FINAL,WD
6533427-1111100-27,20170905,1,FINAL Grossmont College,WD
65353-1111100-0,20170905,1,FINAL,WD
65337-1111100-0,20170905,1,FINAL,WD
65356-1111100-0,20170905,1,FINAL,WD
6535619-1111100-19,20170905,1,FINAL Southwestern College,WD
65333-1111100-0,20170905,1,FINAL,WD
65340-1111100-0,20170905,1,FINAL,WD
653407-1111100-7,20170905,1,FINAL Rural 888,WD
65399-1111100-0,20170905,1,PRODUCTION,WD
6539915-1111100-15,20170905,1,PRODUCTION SD Mesa College,WD
65383-1111100-0,20170905,1,Schedule #107,WD
65334-1111100-0,20170906,1,FINAL,WD
6533427-1111100-27,20170906,1,FINAL Grossmont College,WD
65353-1111100-0,20170906,1,FINAL,WD
65337-1111100-0,20170906,1,FINAL,WD
65356-1111100-0,20170906,1,FINAL,WD
6535619-1111100-19,20170906,1,FINAL Southwestern College,WD
65333-1111100-0,20170906,1,FINAL,WD
65340-1111100-0,20170906,1,FINAL,WD
65399-1111100-0,20170906,1,PRODUCTION,WD
6539915-1111100-15,20170906,1,PRODUCTION SD Mesa College,WD
65383-1111100-0,20170906,1,Schedule #107,WD
65334-1111100-0,20170907,1,FINAL,WD
6533427-1111100-27,20170907,1,FINAL Grossmont College,WD
65353-1111100-0,20170907,1,FINAL,WD
65337-1111100-0,20170907,1,FINAL,WD
65356-1111100-0,20170907,1,FINAL,WD
6535619-1111100-19,20170907,1,FINAL Southwestern College,WD
65333-1111100-0,20170907,1,FINAL,WD
65340-1111100-0,20170907,1,FINAL,WD
6534011-1111100-11,20170907,1,FINAL Rural 892,WD
65399-1111100-0,20170907,1,PRODUCTION,WD
6539915-1111100-15,20170907,1,PRODUCTION SD Mesa College,WD
65383-1111100-0,20170907,1,Schedule #107,WD
65334-1111100-0,20170908,1,FINAL,WD
6533427-1111100-27,20170908,1,FINAL Grossmont College,WD
65353-1111100-0,20170908,1,FINAL,WD
65337-1111100-0,20170908,1,FINAL,WD
65356-1111100-0,20170908,1,FINAL,WD
6535619-1111100-19,20170908,1,FINAL Southwestern College,WD
65333-1111100-0,20170908,1,FINAL,WD
65340-1111100-0,20170908,1,FINAL,WD
653407-1111100-7,20170908,1,FINAL Rural 888,WD
653409-1111100-9,20170908,1,FINAL Rural 891,WD
65399-1111100-0,20170908,1,PRODUCTION,WD
6539915-1111100-15,20170908,1,PRODUCTION SD Mesa College,WD
65383-1111100-0,20170908,1,Schedule #107,WD
65335-0000010-0,20170909,1,FINAL,SA
65338-0000010-0,20170909,1,FINAL,SA
65355-0000010-0,20170909,1,FINAL,SA
65400-0000010-0,20170909,1,PRODUCTION,SA
65384-0000010-0,20170909,1,Schedule #107,SA
65339-0000001-0,20170910,1,FINAL,SU
65354-0000001-0,20170910,1,FINAL,SU
65401-0000001-0,20170910,1,PRODUCTION,SU
65385-0000001-0,20170910,1,Schedule #107,SU
65334-1111100-0,20170911,1,FINAL,WD
6533427-1111100-27,20170911,1,FINAL Grossmont College,WD
65353-1111100-0,20170911,1,FINAL,WD
65337-1111100-0,20170911,1,FINAL,WD
65356-1111100-0,20170911,1,FINAL,WD
6535619-1111100-19,20170911,1,FINAL Southwestern College,WD
65333-1111100-0,20170911,1,FINAL,WD
65340-1111100-0,20170911,1,FINAL,WD
653407-1111100-7,20170911,1,FINAL Rural 888,WD
65399-1111100-0,20170911,1,PRODUCTION,WD
6539915-1111100-15,20170911,1,PRODUCTION SD Mesa College,WD
65383-1111100-0,20170911,1,Schedule #107,WD
65334-1111100-0,20170912,1,FINAL,WD
6533427-1111100-27,20170912,1,FINAL Grossmont College,WD
65353-1111100-0,20170912,1,FINAL,WD
65337-1111100-0,20170912,1,FINAL,WD
65356-1111100-0,20170912,1,FINAL,WD
6535619-1111100-19,20170912,1,FINAL Southwestern College,WD
65333-1111100-0,20170912,1,FINAL,WD
65340-1111100-0,20170912,1,FINAL,WD
65399-1111100-0,20170912,1,PRODUCTION,WD
6539915-1111100-15,20170912,1,PRODUCTION SD Mesa College,WD
65383-1111100-0,20170912,1,Schedule #107,WD
65334-1111100-0,20170913,1,FINAL,WD
6533427-1111100-27,20170913,1,FINAL Grossmont College,WD
65353-1111100-0,20170913,1,FINAL,WD
65337-1111100-0,20170913,1,FINAL,WD
65356-1111100-0,20170913,1,FINAL,WD
6535619-1111100-19,20170913,1,FINAL Southwestern College,WD
65333-1111100-0,20170913,1,FINAL,WD
65340-1111100-0,20170913,1,FINAL,WD
65399-1111100-0,20170913,1,PRODUCTION,WD
6539915-1111100-15,20170913,1,PRODUCTION SD Mesa College,WD
65383-1111100-0,20170913,1,Schedule #107,WD
65334-1111100-0,20170914,1,FINAL,WD
6533427-1111100-27,20170914,1,FINAL Grossmont College,WD
65353-1111100-0,20170914,1,FINAL,WD
65337-1111100-0,20170914,1,FINAL,WD
65356-1111100-0,20170914,1,FINAL,WD
6535619-1111100-19,20170914,1,FINAL Southwestern College,WD
65333-1111100-0,20170914,1,FINAL,WD
65340-1111100-0,20170914,1,FINAL,WD
6534011-1111100-11,20170914,1,FINAL Rural 892,WD
65399-1111100-0,20170914,1,PRODUCTION,WD
6539915-1111100-15,20170914,1,PRODUCTION SD Mesa College,WD
65383-1111100-0,20170914,1,Schedule #107,WD
65334-1111100-0,20170915,1,FINAL,WD
6533427-1111100-27,20170915,1,FINAL Grossmont College,WD
65353-1111100-0,20170915,1,FINAL,WD
65337-1111100-0,20170915,1,FINAL,WD
65356-1111100-0,20170915,1,FINAL,WD
6535619-1111100-19,20170915,1,FINAL Southwestern College,WD
65333-1111100-0,20170915,1,FINAL,WD
65340-1111100-0,20170915,1,FINAL,WD
653407-1111100-7,20170915,1,FINAL Rural 888,WD
653409-1111100-9,20170915,1,FINAL Rural 891,WD
65399-1111100-0,20170915,1,PRODUCTION,WD
6539915-1111100-15,20170915,1,PRODUCTION SD Mesa College,WD
65383-1111100-0,20170915,1,Schedule #107,WD
65335-0000010-0,20170916,1,FINAL,SA
65338-0000010-0,20170916,1,FINAL,SA
65355-0000010-0,20170916,1,FINAL,SA
65400-0000010-0,20170916,1,PRODUCTION,SA
65520-0000010-0,20170916,1,Schedule #107,SA
65339-0000001-0,20170917,1,FINAL,SU
65354-0000001-0,20170917,1,FINAL,SU
65401-0000001-0,20170917,1,PRODUCTION,SU
65385-0000001-0,20170917,1,Schedule #107,SU
65334-1111100-0,20170918,1,FINAL,WD
6533427-1111100-27,20170918,1,FINAL Grossmont College,WD
65353-1111100-0,20170918,1,FINAL,WD
65337-1111100-0,20170918,1,FINAL,WD
65356-1111100-0,20170918,1,FINAL,WD
6535619-1111100-19,20170918,1,FINAL Southwestern College,WD
65333-1111100-0,20170918,1,FINAL,WD
65340-1111100-0,20170918,1,FINAL,WD
653407-1111100-7,20170918,1,FINAL Rural 888,WD
65399-1111100-0,20170918,1,PRODUCTION,WD
6539915-1111100-15,20170918,1,PRODUCTION SD Mesa College,WD
65383-1111100-0,20170918,1,Schedule #107,WD
65334-1111100-0,20170919,1,FINAL,WD
6533427-1111100-27,20170919,1,FINAL Grossmont College,WD
65353-1111100-0,20170919,1,FINAL,WD
65337-1111100-0,20170919,1,FINAL,WD
65356-1111100-0,20170919,1,FINAL,WD
6535619-1111100-19,20170919,1,FINAL Southwestern College,WD
65333-1111100-0,20170919,1,FINAL,WD
65340-1111100-0,20170919,1,FINAL,WD
65399-1111100-0,20170919,1,PRODUCTION,WD
6539915-1111100-15,20170919,1,PRODUCTION SD Mesa College,WD
65383-1111100-0,20170919,1,Schedule #107,WD
65334-1111100-0,20170920,1,FINAL,WD
6533427-1111100-27,20170920,1,FINAL Grossmont College,WD
65353-1111100-0,20170920,1,FINAL,WD
65337-1111100-0,20170920,1,FINAL,WD
65356-1111100-0,20170920,1,FINAL,WD
6535619-1111100-19,20170920,1,FINAL Southwestern College,WD
65333-1111100-0,20170920,1,FINAL,WD
65340-1111100-0,20170920,1,FINAL,WD
65399-1111100-0,20170920,1,PRODUCTION,WD
6539915-1111100-15,20170920,1,PRODUCTION SD Mesa College,WD
65388-1111100-0,20170920,1,Schedule #107,WD
65334-1111100-0,20170921,1,FINAL,WD
6533427-1111100-27,20170921,1,FINAL Grossmont College,WD
65353-1111100-0,20170921,1,FINAL,WD
65337-1111100-0,20170921,1,FINAL,WD
65356-1111100-0,20170921,1,FINAL,WD
6535619-1111100-19,20170921,1,FINAL Southwestern College,WD
65333-1111100-0,20170921,1,FINAL,WD
65340-1111100-0,20170921,1,FINAL,WD
6534011-1111100-11,20170921,1,FINAL Rural 892,WD
65399-1111100-0,20170921,1,PRODUCTION,WD
6539915-1111100-15,20170921,1,PRODUCTION SD Mesa College,WD
65383-1111100-0,20170921,1,Schedule #107,WD
65334-1111100-0,20170922,1,FINAL,WD
6533423-1111100-23,20170922,1,FINAL West High School,WD
6533427-1111100-27,20170922,1,FINAL Grossmont College,WD
65353-1111100-0,20170922,1,FINAL,WD
65337-1111100-0,20170922,1,FINAL,WD
65356-1111100-0,20170922,1,FINAL,WD
6535619-1111100-19,20170922,1,FINAL Southwestern College,WD
65333-1111100-0,20170922,1,FINAL,WD
65340-1111100-0,20170922,1,FINAL,WD
653407-1111100-7,20170922,1,FINAL Rural 888,WD
653409-1111100-9,20170922,1,FINAL Rural 891,WD
65399-1111100-0,20170922,1,PRODUCTION,WD
