route_id,pattern_id,pattern_direction,place_id,place_rank
1,1-W,West,grotro,0
1,1-W,West,lamtrw,1
1,1-W,West,70tSta,2
1,1-W,West,elc70,3
1,1-W,West,elcco1,4
1,1-W,West,elc48,5
1,1-W,West,elc30,6
1,1-W,West,paruni,7
1,1-W,West,4thuni,8
1,1-W,West,5evans,9
1,1-E,East,5evans,0
1,1-E,East,5thuni,1
1,1-E,East,paruni,2
1,1-E,East,elc30,3
1,1-E,East,elc48,4
1,1-E,East,elccol,5
1,1-E,East,elc70,6
1,1-E,East,elc701,7
1,1-E,East,70tSta,8
1,1-E,East,lamtre,9
1,1-E,East,grotro,10
2,2-S1,South,30ada,0
2,2-S1,South,30uni,1
2,2-S1,South,30tast,2
2,2-S1,South,citcol,3
2,2-S1,South,bro4th,4
2,2-S1,South,froast,5
2,2-N1,North,froast,0
2,2-N1,North,3rdbro,1
2,2-N1,North,citcol,2
2,2-N1,North,30tast,3
2,2-N1,North,30uniN,4
2,2-N1,North,30ada,5
3,3-N,North,euctro,0
3,3-N,North,47log,1
3,3-N,North,25tro,2
3,3-N,North,marpar,3
3,3-N,North,5thbro,4
3,3-N,North,5thuni,5
3,3-N,North,ucsdho,6
3,3-S,South,ucsdho,0
3,3-S,South,4thuni,1
3,3-S,South,4thbro,2
3,3-S,South,marpar,3
3,3-S,South,25tro,4
3,3-S,South,47log,5
3,3-S,South,euctro,6
4,4-E,East,imp12,0
4,4-E,East,imp32,1
4,4-E,East,imp47,2
4,4-E,East,euctro,3
4,4-E,East,imp62,4
4,4-E,East,carjam,5
4,4-E,East,parmea,6
4,4-W,West,parmea,0
4,4-W,West,deepar,1
4,4-W,West,carjam,2
4,4-W,West,imp62,3
4,4-W,West,euctro,4
4,4-W,West,imp47,5
4,4-W,West,imp32,6
4,4-W,West,imp12,7
5,5-E,East,10tbro,0
5,5-E,East,marpar,1
5,5-E,East,mark30,2
5,5-E,East,euctro,3
5,5-W,West,euctro,0
5,5-W,West,mark30,1
5,5-W,West,marpar,2
5,5-W,West,10tbro,3
6,6-W,West,29uni,0
6,6-W,West,30uniN,1
6,6-W,West,elcorg,2
6,6-W,West,macymv,3
6,6-W,West,fasvtc,4
6,6-E,East,fasvtc,0
6,6-E,East,macymv,1
6,6-E,East,elcorg,2
6,6-E,East,29uni,3
7,7-NF,North,froast,0
7,7-NF,North,3rdbro,1
7,7-NF,North,11tbro,2
7,7-NF,North,paruns,3
7,7-NF,North,uni30t,4
7,7-NF,North,unifai,5
7,7-NF,North,54univ,6
7,7-NF,North,coluni,7
7,7-NF,North,unicol,8
7,7-NF,North,uni69e,9
7,7-NF,North,lamtre,10
7,7-NF,North,lamtrw,11
7,7-SF,South,lamtrw,0
7,7-SF,South,uni69e,1
7,7-SF,South,uni69w,2
7,7-SF,South,unicol,3
7,7-SF,South,coluni,4
7,7-SF,South,unifai,5
7,7-SF,South,i15unw,6
7,7-SF,South,uni30t,7
7,7-SF,South,paruns,8
7,7-SF,South,citcol,9
7,7-SF,South,bro4th,10
7,7-SF,South,froast,11
8,8-N,North,ottc_w,0
8,8-N,North,spohan,1
8,8-N,North,mismis,2
8,8-N,North,baygar,3
8,8-S,South,baygar,0
8,8-S,South,mismis,1
8,8-S,South,spohan,2
8,8-S,South,ottc_w,3
9,9-N,North,ottc_w,0
9,9-N,North,spohan,1
9,9-N,North,seawld,2
9,9-N,North,inggra,3
9,9-N,North,baygar,4
9,9-S,South,baygar,0
9,9-S,South,inggra,1
9,9-S,South,seawld,2
9,9-S,South,spohan,3
9,9-S,South,ottc_w,4
10,10-E,East,ottc_w,0
10,10-E,East,waspac,1
10,10-E,East,5thuni,2
10,10-E,East,unipar,3
10,10-E,East,uni30t,4
10,10-E,East,i15uni,5
10,10-E,East,unifai,6
10,10-E,East,coluni,7
10,10-W,West,coluni,0
10,10-W,West,unifai,1
10,10-W,West,i15uni,2
10,10-W,West,uni30t,3
10,10-W,West,unipar,4
10,10-W,West,uni5th,5
10,10-W,West,waspac,6
10,10-W,West,ottc_w,7
11,11-S,South,sdsutc,0
11,11-S,South,ada39W,1
11,11-S,South,30ada,2
11,11-S,South,paruni,3
11,11-S,South,uni5th,4
11,11-S,South,frobro,5
11,11-S,South,imp12,6
11,11-S,South,imp16,7
11,11-S,South,nat32,8
11,11-S,South,47log,9
11,11-S,South,parmea,10
11,11-N,North,parmea,0
11,11-N,North,deepar,1
11,11-N,North,47log,2
11,11-N,North,nat32,3
11,11-N,North,imp16,4
11,11-N,North,imp12,5
11,11-N,North,1stbro,6
11,11-N,North,1stash,7
11,11-N,North,frobro,8
11,11-N,North,5thuni,9
11,11-N,North,paruni,10
11,11-N,North,30ada,11
