place_id,place_name,reference_place,place_lat,place_long
10tbro,10th Ave & Broadway,,32.716204836041,-117.155757365011
10thb,10th Ave & B St,,32.718874061637,-117.155700260436
11tbro,11th Ave & Broadway,,32.716267938615,-117.154649337406
11thb,11th Ave & B St,,32.717829119464,-117.154645853291
12tS_N,Imperial Transit,12tS,32.705804113810,-117.153144406834
12tS_S,Imperial Transit,12tS,32.705642236984,-117.153255553086
13iris,13th St & Iris Ave,,32.569204609293,-117.105258699680
13tcst,Broadway & 13th St,,32.715881917738,-117.152941728382
1stash,1st Ave & Ash St,,32.719688648391,-117.163759040229
1stbrd,1st Ave & Broadway Nearside,,32.715492144905,-117.163694402394
1stbro,1st Ave & Broadway,,32.715854162297,-117.163800569106
1stfer,1st St Ferry Landing,,32.697738145209,-117.169938073452
24tro,24th Street Transit Center,,32.661682594962,-117.107933788956
24tS_N,24th St.,24tS,32.662032730974,-117.107976510739
24tS_S,24th St.,24tS,32.662001843662,-117.108070438124
25tro,25th Street Trolley,,32.705154182420,-117.139747224575
25tS_N,25th & Commercial,25tS,32.705312558263,-117.141413253950
25tS_S,25th & Commercial,25tS,32.705280554676,-117.138230357874
29uni,29th & University,,32.747847791682,-117.131066728244
2ndemn,2nd St & East Main St,,32.796630888726,-116.935726025173
2ndlos,2nd St & Los Ranchitos Rd,,32.858776689765,-116.960032957794
2ndpe1,2nd St & Pepper Dr,,32.821352685039,-116.934070026432
2ndpep,2nd St & Pepper Dr,,32.820178384755,-116.935089167264
30ada,30th St & Adams Ave,,32.762855701506,-117.130265336568
30high,Highland Ave & 30th St,,32.659325472332,-117.090704412053
30tast,30th St & A St,,32.718823854979,-117.129597984089
30uni,30th St & University Ave,,32.748448432413,-117.130168233624
30uniN,30th St & University Ave,,32.748948242985,-117.130072725870
32nS_N,32nd & Commercial Station,32nS,32.705589274367,-117.125035020391
32nS_S,32nd & Commercial Station,32nS,32.705992252658,-117.124408353263
3rdbro,Broadway & 3rd Ave,,32.715705350731,-117.162368484742
3rdf,3rd Ave & F St,,32.641332749798,-117.079958846898
3rdj,3rd Ave & J St,,32.627473043406,-117.074582695815
3rdjst,3rd Ave & J St,,32.626632330480,-117.074164625704
3rdpal,3rd Ave & Palomar St,,32.606863952644,-117.066557242209
47log,47th St & Logan Ave,,32.696800292827,-117.093775304110
47tS_N,47th Street Station,47tS,32.708399816568,-117.095254983573
47tS_S,47th Street Station,47tS,32.708545926633,-117.094388381274
4thbro,4th Ave & Broadway,,32.715134254878,-117.161172630615
4theu1,4th St & Euclid Ave,,32.686393536877,-117.082879105698
4theuc,4th St & Euclid Ave,,32.686091256469,-117.084009566490
4thuni,4th & University,,32.747735574753,-117.161756956290
54elcn,El Cajon Blvd & 54th St,,32.758295994111,-117.079352040383
54elcs,El Cajon Blvd & 54th St,,32.757408699346,-117.079363854664
54stv,54th St & Streamview Dr.,,32.742527206558,-117.079571771153
54univ,54th St & University Ave.,,32.748233439455,-117.079437832742
5evans,5th Ave. & Evans Pl.,,32.746050196089,-117.160341005845
5thbro,Broadway & 5th Ave,,32.715695587645,-117.160155921679
5thlan,5th Avenue Landing,,32.704538688431,-117.161550734346
5thS_N,5th Avenue Station,5thS,32.716791408679,-117.159710433914
5thS_S,5th Avenue Station,5thS,32.716742083068,-117.159690417208
5thuni,5th & University,,32.748226206863,-117.160451303971
62nS_N,62nd Street-Encanto Station,62nS,32.710110343239,-117.063645631726
62nS_S,62nd Street-Encanto Station,62nS,32.710124547234,-117.062741985053
70tS_N,70th St,70tS,32.772187791634,-117.042106447105
70tS_S,70th St,70tS,32.772105258130,-117.042118718054
70tSta,70th St. Trolley Station,,32.772210300258,-117.042025317376
8thdst,8th Ave & D St,,32.677400480379,-117.102935775631
8thnat,8th St & National City Blvd,,32.676053918057,-117.105841354521
8thS_N,8th St.,8thS,32.674726456393,-117.112929078202
8thS_S,8th St.,8thS,32.674728545027,-117.113023340138
8thtro,8th Street Transit Center,,32.675015061066,-117.113123635738
9thc,9th Ave & "C" St.,,32.716470951600,-117.156647042651
ada39E,Adams & 39th Eastbound,,32.763019319622,-117.111363987793
ada39W,Adams & 39th Westbound,,32.763620337204,-117.111099866632
airbri,Airway Rd & Britannia Blvd,,32.560647605942,-116.978218056865
airt1,Airport Terminal 1 - Stop 60499,,32.732039617215,-117.197785894944
airt2,Airport Terminal 2 - Stop 99471,,32.731334923037,-117.201637898376
albalp,Albertson's Alpine,,32.834644149512,-116.751491270106
alpalb,Albertson's Alpine,,32.834510239377,-116.750354326641
alpshp,Alpine Creek Shopping Center,,32.835822397486,-116.776070791518
