stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,intersection_code,stop_place,reference_place,stop_name_short
10001,Cabrillo National Monument,32.674457926534,-117.240425731733,10001,0,,1,M-Special_Loc,cabmon,,Cabrillo Natl Monument
10003,Pearl St & Draper Av,32.839578288269,-117.276186771308,10003,0,,1,N-E/B,,,Pearl&Draper
10004,Pearl St & Fay Av,32.840128483519,-117.273809897096,10004,0,,1,N-E/B,,,Pearl&Fay
10006,Torrey Pines Rd & Exchange Pl,32.845846698952,-117.268673216555,10006,0,,1,N-N/B,,,Try Pines&Exchange
10007,Torrey Pines Rd & Hillside Dr,32.849311781586,-117.261751577429,10007,0,,0,N-N/B,,,Try Pines&Hillside
10011,Garnet Av & Everts St,32.798100926571,-117.248250130092,10011,0,,1,N-E/B,,,Garnet&Everts
10012,Grand Av & Fanuel St,32.796529037801,-117.245833937188,10012,0,,1,N-E/B,,,Grand&Fanuel
10013,Garnet Av & Haines St,32.799293979270,-117.242773582471,10013,0,,1,N-E/B,,,Garnet&Haines
10015,Garnet Av & Ingraham St,32.799650170994,-117.241202491565,10015,0,,1,N-E/B,,,Garnet&Ingraham
10016,Garnet Av & Jewell St,32.800123586311,-117.239063190962,10016,0,,1,N-E/B,,,Garnet&Jewell
10020,Voltaire St & Mendocino St,32.745066706695,-117.235748986364,10020,0,,1,N-E/B,,,Voltaire&Mendocino
10023,Garnet Av & Lamont St,32.800877163590,-117.235566670156,10023,0,,1,N-E/B,garlam,,Garnet&Lamont
10024,Voltaire St & San Clemente St,32.742869053540,-117.233535634227,10024,0,,1,N-E/B,,,Voltaire&San Clemente
10025,Garnet Av & Noyes St,32.801712904636,-117.231748818813,10025,0,,1,N-E/B,,,Garnet&Noyes
10026,Chatsworth Bl & Tennyson St,32.738147328283,-117.229704017828,10026,0,,1,N-N/B,,,Chatsworth&Tennyson
10027,Voltaire St & Poinsettia Dr,32.740255951982,-117.229294925394,10027,0,,1,N-E/B,,,Voltaire&Poinsettia
10029,West Point Loma Bl & Adrian St,32.752661145154,-117.226733142708,10029,0,,1,N-E/B,,,WPt Loma&Adrian
10031,Nimitz Bl & Rosecrans St,32.728942884952,-117.226535304965,10031,0,,0,M-Street-S/B,nimros,,Nimitz&Rosecrans
10032,Grand Av & Culver St,32.800913129756,-117.225849446290,10032,0,,1,N-E/B,,,Grand&Culver
10033,West Point Loma Bl & Loma Riviera Dr,32.753402254787,-117.224077447036,10033,0,,1,M-Street-E/B,,,WPt Loma&Loma Riviera
10034,Nobel Dr & Lebon Dr,32.868293166091,-117.225183244582,10034,0,,1,N-E/B,nobleb,,Nobel&Lebon
10036,Garnet Av & Bond St,32.805504003705,-117.221213754121,10036,0,,1,N-E/B,,,Garnet&Bond
10038,Sports Arena Bl & Midway Dr,32.755674071580,-117.221093796644,10038,0,,1,M-Street-S/B,,,Sports Arena&Midway
10040,Midway Dr & Duke St,32.753929973099,-117.218140675853,10040,0,,1,N-S/B,,,Midway&Duke
10043,Midway Dr & Kemper St,32.752436254315,-117.215847441069,10043,0,,1,N-S/B,,,Midway&Kemper
10044,Grand Av & Mission Bay Dr,32.802273496111,-117.217839064196,10044,0,,1,N-E/B,,,Grand&Mission Bay
10045,Balboa Av & Moraga Av,32.807743886270,-117.210696668387,10045,0,,2,M-Street-E/B,,,Balboa&Moraga
10048,Morena Bl & Frankfort St,32.774686407825,-117.206214033210,10048,0,,1,N-S/B,,,Morena&Frankfort
10049,Governor Dr & Radcliffe Dr,32.854345080959,-117.206105930234,10049,0,,1,N-E/B,,,Governor&Radcliffe
10050,Morena Bl & Knoxville St,32.773326655791,-117.203983727553,10050,0,,1,N-S/B,,,Morena&Knoxville
10051,Clairemont Dr & Merrimac Av,32.833071776603,-117.202866708682,10051,0,,1,M-Street-E/B,,,Clairemont&Merrimac
10052,Clairemont Mesa Bl & Rolfe Rd,32.828136074030,-117.202425890385,10052,0,,1,N-E/B,,,Cmnt Mesa&Rolfe
10053,Clairemont Mesa Bl & Kleefeld Av,32.832710991241,-117.200821565031,10053,0,,1,N-E/B,,,Cmnt Mesa&Kleefeld
10057,Milton St & Garfield Rd,32.783316771300,-117.196946730348,10057,0,,0,N-E/B,,,Milton&Garfield
10058,Milton St & Dunhaven St,32.782646024204,-117.195885316294,10058,0,,1,N-E/B,,,Milton&Dunhaven
10060,Milton St & Penrose St,32.782233857188,-117.194794155469,10060,0,,1,N-E/B,,,Milton&Penrose
10062,Linda Vista Rd & Colusa St,32.768909461015,-117.191137785015,10062,0,,1,N-E/B,,,L Vsta&Colusa
10063,Milton St & August St,32.782261894537,-117.191124287179,10063,0,,1,F-E/B,,,Milton&August
10064,Taylor St & I-8 East (Ramp),32.759253228755,-117.190504414917,10064,0,,2,N-E/B,,,Taylor&I-8 E(Ramp)
10069,Fort Stockton Dr & Witherby St,32.754407020353,-117.185154088529,10069,0,,0,N-E/B,,,Frt Stcktn&Witherby
10072,Fort Stockton Dr & St James Pl,32.752574426176,-117.182887092500,10072,0,,0,N-E/B,,,Frt Stcktn&St James
10073,Clairemont Mesa Bl & Longford St,32.834321220360,-117.182854914181,10073,0,,1,N-E/B,,,Cmnt Mesa&Longford
10074,Miramar Rd & Miramar Mall,32.876883801908,-117.182990257740,10074,0,,1,N-E/B,mirmal,,Miramar&Miramar Mall
10075,N Harbor Dr & Laurel St (Coast Guard),32.727781812025,-117.182286477046,10075,0,,1,M-Street-E/B,,,N Harbor&Laurel (Coast Guard)
