from_stop_id,to_stop_id,transfer_type,min_transfer_time,service_id
ecajtc,ecajtc,2,180,
iritro,iritro,2,180,
fasvtc,fasvtc,2,180,
citcol,citcol,2,180,
75030,75031,2,180,
75031,75030,2,180,
imp12,imp12,2,120,
99381,99381,1,,
12654,12654,1,,
sdsutc,sdsutc,2,180,
kmtc,kmtc,2,240,
11654,75091,2,180,
11654,75090,2,180,
11654,99343,2,180,
11654,12782,2,180,
94019,94019,2,180,
94019,94020,2,180,
94019,94021,2,180,
94019,94022,2,180,
94019,94023,2,180,
94019,94024,2,180,
94019,94025,2,180,
94019,94027,2,180,
94019,94028,2,180,
94019,94030,2,180,
94019,96034,2,180,
94020,94019,2,180,
94020,94020,2,180,
94020,94021,2,180,
94020,94022,2,180,
94020,94023,2,180,
94020,94024,2,180,
94020,94025,2,180,
94020,94027,2,180,
94020,94028,2,180,
94020,94030,2,180,
94020,96034,2,180,
94021,94019,2,180,
94021,94020,2,180,
94021,94021,2,180,
94021,94022,2,180,
94021,94023,2,180,
94021,94024,2,180,
94021,94025,2,180,
94021,94027,2,180,
94021,94028,2,180,
94021,94030,2,180,
94021,96034,2,180,
94022,94019,2,180,
94022,94020,2,180,
94022,94021,2,180,
94022,94022,2,180,
94022,94023,2,180,
94022,94024,2,180,
94022,94025,2,180,
94022,94027,2,180,
94022,94028,2,180,
94022,94030,2,180,
94022,96034,2,180,
94023,94019,2,180,
94023,94020,2,180,
94023,94021,2,180,
94023,94022,2,180,
94023,94023,2,180,
94023,94024,2,180,
94023,94025,2,180,
94023,94027,2,180,
94023,94028,2,180,
94023,94030,2,180,
94023,96034,2,180,
94024,94019,2,180,
94024,94020,2,180,
94024,94021,2,180,
94024,94022,2,180,
94024,94023,2,180,
94024,94024,2,180,
94024,94025,2,180,
94024,94027,2,180,
94024,94028,2,180,
94024,94030,2,180,
94024,96034,2,180,
94025,94019,2,180,
94025,94020,2,180,
94025,94021,2,180,
94025,94022,2,180,
94025,94023,2,180,
94025,94024,2,180,
94025,94025,2,180,
94025,94027,2,180,
94025,94028,2,180,
94025,94030,2,180,
94025,96034,2,180,
94027,94019,2,180,
94027,94020,2,180,
94027,94021,2,180,
94027,94022,2,180,
94027,94023,2,180,
94027,94024,2,180,
94027,94025,2,180,
94027,94027,2,180,
94027,94028,2,180,
94027,94030,2,180,
94027,96034,2,180,
94028,94019,2,180,
94028,94020,2,180,
94028,94021,2,180,
94028,94022,2,180,
94028,94023,2,180,
94028,94024,2,180,
94028,94025,2,180,
94028,94027,2,180,
94028,94028,2,180,
94028,94030,2,180,
94028,96034,2,180,
94030,94019,2,180,
94030,94020,2,180,
94030,94021,2,180,
94030,94022,2,180,
94030,94023,2,180,
94030,94024,2,180,
94030,94025,2,180,
94030,94027,2,180,
94030,94028,2,180,
94030,94030,2,180,
94030,96034,2,180,
96034,94019,2,180,
96034,94020,2,180,
96034,94021,2,180,
96034,94022,2,180,
96034,94023,2,180,
96034,94024,2,180,
96034,94025,2,180,
96034,94027,2,180,
96034,94028,2,180,
96034,94030,2,180,
96034,96034,2,180,
75042,94019,2,180,
75042,94020,2,180,
75042,94021,2,180,
75042,94022,2,180,
75042,94023,2,180,
75042,94024,2,180,
75042,94025,2,180,
75042,94027,2,180,
75042,94028,2,180,
75042,94030,2,180,
75042,96034,2,180,
75043,94019,2,180,
75043,94020,2,180,
75043,94021,2,180,
75043,94022,2,180,
75043,94023,2,180,
75043,94024,2,180,
75043,94025,2,180,
75043,94027,2,180,
75043,94028,2,180,
75043,94030,2,180,
75043,96034,2,180,
75042,75043,1,,
75043,75042,1,,
75043,75043,1,,
75042,75042,1,,
70032,75037,2,60,
75037,70032,2,60,
70032,75036,2,60,
75036,70032,2,60,
10577,10577,2,60,
11335,11335,2,60,
75080,13541,1,,
75081,13541,1,,
75082,75082,2,60,
75082,75083,2,60,
75083,75082,2,60,
75082,75084,2,180,
75082,75085,2,180,
75083,75084,2,180,
75083,75085,2,180,
75084,75082,2,180,
75084,75083,2,180,
75085,75082,2,180,
75085,75083,2,180,
75100,75102,2,120,
75100,75103,2,120,
75102,75100,2,120,
75103,75100,2,120,
