route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,,1,Metro Hopper - Northwest Stockton,"Each Metro Hopper bus can deviate up to 1 mile from its route to accommodate ADA certified passengers. To reserve a deviation call 209-946-0520.",3,http://sanjoaquinrtd.com/maps_and_schedules/Route01.php,00BCE4,FFFFFF
2,,2,Metro Hopper - Northwest Stockton,"Each Metro Hopper bus can deviate up to 1 mile from its route to accommodate ADA certified passengers. To reserve a deviation call 209-946-0520.",3,http://sanjoaquinrtd.com/maps_and_schedules/Route02.php,47AA42,FFFFFF
3,,3,Metro Hopper - North Stockton,"Each Metro Hopper bus can deviate up to 1 mile from its route to accommodate ADA certified passengers. To reserve a deviation call 209-946-0520.",3,http://sanjoaquinrtd.com/maps_and_schedules/Route03.php,ffbd3d,000000
4,,4,Metro Hopper - Central Stockton,"Each Metro Hopper bus can deviate up to 1 mile from its route to accommodate ADA certified passengers. To reserve a deviation call 209-946-0520.",3,http://sanjoaquinrtd.com/maps_and_schedules/Route04.php,D31145,FFFFFF
5,,5,Metro Hopper - Central Stockton,"Each Metro Hopper bus can deviate up to 1 mile from its route to accommodate ADA certified passengers. To reserve a deviation call 209-946-0520.",3,http://sanjoaquinrtd.com/maps_and_schedules/Route05.php,FF6600,FFFFFF
6,,6,Metro Hopper - Northeast Stockton,"Each Metro Hopper bus can deviate up to 1 mile from its route to accommodate ADA certified passengers. To reserve a deviation call 209-946-0520.",3,http://sanjoaquinrtd.com/maps_and_schedules/Route06.php,A54399,FFFFFF
7,,7,Metro Hopper - South Stockton,"Each Metro Hopper bus can deviate up to 1 mile from its route to accommodate ADA certified passengers. To reserve a deviation call 209-946-0520.",3,http://sanjoaquinrtd.com/maps_and_schedules/Route07.php,0055A5,FFFFFF
8,,8,Metro Hopper - Northeast Stockton,"Each Metro Hopper bus can deviate up to 1 mile from its route to accommodate ADA certified passengers. To reserve a deviation call 209-946-0520.",3,http://sanjoaquinrtd.com/maps_and_schedules/Route08.php,F06C9B,FFFFFF
9,,9,Metro Hopper - Southeast Stockton,"Each Metro Hopper bus can deviate up to 1 mile from its route to accommodate ADA certified passengers. To reserve a deviation call 209-946-0520.",3,http://sanjoaquinrtd.com/maps_and_schedules/Route09.php,00AF91,000000
150,,150,Livermore/Dublin BART,,3,http://sanjoaquinrtd.com/maps_and_schedules/Route150.php,00FFFF,000000
152,,152,Stockton - Lathrop - Tracy - Livermore,,3,http://sanjoaquinrtd.com/maps_and_schedules/Route152.php,98012E,FFFFFF
163,,163,Sacramento via 99,,3,http://sanjoaquinrtd.com/maps_and_schedules/Route163.php,98012E,FFFFFF
165,,165,Sacramento via I-5,,3,http://sanjoaquinrtd.com/maps_and_schedules/Route165.php,98012E,FFFFFF
172,,172,Lockheed 4,,3,http://sanjoaquinrtd.com/maps_and_schedules/Route172.php,98012E,FFFFFF
173,,173,Northrop Grumman/Sunnyvale,,3,http://sanjoaquinrtd.com/maps_and_schedules/Route173.php,98012E,FFFFFF
23,,23,Stockton - Lodi,Intercity service,3,http://sanjoaquinrtd.com/maps_and_schedules/Route23.php,09BCDC,000000
310,,310,DTC - ACE - 8TH,,3,http://sanjoaquinrtd.com/maps_and_schedules/Route310.php,05BBFF,FFFFFF
