stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
7014,7014,SJ County Hospital,,37.886477,-121.281061,,,,,,0
3073,3073,El Dorado & Hospital Rd NB,,37.885809,-121.276446,,,,,,0
3074,3074,El Dorado & French Camp NB,,37.889994,-121.276459,,,,,,0
3075,3075,El Dorado & 5544 El Dorado NB,El Dorado St & 5544 El Dorado St,37.897444,-121.275762,,,,,,0
3076,3076,El Dorado & Western Lumber NB,El Dorado St & Western Lumber,37.905215,-121.275695,,,,,,0
3077,3077,Clayton & Harvey WB,,37.910916,-121.27742,,,,,,0
7026,7026,Clayton & O'Dell WB,,37.910184,-121.280175,,,,,,0
3079,3079,Downing & Mourfield EB,Downing Ave & Mourfield Ave,37.913895,-121.284046,,,,,,0
3080,3080,O'Dell & Horton NB,,37.921184,-121.284739,,,,,,0
3082,3082,Mosswood & El Dorado NB,,37.924549,-121.281088,,,,,,0
3083,3083,El Dorado & Ninth St NB,,37.926990,-121.281850,,,,,,0
3119,3119,8th St & San Joaquin WB,,37.929331,-121.28055,,,,,,0
3085,3085,San Joaquin St & 6th NB,,37.931829,-121.28139,,,,,,0
3086,3086,San Joaquin St & 4th NB,,37.934354,-121.282011,,,,,,0
3087,3087,San Joaquin St & 2nd NB,,37.936834,-121.282747,,,,,,0
7027,7027,San Joaquin St & Clay St NB,,37.940323,-121.283702,,,,,,0
3088,3088,San Joaquin St & Anderson NB,,37.943231,-121.284484,,,,,,0
3090,3090,San Joaquin St & Hazelton NB,,37.947490,-121.285540,,,,,,0
3091,3091,Alvarado & Alpine NB,,37.98379,-121.289698,,,,,,0
3092,3092,Alvarado & Fulton NB,,37.985592,-121.290423,,,,,,0
3093,3093,Fulton @ 517 Fulton WB,,37.984743,-121.294181,,,,,,0
3094,3094,Fulton & Sutter WB,,37.984118,-121.296698,,,,,,0
3095,3095,Essex St & Sutter WB,,37.988132,-121.298332,,,,,,0
7028,7028,Essex St & El Dorado WB,,37.987320,-121.301900,,,,,,0
3096,3096,Jamestown & Shelley EB,,37.993778,-121.303762,,,,,,0
3099,3099,Claremont & Bianchi NB,,37.991377,-121.305634,,,,,,0
3100,3100,Claremont & Gold Run NB,,37.992786,-121.307279,,,,,,0
3101,3101,Claremont & Pardee NB,,37.993606,-121.308199,,,,,,0
3448,3448,Pacific Av & Longview Av SB,,38.003461,-121.317554,,,,,,0
3840,3840,Pacific Av & Swain NB,,38.004890,-121.317980,,,,,,0
7067,7067,Pacific Av & Benjamin Holt SB,,38.011043,-121.32063,,,,,,0
3842,3842,Pacific Av & Lincoln NB,,38.013540,-121.321450,,,,,,0
3733,3733,Thornton Rd & Hammer NB,,38.021131,-121.325286,,,,,,0
3463,3463,Ponce De Leon & Lower Sac WB,Ponce De Leon & Lower Sacramento Rd,38.030117,-121.322649,,,,,,0
3334,3334,Yokuts & El Dorado WB,,37.998541,-121.306697,,,,,,0
3471,3471,El Dorado & St. Marys High NB,,38.004688,-121.307564,,,,,,0
3456,3456,Inglewood Av & Benjamin Holt NB,,38.011785,-121.317412,,,,,,0
3459,3459,El Dorado & Mission Park NB,,38.01945,-121.315188,,,,,,0
3461,3461,El Dorado & Martinique NB,,38.029068,-121.316242,,,,,,0
3462,3462,Ponce De Leon & Antoino WB,Ponce De Leon Ave & Antonio Wy,38.030102,-121.318532,,,,,,0
3466,3466,Ponce De Leon & Graywood EB,,38.029713,-121.326513,,,,,,0
3477,3477,Hickock Dr & Pawnee NB,,38.038165,-121.335989,,,,,,0
3478,3478,Hickock Dr & Cheyenne NB,,38.040111,-121.335025,,,,,,0
3485,3485,Davis Rd & Laramie Dr SB,,38.038266,-121.331917,,,,,,0
3488,3488,El Dorado & Los Feliz SB,,38.032422,-121.317476,,,,,,0
3490,3490,El Dorado & Glencannon SB,,38.026311,-121.316275,,,,,,0
7120,7120,El Dorado & Mission Park SB,,38.019441,-121.315211,,,,,,0
3492,3492,El Dorado & Lincoln SB,,38.016668,-121.312471,,,,,,0
3455,3455,Inglewood Av & Glendora Av NB,,38.008449,-121.315753,,,,,,0
3512,3512,El Dorado & Swain SB,,38.007239,-121.308566,,,,,,0
3470,3470,Yokuts Ave & El Dorado St EB,,37.998648,-121.30618,,,,,,0
3851,3851,Pacific Av & Willora SB,,38.015476,-121.322371,,,,,,0
3823,3823,Pacific Av & Lincoln Road SB,,38.013480,-121.321770,,,,,,0
