agency_id,fare_id,price,currency_type,payment_method,transfers,transfer_duration
slorta,150,1.50000000,USD,0,1,1200
10215235,10660128,18.50000000,USD,1,,
10215235,125,1.50000000,USD,0,0,
slorta,10185491,2.00000000,USD,0,1,1200
10215235,10753869,24.00000000,USD,1,,
10215235,10753871,12.00000000,USD,1,,
slorta,10199829,3.00000000,USD,0,,5400
slorta,10199817,2.50000000,USD,0,2,3600
10184575,10196685,1.50000000,USD,0,0,
avila,avila,0.00000000,USD,0,,25200
slorta,10199846,5.00000000,USD,0,,50400
10215235,10660127,37.00000000,USD,1,,
10215235,10660125,3.00000000,USD,1,,
