stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,city_name,direction_id,ext_id,ext_userfield1
010,,10th Street at Los Osos Valley Road,,35.31185900,-120.83233800,mblocay,,0,,0,,,,
011,,10th Street at Santa Ynez Avenue,,35.31491500,-120.83229200,mblocay,,0,,0,,,,
013,,11th Street at El Morro Ave,,35.32648100,-120.83112800,mblocay,,0,,0,,,,
012,,11th Street at Ramona Avenue,,35.32061300,-120.83110900,mblocay,,0,,0,,,,
10522619,,13th and Trouville (NB),,35.11644036,-120.61554968,pisgrov,,0,,0,,,,
10522618,,13th at Farroll (NB),,35.11209683,-120.61591699,pisgrov,,0,,0,,,,
10215139,,13th Street at Belridge Street,,35.10481682,-120.61600482,pisgrov,,0,,0,,,,
713,,13th Street at Highway 1,,35.10161300,-120.61579100,pisgrov,,0,,0,,,,
715,,13th Street at Mentone Avenue,,35.11535200,-120.61584500,pisgrov,,0,,0,,,,
716,,13th Street at Messina Court,,35.11092400,-120.61650500,pisgrov,,0,,0,,,,
10522650,,19th at Oceano Community Center (NB),,35.10354749,-120.61070113,pisgrov,,0,,0,,,,
prC_1_Oak,,1st and Oak (westbound),,35.61542254,-120.69144278,temparo,,0,,0,,,,
10210057,,24th at Park St.,,35.63905480,-120.69142342,temparo,,0,,0,,,,
prB_oak,,2nd & Oak,,35.61580758,-120.69186001,temparo,,0,,0,,,,
005,,2nd Street at Santa Maria Avenue - Baywood Park,,35.32829100,-120.84087900,mblocay,,0,,0,,,,
006,,7th & El Morro Ave,,35.32604200,-120.83535900,mblocay,,0,,0,,,,
029,,Achievement House,,35.32478528,-120.74454727,cuesta,,0,,0,,,,
10338397,,Air Park Drive @ Mendel,,35.10457225,-120.62480861,pisgrov,,0,,0,,,,
prB_turtle,,Airport & Park View,,35.61041329,-120.64391498,temparo,,0,,0,,,,
prA_turtle.,,Airport & Turtle Creek,,35.61131041,-120.64442057,temparo,,0,,0,,,,
186,,Ardath at Hwy 1,,35.55035200,-121.07264900,camsshc,,0,,0,,,,
185,,Ardath at Hwy 1,,35.55037300,-121.07238300,camsshc,,0,,0,,,,
atc,,Atascadero Transit Center,,35.48896308,-120.66479329,smatas,,0,,0,,,3518,
a114,,Avila Beach @ Port San Luis,,35.17235700,-120.75652700,avila,,0,,0,,,,
a113,,Avila Beach @ San Luis Bay Inn (to Port only),,35.17906700,-120.73867700,avila,,0,,0,,,,
10465573,,Avila Beach Dr. @ Cave Landing Rd.,,35.18258093,-120.72327272,avila,,0,,0,,,,
a115,,Avila Beach Drive @ 1st Street (towards 101),,35.18058100,-120.73558900,avila,,0,,0,,,,
a112,,Avila Beach Drive @ 1st Street (towards Port),,35.18071700,-120.73578200,avila,,0,,0,,,,
a111,,Avila Hot Springs Resort (Ontario Rd @ Avila Beach Dr),,35.18143300,-120.70384800,pisgrov,,0,,0,,,,
a121,,Bob Jones Trail,,35.18515570,-120.70324659,avila,,0,,0,,,,
10465597,,Bob Jones Trail (eastbound),,35.18537689,-120.70330649,avila,,0,,0,,,,
026,,Bradley Rd at Jones St. (Allan Hancock College),,34.94400300,-120.41829700,smaria,,0,,0,,,,
10384631,,Broad at Aero,,35.24065653,-120.63797370,slo,,0,,0,,,,
180,,Burton at Main NB,,35.56375200,-121.08253400,camsshc,,0,,0,,,,
179,,Burton at Main St.,,35.56365000,-121.08266800,camsshc,,0,,0,,,,
183,,Burton Drive at Ardath Drive NB,,35.55134700,-121.08010800,camsshc,,0,,0,,,,
184,,Burton Drive at Ardath Drive SB,,35.55094300,-121.08003700,camsshc,,0,,0,,,,
181,,Burton Drive at Cambria Pines Lodge SB,,35.55809626,-121.08074046,camsshc,,0,,0,,,,
182,,Burton Drive at Yorkshire Drive,,35.55712974,-121.08214620,camsshc,,0,,0,,,,
235,,California Men's Colony(Call for pick-up),,35.32308200,-120.69507800,cuesta,,0,,0,,,,
174,,Castillo Drive at Otter Way NB,,35.61303100,-121.14365600,camsshc,,0,,0,,,,
062,,Church St. at Palisade Dr. (Marian Medical Center),,34.95198300,-120.41332700,smaria,,0,,0,,,,
prA_bolen,,Creston & Bolen,,35.62753111,-120.67425738,temparo,,0,,0,,,,
prB_capital,,Creston & Capitol Hill,,35.62899900,-120.68087800,temparo,,0,,0,,,,
prA_capital,,Creston & Capitol Hill,,35.62879215,-120.68083126,temparo,,0,,0,,,,
prA_win_school,,Creston & Lana (Winifred Pifer School),,35.61935268,-120.65928728,temparo,,0,,0,,,,
prA_melody,,Creston & Melody Dr.,,35.62304530,-120.66230336,temparo,,0,,0,,,,
prB_myrtle,,Creston & Myrtlewood (One Stop Market),,35.60625325,-120.65884725,temparo,,0,,0,,,,
prB_daniel,,Creston & Nickerson (Daniel Lewis Middle School),,35.62503670,-120.66956389,temparo,,0,,0,,,,
prB_oakmeadows,,Creston & Oak Meadows,,35.61994037,-120.65900811,temparo,,0,,0,,,,
prB_shannon,,Creston & Shannon Hill Drive,,35.62897213,-120.67715294,temparo,,0,,0,,,,
prB_walnut,,Creston & Walnut,,35.62726850,-120.67342707,temparo,,0,,0,,,,
prA_myrtle,,Creston (One Stop Market),,35.60691649,-120.65912292,temparo,,0,,0,,,,
prB_vons,,Creston at Melody (Vons Center),,35.62331973,-120.66235290,temparo,,0,,0,,,,
prA_daniel,,Creston Rd. (Daniel Lewis Middle School),,35.62453486,-120.66839646,temparo,,0,,0,,,,
prB_food4less,,Creston Road and Sherwood (Food 4 Less),,35.61661430,-120.65896448,temparo,,0,,0,,,,
prC_CC,,Cuesta College,,35.64997215,-120.67205345,temparo,,0,,0,,,,
11044445,,Cuesta College (call for pick up),,35.32715307,-120.74082971,cuesta,,0,,0,,,,
10536502,,Cuesta College (Chorro Valley Road),,35.32716455,-120.74093431,cuesta,,0,,0,,,,
601,,Dolliver St @ San Luis Ave,,35.14359300,-120.64397400,pisgrov,,0,,0,,,,
054,,Dolliver Street @ Hind Street SB,,35.13976500,-120.64048100,pisgrov,,0,,0,,,,
074,,Dolliver Street @ Pomeroy Avenue NB,,35.14053700,-120.64107900,pisgrov,,0,,0,,,,
111,,East Branch Street @ Arroyo Grande City Hall WB,,35.12427800,-120.57714300,pisgrov,,0,,0,,,,
057,,East Grand Avenue @ Alder Street EB,,35.11855300,-120.59343700,pisgrov,,0,,0,,,,
106,,East Grand Avenue @ Elm Street EB,,35.12050100,-120.60182600,pisgrov,,0,,0,,,,
117,,East Grand Avenue @ Elm Street WB,,35.12068700,-120.60080500,pisgrov,,0,,0,,,,
115,,East Grand Avenue @ Halcyon Road WB,,35.11888600,-120.59125000,pisgrov,,0,,0,,,,
