stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,city_name,direction_id,ext_id,ext_userfield1
121,,Amtrak Station,,35.27611900,-120.65488400,,,0,,0,,1,,
33,,Augusta at Bishop,,35.27288100,-120.64772800,,,0,,0,,1,,
32,,Augusta at Gerda,,35.26973534,-120.64499170,,,0,,0,,1,,
31,,Augusta at Laurel,,35.26709700,-120.64016000,,,0,,0,,1,,
0133,,Broad at Aerovista,,35.24379875,-120.64067200,,,0,,0,,0,,
1222,,Broad at Alphonso (The Village),,35.26886873,-120.65565823,,,0,,0,,0,,
72,,Broad at Capitolio,,35.25468680,-120.64600892,,,0,,0,,0,,
25,,Broad at Caudill (S),,35.26669808,-120.65429550,,,0,,0,,1,,
24,,Broad at Funston,,35.26899735,-120.65612689,,,0,,0,,1,,
75,,Broad at Humbert,,35.26486200,-120.65250400,,,0,,0,,0,,
0141,,Broad at Industrial (Marigold Center),,35.25023300,-120.64389000,,,0,,0,,0,,
23,,Broad at Islay,,35.27464543,-120.66076845,,,0,,0,,1,,
500,,Broad at Leff,,35.27456714,-120.66051565,,,0,,1,,0,,
162,,Broad at Rockview,,35.25796500,-120.64753000,,,0,,0,,0,,
76,,Broad at Santa Barbara,,35.27022600,-120.65674600,,,0,,0,,0,,
73,,Broad at Sweeney (Brickyard),,35.26273000,-120.65087100,,,0,,0,,0,,
164,,Broad at Sweeney (Brickyard),,35.26276000,-120.65123700,,,0,,0,,1,,
0131,,Broad at Tank Farm (Creekside),,35.24725430,-120.64262062,,,0,,0,,0,,
11102270,,California at Stafford,,35.29207550,-120.66134781,,,0,,0,,0,,
995,,California at Taft,,35.29132896,-120.66052169,,,0,,0,,1,,
10838592,,Dalidio at Madonna (Promenade),,35.26148732,-120.67813173,,,0,,0,,,,
140,,Del Rio at Descanso,,35.26310300,-120.70193500,,,0,,0,,,,
141,,Descanso at LOVR,,35.26463393,-120.70015960,,,0,,0,,,,
7,,Downtown Transit Center,,35.28292800,-120.66243000,,,0,,0,,,,
12,,Foothill at Casa (Mustang Village),,35.29437591,-120.66588013,,,0,,0,,1,,
993,,Foothill at Casa,,35.29402500,-120.66617600,,,0,,0,,0,,
159,,Foothill at Chorro (E),,35.29393800,-120.66989900,,,0,,0,,,,
15,,Foothill at Cuesta (W),,35.29420900,-120.67701700,,,0,,0,,,,
2,,Foothill at Ferrini (W),,35.29420900,-120.67372100,,,0,,0,,,,
16,,Foothill at La Entrada,,35.29403100,-120.68208400,,,0,,0,,,,
94,,Foothill at Narrow,,35.28264955,-120.70645836,,,0,,0,,,,
114,,Foothill at Narrow,,35.28279100,-120.70653500,,,0,,0,,,,
10935272,,Foothill at Patricia,,35.29419906,-120.68276525,,,0,,0,,0,,
135,,Foothill at Rosita,,35.29424300,-120.68443300,,,0,,0,,,,
160,,Foothill at University Square (W),,35.29418312,-120.67018008,,,0,,0,,,,
125,,Grand at Abbott,,35.29126915,-120.65304381,,,0,,0,,,,
126,,Grand at McCollum (N),,35.29406947,-120.65300711,,,0,,0,,0,,
102,,Grand at McCollum (S),,35.29430800,-120.65332000,,,0,,0,,0,,
10928204,,Grand at Mill,,35.28918343,-120.65238789,,,0,,0,,0,,
10928208,,Grand at Monterey,,35.28940893,-120.65227926,,,0,,0,,0,,
103,,Grand at Wilson,,35.29109708,-120.65338254,,,0,,0,,0,,
10929604,,Highland at Cuesta (E),,35.29819099,-120.67779243,,,0,,0,,0,,
18,,Highland at Cuesta (W),,35.29830200,-120.67775000,,,0,,0,,0,,
19,,Highland at Jeffrey,,35.29832500,-120.68069500,,,0,,0,,0,,
148,,Highland at Mt. Bishop,,35.30255100,-120.66758000,,,0,,0,,0,,
