"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id"
"4785","64785","SANTA TERESA STATION (1)","","37.235966296999997","-121.789490994","1"
"4735","64735","ALMADEN STATION (1)","","37.244565000000001","-121.870711","1"
"4733","64733","OHLONE-CHYNOWETH STATION (1)","","37.257423011","-121.860278761","1"
"4780","64780","CAPITOL STATION (1)","","37.273900980000001","-121.86296378599999","1"
"4778","64778","TAMIEN STATION (1)","","37.311256778999997","-121.884300454","1"
"4775","64775","CONVENTION CENTER STATION (1)","","37.329809220000001","-121.89053837500001","1"
"4748","64748","SANTA CLARA STATION (0)","","37.336005999999998","-121.890306","1"
"4770","64770","CIVIC CENTER STATION (1)","","37.351380186","-121.901956508","1"
"4753","64753","METRO/AIRPORT STATION (0)","","37.370363515000001","-121.915989884","1"
"4765","64765","BONAVENTURA STATION (1)","","37.387196977999999","-121.928714644","1"
"4762","64762","TASMAN STATION (1)","","37.408055890999997","-121.943997756","1"
"4797","64797","OLD IRONSIDES STATION (1)","","37.403299046000001","-121.978870637","1"
"4799","64799","LICK MILL STATION (1)","","37.407795215999997","-121.962924656","1"
"4763","64763","RIVER OAKS STATION (1)","","37.401188060000003","-121.938971915","1"
"4764","64764","ORCHARD STATION (1)","","37.394082160000004","-121.93383731999999","1"
"4766","64766","COMPONENT STATION (1)","","37.381936947","-121.924755492","1"
"4767","64767","KARINA COURT STATION (1)","","37.374609102999997","-121.919317361","1"
"4752","64752","GISH STATION (0)","","37.362544086","-121.910160014","1"
"4798","64798","GREAT AMERICA STATION (1)","","37.403554501999999","-121.97405776799999","1"
"4772","64772","ST JAMES STATION (1)","","37.338358407999998","-121.890805169","1"
"4771","64771","JAPANTOWN/AYER STATION (1)","","37.344963720999999","-121.897115907","1"
"4736","64736","SANTA TERESA STATION (0)","","37.236668131999998","-121.78914085300001","1"
"4737","64737","COTTLE STATION (0)","","37.242731595999999","-121.803159131","1"
"4738","64738","SNELL STATION (0)","","37.248054576999998","-121.831338555","1"
"4739","64739","BLOSSOM HILL STATION (0)","","37.253149716000003","-121.84181124600001","1"
"4729","64729","ALMADEN STATION (0)","","37.245229373999997","-121.870163869","1"
"4730","64730","OAKRIDGE STATION (0)","","37.253943659000001","-121.866822711","1"
"4774","64774","SAN ANTONIO STATION (1)","","37.333480948999998","-121.88718825799999","1"
"4776","64776","CHILDRENS DISCOVERY MUSEUM STA (1)","","37.327222612","-121.893113746","1"
"4777","64777","VIRGINIA STATION (1)","","37.319164319999999","-121.88994783699999","1"
"4784","64784","COTTLE STATION (1)","","37.242504791000002","-121.802252317","1"
"4783","64783","SNELL STATION (1)","","37.247640793999999","-121.83054662799999","1"
"4782","64782","BLOSSOM HILL STATION (1)","","37.252767042000002","-121.841024582","1"
"4734","64734","OAKRIDGE STATION (1)","","37.253220937000002","-121.867031875","1"
"4781","64781","BRANHAM STATION (1)","","37.266577732000002","-121.859212962","1"
"4779","64779","CURTNER STATION (1)","","37.293043673","-121.872342901","1"
"4746","64746","CONVENTION CENTER STATION (0)","","37.330167643000003","-121.88975432399999","1"
"4773","64773","SANTA CLARA STATION (1)","","37.335795857999997","-121.888910201","1"
"4751","64751","CIVIC CENTER STATION (0)","","37.352015872999999","-121.902434282","1"
"4768","64768","METROAIRPORT STATION (1)","","37.368663847999997","-121.914883469","1"
"4756","64756","BONAVENTURA STATION (0)","","37.388748863000004","-121.929741607","1"
"4759","64759","TASMAN STATION (0)","","37.408668517999999","-121.94446295100001","1"
"4810","64810","OLD IRONSIDES STATION (0)","","37.403308940999999","-121.97986201099999","1"
"4808","64808","LICK MILL STATION (0)","","37.407616296999997","-121.96367889","1"
"4758","64758","RIVER OAKS STATION (0)","","37.402846894","-121.940027398","1"
"4757","64757","ORCHARD STATION (0)","","37.39572991","-121.93486863","1"
"4755","64755","COMPONENT STATION (0)","","37.383483388999998","-121.925777086","1"
"4754","64754","KARINA COURT STATION (0)","","37.376277678000001","-121.92040537","1"
"4769","64769","GISH STATION (1)","","37.360938191999999","-121.9090988","1"
"4809","64809","GREAT AMERICA STATION (0)","","37.403468328999999","-121.974908425","1"
"4749","64749","ST JAMES STATION (0)","","37.338552999999997","-121.892314","1"
"4750","64750","JAPANTOWN/AYER STATION (0)","","37.345556684999998","-121.897559175","1"
"4747","64747","SAN ANTONIO STATION (0)","","37.332822","-121.888037","1"
"4731","64731","OHLONE-CHYNOWETH STATION (0)","","37.257992958999999","-121.85966629000001","1"
"4744","64744","VIRGINIA STATION (0)","","37.319828059999999","-121.89010437","1"
"4742","64742","CURTNER STATION (0)","","37.293752480000002","-121.87262179699999","1"
"4807","64807","CHAMPION STATION (0)","","37.409422968000001","-121.95261636399999","1"
"4800","64800","CHAMPION STATION (1)","","37.408898393999998","-121.951936347","1"
"4741","64741","CAPITOL STATION (0)","","37.275293044999998","-121.863268615","1"
"4743","64743","TAMIEN STATION (0)","","37.311927466","-121.88480874","1"
"4745","64745","CHILDRENS DISC. MUSEUM STA (0)","","37.327764631000001","-121.893665023","1"
"4740","64740","BRANHAM STATION (0)","","37.267295633000003","-121.859381404","1"
"4796","64796","REAMWOOD STATION (1)","","37.403509624999998","-121.98740741","1"
"4811","64811","REAMWOOD STATION (0)","","37.403572230999998","-121.989663361","1"
"4795","64795","VIENNA STATION (1)","","37.403354290999999","-121.998254323","1"
"4812","64812","VIENNA STATION (0)","","37.403396305000001","-122.00087443300001","1"
"4794","64794","FAIR OAKS STATION (1)","","37.402578104","-122.00863800899999","1"
