from_stop_id,to_stop_id,transfer_type
10027,10027,0
10030,10030,0
10033,10033,0
10036,10036,0
10043,10043,0
10064,10064,0
10073,10073,0
10084,10084,0
10088,10088,0
10092,10092,0
10093,10093,0
10094,10094,0
10095,10095,0
10098,10098,0
10106,10106,0
10112,10112,0
10120,10120,0
10125,10125,0
10127,10127,0
10128,10128,0
10129,10129,0
10132,10132,0
10133,10133,0
10134,10134,0
10135,10135,0
10160,10160,0
10170,10170,0
10180,10180,0
10197,10197,0
10200,10200,0
10203,10203,0
10220,10220,0
10222,10222,0
10222,10223,0
10223,10222,0
10228,10228,0
10229,10229,0
10233,10233,0
10240,10240,0
10240,10241,0
10241,10240,0
10241,10241,0
10248,10248,0
10250,10250,0
10257,10260,0
10260,10257,0
10260,10260,0
10265,10265,0
10296,10296,0
10308,10308,0
10330,10330,0
10331,10331,0
10333,10333,0
10351,10351,0
10364,10364,0
10378,10378,0
10379,10379,0
10385,10385,0
10396,10396,0
10397,10397,0
10409,10409,0
10409,10411,0
10411,10409,0
10414,10414,0
10427,10427,0
10436,10436,0
10452,10452,0
10490,10490,0
10501,10501,0
10514,10514,0
10528,10528,0
10535,10535,0
10543,10543,0
10550,10550,0
10552,10552,0
10556,10556,0
10561,10561,0
10579,10579,0
10590,10590,0
10591,10591,0
10594,10594,0
10595,10595,0
10597,10597,0
10618,10618,0
10623,10623,0
10628,10628,0
10628,10629,0
10628,10630,0
10629,10628,0
10629,10629,0
10629,10630,0
10630,10628,0
10630,10629,0
10630,10630,0
10630,10632,0
10631,10631,0
10631,10638,0
10632,10630,0
10632,10632,0
10633,10633,0
10633,10636,0
10633,10638,0
10636,10633,0
10636,10636,0
10636,10640,0
10636,10643,0
10636,10644,0
10638,10631,0
10638,10633,0
10638,10638,0
10638,10644,0
10640,10636,0
10640,10640,0
10640,10644,0
10641,10641,0
10643,10636,0
10643,10643,0
10643,10645,0
10644,10636,0
10644,10638,0
10644,10640,0
10644,10644,0
10644,10645,0
10645,10643,0
10645,10644,0
10645,10645,0
10646,10647,0
10647,10646,0
10647,10647,0
10648,10648,0
10648,10650,0
10650,10648,0
10650,10650,0
10650,10652,0
10652,10650,0
10652,10652,0
10652,10653,0
10653,10652,0
10653,10653,0
10653,10654,0
10653,10655,0
10654,10653,0
10654,10654,0
10654,10656,0
10655,10653,0
10655,10655,0
10655,10656,0
10656,10654,0
10656,10655,0
10656,10656,0
10657,10657,0
10657,10658,0
10658,10657,0
10663,10664,0
10664,10663,0
10664,10664,0
10665,10665,0
