from_stop_id,to_stop_id,transfer_type
10222,10223,0
10223,10222,0
10240,10241,0
10241,10240,0
10257,10260,0
10260,10257,0
10409,10411,0
10411,10409,0
10628,10629,0
10628,10630,0
10629,10628,0
10629,10630,0
10630,10628,0
10630,10629,0
10630,10632,0
10631,10638,0
10632,10630,0
10633,10636,0
10633,10638,0
10636,10633,0
10636,10640,0
10636,10643,0
10636,10644,0
10638,10631,0
10638,10633,0
10638,10644,0
10640,10636,0
10640,10644,0
10643,10636,0
10643,10645,0
10644,10636,0
10644,10638,0
10644,10640,0
10644,10645,0
10645,10643,0
10645,10644,0
10646,10647,0
10647,10646,0
10648,10650,0
10650,10648,0
10650,10652,0
10652,10650,0
10652,10653,0
10653,10652,0
10653,10654,0
10653,10655,0
10654,10653,0
10654,10656,0
10655,10653,0
10655,10656,0
10656,10654,0
10656,10655,0
10657,10658,0
10658,10657,0
10663,10664,0
10664,10663,0
