route_id,service_id,trip_id,trip_headsign,block_id,shape_id,trip_index,trp_time_end,trp_place_end,trp_place_end_descr,trp_trip_ST,trp_block,trp_operating_days
72-118,20181S-vs20181S-Weekday-16,3403236-20181S-vs20181S-Weekday-16,"72 - Hospital / Pinto Lake",583916,720003,1,07:40:00,wtc,"Watsonville Transit Center",0,7201,
72-118,20181S-vs20181S-Weekday-16,3403237-20181S-vs20181S-Weekday-16,"72 - Hospital / Pinto Lake",583916,720003,2,08:40:00,wtc,"Watsonville Transit Center",0,7201,
72-118,20181S-vs20181S-Weekday-16,3403238-20181S-vs20181S-Weekday-16,"72 - Hospital / Pinto Lake",583919,720003,3,09:40:00,wtc,"Watsonville Transit Center",0,7202,
72-118,20181S-vs20181S-Weekday-16,3403239-20181S-vs20181S-Weekday-16,"72 - Hospital / Pinto Lake",583918,720003,4,10:40:00,wtc,"Watsonville Transit Center",0,7501,
72-118,20181S-vs20181S-Weekday-16,3403240-20181S-vs20181S-Weekday-16,"72 - Hospital / Pinto Lake",583916,720003,5,11:40:00,wtc,"Watsonville Transit Center",0,7201,
72-118,20181S-vs20181S-Weekday-16,3403241-20181S-vs20181S-Weekday-16,"72 - Hospital / Pinto Lake",583919,720003,6,12:40:00,wtc,"Watsonville Transit Center",0,7202,
72-118,20181S-vs20181S-Weekday-16,3403242-20181S-vs20181S-Weekday-16,"72 - Hospital / Pinto Lake",583918,720003,7,13:45:00,wtc,"Watsonville Transit Center",0,7501,
72-118,20181S-vs20181S-Weekday-16,3403243-20181S-vs20181S-Weekday-16,"72 - Hospital / Pinto Lake",583916,720003,8,14:45:00,wtc,"Watsonville Transit Center",0,7201,
72-118,20181S-vs20181S-Weekday-16,3403244-20181S-vs20181S-Weekday-16,"72 - Hospital / Pinto Lake",583919,720003,9,15:45:00,wtc,"Watsonville Transit Center",0,7202,
72-118,20181S-vs20181S-Weekday-16,3403245-20181S-vs20181S-Weekday-16,"72 - Hospital / Pinto Lake",583918,720003,10,16:45:00,wtc,"Watsonville Transit Center",0,7501,
72-118,20181S-vs20181S-Weekday-16,3403246-20181S-vs20181S-Weekday-16,"72 - Hospital / Pinto Lake",583981,720003,11,17:45:00,wtc,"Watsonville Transit Center",0,7102,
72-118,20181S-vs20181S-Weekday-16,3403247-20181S-vs20181S-Weekday-16,"72 - Hospital / Pinto Lake",583916,720003,12,18:45:00,wtc,"Watsonville Transit Center",0,7201,
75-118,20181S-vs20181S-Weekday-16,3403248-20181S-vs20181S-Weekday-16,"75 - Green Valley/Wheelock",583919,750005,13,08:13:00,wtc,"Watsonville Transit Center",0,7202,
75-118,20181S-vs20181S-Weekday-16,3403249-20181S-vs20181S-Weekday-16,"75 - Green Valley/Wheelock",583918,750005,14,09:13:00,wtc,"Watsonville Transit Center",0,7501,
75-118,20181S-vs20181S-Weekday-16,3403250-20181S-vs20181S-Weekday-16,"75 - Green Valley/Wheelock",583916,750005,15,10:13:00,wtc,"Watsonville Transit Center",0,7201,
75-118,20181S-vs20181S-Weekday-16,3403251-20181S-vs20181S-Weekday-16,"75 - Green Valley/Wheelock",583919,750005,16,11:15:00,wtc,"Watsonville Transit Center",0,7202,
