timetable_id,stop_id,stop_sequence,stop_name,connected_routes
1,808706,1,Transit Center,"1/, 2/, 3/, 4/, 5/, 6/, 61/, 62/, 7/, /7 Evening, /Guadalupe Flyer, /The Breeze 100, /The Breeze 200"
1,808834,2,Town Center Mall,"1/, 2/, 4/, 5/, 6/, 61/, 62/, /Guadalupe Flyer"
1,808708,3,Broadway at Mill,"1/, 61/"
1,808709,4,Broadway at Tunnell,"1/, 61/"
1,808710,5,Broadway at Alvin,"1/, 61/"
1,808711,6,Broadway at Orchard,"1/, 61/"
1,808712,7,Broadway at Williams,"1/, 61/, 62/"
1,808713,8,Broadway at Taylor,"1/, 61/, 62/"
1,808714,9,Taylor at Broadway,"1/, 61/, 62/"
1,808715,10,Taylor at Casa Grande,"1/, 62/"
1,808716,11,Railroad Ave at Taylor St,"1/, 61/"
1,808717,12,Railroad Ave at Hidden Pines Way,"1/, 61/"
1,816015,13,Hidden Pines at Railroad,"1/, 61/"
1,808718,14,Hidden Pines Way at Preisker Park,"1/, 61/"
1,808719,15,Preisker Ln at Cedar,"1/, 61/"
1,808721,16,Broadway at Taylor,"1/, 61/"
1,808722,17,Broadway at Williams,"1/, 61/"
1,808723,18,Broadway at Orchard,"1/, 61/"
1,808724,19,Broadway at Agnes,1/
1,808725,20,Broadway at McElhany,"1/, 61/"
1,808726,21,Broadway at Hermosa,"1/, 61/"
1,808727,22,Broadway at Fesler,"1/, 61/"
1,808950,23,Main at Broadway (North Town Center Mall),"1/, 2/, 5/, 6/, 61/, 62/"
1,808728,24,Miller at Orange (Cook),"1/, 2/, 3/, 4/, 5/, 6/, 61/"
1,808706,25,Transit Center,"1/, 2/, 3/, 4/, 5/, 6/, 61/, 62/, 7/, /7 Evening, /Guadalupe Flyer, /The Breeze 100, /The Breeze 200"
2,808706,1,Transit Center,"1/, 2/, 3/, 4/, 5/, 6/, 61/, 62/, 7/, /7 Evening, /Guadalupe Flyer, /The Breeze 100, /The Breeze 200"
2,808834,2,Town Center Mall,"1/, 2/, 4/, 5/, 6/, 61/, 62/, /Guadalupe Flyer"
2,808708,3,Broadway at Mill,"1/, 61/"
2,808709,4,Broadway at Tunnell,"1/, 61/"
2,808710,5,Broadway at Alvin,"1/, 61/"
2,808711,6,Broadway at Orchard,"1/, 61/"
2,808712,7,Broadway at Williams,"1/, 61/, 62/"
2,808713,8,Broadway at Taylor,"1/, 61/, 62/"
2,808714,9,Taylor at Broadway,"1/, 61/, 62/"
2,808715,10,Taylor at Casa Grande,"1/, 62/"
2,808716,11,Railroad Ave at Taylor St,"1/, 61/"
2,808717,12,Railroad Ave at Hidden Pines Way,"1/, 61/"
