route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type
3265,c_2573_b_212_d_31,t_77322_b_212_tn_6,,,,,p_6813,,,
3265,c_2573_b_212_d_31,t_19079_b_212_tn_0,,,,,p_6813,,,
3265,c_2573_b_212_d_31,t_19080_b_212_tn_0,,,,,p_6813,,,
3265,c_2573_b_212_d_31,t_19081_b_212_tn_0,,,,,p_6813,,,
3265,c_2573_b_212_d_31,t_73898_b_212_tn_1,,,,,p_6813,,,
3265,c_2573_b_212_d_31,t_73898_b_212_tn_2,,,,,p_6813,,,
3265,c_2573_b_212_d_31,t_77312_b_212_tn_1,,,,,p_6813,,,
3265,c_2573_b_212_d_31,t_77312_b_212_tn_2,,,,,p_6813,,,
3265,c_2573_b_212_d_31,t_77312_b_212_tn_3,,,,,p_6813,,,
3265,c_2573_b_212_d_31,t_77312_b_212_tn_4,,,,,p_6813,,,
3265,c_2573_b_212_d_31,t_77312_b_212_tn_5,,,,,p_6813,,,
3265,c_2573_b_212_d_31,t_77312_b_212_tn_6,,,,,p_6813,,,
3265,c_2573_b_212_d_31,t_77312_b_212_tn_7,,,,,p_6813,,,
3265,c_2573_b_212_d_31,t_77312_b_212_tn_8,,,,,p_6813,,,
3265,c_2573_b_212_d_31,t_77313_b_212_tn_1,,,,,p_6813,,,
3265,c_2573_b_212_d_31,t_77313_b_212_tn_2,,,,,p_6813,,,
3265,c_2573_b_212_d_31,t_77313_b_212_tn_3,,,,,p_6813,,,
3265,c_2573_b_212_d_31,t_77313_b_212_tn_4,,,,,p_6813,,,
3265,c_2573_b_212_d_31,t_77322_b_212_tn_1,,,,,p_6813,,,
3265,c_2573_b_212_d_31,t_77322_b_212_tn_2,,,,,p_6813,,,
3265,c_2573_b_212_d_31,t_77322_b_212_tn_3,,,,,p_6813,,,
3265,c_2573_b_212_d_31,t_77322_b_212_tn_4,,,,,p_6813,,,
3265,c_2573_b_212_d_31,t_77322_b_212_tn_5,,,,,p_6813,,,
3265,c_2573_b_212_d_96,t_73072_b_212_tn_4,,,,,p_6813,,,
3265,c_2573_b_212_d_96,t_47247_b_212_tn_0,,,,,p_6813,,,
3265,c_2573_b_212_d_96,t_73072_b_212_tn_1,,,,,p_6813,,,
3265,c_2573_b_212_d_96,t_73072_b_212_tn_10,,,,,p_6813,,,
3265,c_2573_b_212_d_96,t_73072_b_212_tn_11,,,,,p_6813,,,
3265,c_2573_b_212_d_96,t_73072_b_212_tn_12,,,,,p_6813,,,
3265,c_2573_b_212_d_96,t_73072_b_212_tn_13,,,,,p_6813,,,
3265,c_2573_b_212_d_96,t_73072_b_212_tn_14,,,,,p_6813,,,
3265,c_2573_b_212_d_96,t_73072_b_212_tn_15,,,,,p_6813,,,
3265,c_2573_b_212_d_96,t_73072_b_212_tn_16,,,,,p_6813,,,
3265,c_2573_b_212_d_96,t_73072_b_212_tn_2,,,,,p_6813,,,
3265,c_2573_b_212_d_96,t_73072_b_212_tn_3,,,,,p_6813,,,
3265,c_2573_b_212_d_96,t_73072_b_212_tn_5,,,,,p_6813,,,
3265,c_2573_b_212_d_96,t_73072_b_212_tn_6,,,,,p_6813,,,
3265,c_2573_b_212_d_96,t_73072_b_212_tn_7,,,,,p_6813,,,
3265,c_2573_b_212_d_96,t_73072_b_212_tn_8,,,,,p_6813,,,
3265,c_2573_b_212_d_96,t_73072_b_212_tn_9,,,,,p_6813,,,
3265,c_2573_b_none_d_96,t_73072_b_none_tn_8,,,,,p_6813,,,
3265,c_2573_b_none_d_96,t_47247_b_none_tn_0,,,,,p_6813,,,
3265,c_2573_b_none_d_96,t_73072_b_none_tn_1,,,,,p_6813,,,
3265,c_2573_b_none_d_96,t_73072_b_none_tn_10,,,,,p_6813,,,
3265,c_2573_b_none_d_96,t_73072_b_none_tn_11,,,,,p_6813,,,
3265,c_2573_b_none_d_96,t_73072_b_none_tn_12,,,,,p_6813,,,
3265,c_2573_b_none_d_96,t_73072_b_none_tn_13,,,,,p_6813,,,
3265,c_2573_b_none_d_96,t_73072_b_none_tn_14,,,,,p_6813,,,
3265,c_2573_b_none_d_96,t_73072_b_none_tn_15,,,,,p_6813,,,
3265,c_2573_b_none_d_96,t_73072_b_none_tn_16,,,,,p_6813,,,
3265,c_2573_b_none_d_96,t_73072_b_none_tn_2,,,,,p_6813,,,
3265,c_2573_b_none_d_96,t_73072_b_none_tn_3,,,,,p_6813,,,
3265,c_2573_b_none_d_96,t_73072_b_none_tn_9,,,,,p_6813,,,
3265,c_2573_b_none_d_96,t_73072_b_none_tn_4,,,,,p_6813,,,
3265,c_2573_b_none_d_96,t_73072_b_none_tn_5,,,,,p_6813,,,
3265,c_2573_b_none_d_96,t_73072_b_none_tn_6,,,,,p_6813,,,
