stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
80100,80100,Transit Mall,38.43869,-122.713715,0
80101,80101,B Street @ Ross St,38.441292,-122.716721,0
80102,80102,Mendocino Ave @ Cherry St,38.444553,-122.716988,0
80103,80103,Mendocino Ave @ Carrillo St,38.446613,-122.717651,0
80104,80104,Mendocino Ave @ Nason St,38.449944,-122.717537,0
80105,80105,Mendocino Ave @ Pacific Ave,38.453194,-122.717407,0
80106,80106,Mendocino Ave @ McConnell Ave,38.455032,-122.717346,0
80107,80107,Mendocino Ave @ Dexter St,38.457211,-122.71727,0
80108,80108,Mendocino Ave @ Silva Ave,38.458618,-122.717186,0
80109,80109,Mendocino Ave @ Lewis Rd,38.462185,-122.717682,0
80110,80110,Mendocino Ave @ Administration Dr,38.465565,-122.719597,0
80111,80111,Bicentennial Ave @ Ventura Ave,38.470299,-122.7257,0
80112,80112,Range Ave @ Russell Ave,38.468586,-122.732658,0
80113,80113,Range Ave @ State Farm Dr,38.465614,-122.732742,0
80114,80114,Range Ave @ Katy Ct,38.462696,-122.732712,0
80115,80115,Range Ave @ West Steele Ln,38.460533,-122.732582,0
80116,80116,Range Ave @ West Steele Ln,38.460659,-122.732422,0
80117,80117,Range Ave @ Katy Ct,38.463573,-122.732605,0
80118,80118,Range Ave @ State Farm Dr,38.466644,-122.73259,0
80119,80119,Range Ave @ Russell Ave,38.469658,-122.732521,0
80120,80120,Bicentennial Ave @ Ventura Ave,38.470139,-122.724731,0
80121,80121,Mendocino Ave @ Administration Dr,38.464756,-122.719223,0
80122,80122,Mendocino Ave @ Schurman Dr,38.462875,-122.718163,0
80123,80123,Mendocino Ave @ Clement St,38.459187,-122.717209,0
80124,80124,Mendocino Ave @ Pacific Ave,38.45388,-122.717422,0
80125,80125,Mendocino Ave @ Ridgway,38.450943,-122.717552,0
80126,80126,Mendocino Ave @ Benton St,38.448025,-122.717651,0
80127,80127,Healdsburg Ave @ Tenth St,38.44405,-122.717812,0
80128,80128,B Street @ Ross St,38.440887,-122.716568,0
80129,80129,Mission Blvd @ Hwy 12,38.459229,-122.675179,0
80130,80130,Railroad Ave @ West Third St,38.43586,-122.720078,0
80131,80131,Olive St @ Laurel St,38.433128,-122.718941,0
80132,80132,Sebastopol Rd @ Chestnut St,38.431973,-122.719589,0
80133,80133,Sebastopol Rd @ Dutton Ave,38.43071,-122.725029,0
80134,80134,Sebastopol Rd @ West Ave,38.429726,-122.729294,0
80135,80135,Sebastopol Rd @ Romani Ct,38.428524,-122.734291,0
80136,80136,Sebastopol Rd @ Hampton Wy,38.427601,-122.738129,0
80137,80137,Stony Point Rd @ Sebastopol Rd,38.426476,-122.741333,0
80138,80138,Stony Point Rd @ Marble St,38.420956,-122.740601,0
80139,80139,Stony Point Rd @ Giffen Ave,38.418526,-122.740257,0
80140,80140,Northpoint Pkwy @ Stony Point Rd,38.416031,-122.740883,0
80141,80141,Northpoint Pkwy @ Lombardi Ln,38.416252,-122.747002,0
80142,80142,Northpoint Pkwy @ Mariner Ln,38.416065,-122.749641,0
80143,80143,Northpoint Pkwy @ Corporate Center Pkwy,38.416035,-122.753906,0
80145,80145,Sebastopol Rd @ Corporate Center Pkwy,38.425926,-122.75399,0
80146,80146,Fresno Ave @ Sebastopol Rd,38.424984,-122.759666,0
80147,80147,Finley Ave @ Wright Rd,38.419827,-122.768524,0
80148,80148,450 Wright Rd,38.423283,-122.76889,0
80150,80150,Sebastopol Rd @ Doubles Dr,38.425266,-122.76152,0
80151,80151,Sebastopol Rd @ Mattson Rd,38.4258,-122.75502,0
80152,80152,Sebastopol Rd @ Corporate Center Pkwy,38.426067,-122.751198,0
80153,80153,Sebastopol Rd @ Lombardi Ln,38.426346,-122.747665,0
80154,80154,Sebastopol Rd @ Laurel Grove Cir,38.426571,-122.745018,0
80155,80155,Sebastopol Rd @ Kenmore Ln,38.426693,-122.743462,0
80156,80156,Sebastopol Rd @ Kenmore Ln,38.4268,-122.742653,0
80157,80157,Sebastopol Rd @ Laurel Grove Cir,38.426559,-122.745628,0
80158,80158,Sebastopol Rd @ Lombardi Ct,38.426292,-122.749039,0
80159,80159,Sebastopol Rd @ Hampton Wy,38.427628,-122.73777,0
80160,80160,Sebastopol Rd @ Burbank Ave,38.428524,-122.734039,0
80161,80161,Sebastopol Rd @ McMinn Ave,38.429096,-122.731644,0
80162,80162,Sebastopol Rd @ West Ave,38.430042,-122.72773,0
80163,80163,Sebastopol Rd @ Dutton Ave,38.430695,-122.724884,0
80164,80164,Sebastopol Rd @ Boyd St,38.431858,-122.71994,0
80165,80165,Olive St @ Hazel St,38.434162,-122.719276,0
80166,80166,West Third St @ Railroad Ave,38.436775,-122.71949,0
80167,80167,Santa Rosa Ave @ Sebastopol Ave,38.433914,-122.711815,0
80168,80168,Santa Rosa Ave @ South A St,38.431736,-122.711357,0
80169,80169,Santa Rosa Ave @ Barham Ave,38.427391,-122.713089,0
80170,80170,Santa Rosa Ave @ Flower Ave,38.423981,-122.713547,0
80171,80171,1993 Santa Rosa Ave,38.418957,-122.713547,0
80172,80172,2785 Santa Rosa Ave,38.411201,-122.713615,0
80173,80173,Santa Rosa Ave @ Burt St,38.408875,-122.713531,0
80174,80174,Court St @ Santa Rosa Ave,38.406738,-122.712791,0
80175,80175,Elsa Dr @ Santa Rosa Ave,38.405643,-122.712738,0
80176,80176,Santa Rosa Ave @ Apple Ln,38.407528,-122.713371,0
80177,80177,Santa Rosa Ave @ Burt St,38.410152,-122.713394,0
80178,80178,Santa Rosa Ave @ Yolanda Ave,38.411953,-122.713432,0
80179,80179,1990 Santa Rosa Ave,38.419453,-122.713509,0
80180,80180,Santa Rosa Ave @ Colgan Ave,38.42141,-122.713516,0
80181,80181,Santa Rosa Ave @ Flower Ave,38.424133,-122.713486,0
80182,80182,Santa Rosa Ave @ Barham Ave,38.427525,-122.712936,0
80183,80183,Santa Rosa Ave @ Maple St,38.432053,-122.711342,0
80184,80184,Santa Rosa Ave @ Mill St,38.434113,-122.7118,0
80185,80185,South E St @ Sonoma Ave,38.438477,-122.708267,0
80186,80186,South E St @ Tupper St,38.437485,-122.707039,0
80187,80187,South E St @ Wheeler St,38.435513,-122.705635,0
80188,80188,Maple Ave @ Hendley St,38.432732,-122.706482,0
80189,80189,Bennett Valley Rd @ Rutledge Ave,38.430725,-122.710342,0
80190,80190,Bennett Valley Rd @ Temple St,38.431767,-122.706505,0
80191,80191,Bennett Valley Rd @ Brookwood Ave,38.432835,-122.702087,0
80192,80192,Bennett Valley Rd @ Corktree Ln,38.434029,-122.694328,0
80193,80193,Farmers Ln @ Neotomas Ave,38.433788,-122.688171,0
80194,80194,1430 Neotomas Ave,38.433571,-122.686279,0
80195,80195,Post Ranch Rd @ Townview Ave,38.434437,-122.683563,0
80196,80196,1405 Townview Ave,38.435757,-122.685471,0
80197,80197,Townview Ln @ Neotomas Ave,38.433945,-122.687164,0
80198,80198,Yulupa Ave @ Mayette Ave,38.442162,-122.673767,0
80199,80199,2055 Range Ave,38.456345,-122.732681,0
80200,80200,Coddingtown,38.457134,-122.732567,0
80201,80201,1401 Guerneville Rd,38.457855,-122.734375,0
80202,80202,Guerneville Rd @ Lance Dr,38.454765,-122.739159,0
80203,80203,Guerneville Rd @ Ridley Ave,38.452671,-122.745941,0
80204,80204,Marlow Rd @ Zinfandel Wy,38.450958,-122.75135,0
80205,80205,55 Stony Point Rd,38.442806,-122.749725,0
80206,80206,Stony Point Rd @ Stony Cir,38.440559,-122.74514,0
80207,80207,Stony Point Rd @ Glenbrook Dr,38.436985,-122.742805,0
80208,80208,Stony Point Rd @ West Third St,38.434284,-122.7425,0
80209,80209,Stony Point Rd @ Sebastopol Rd,38.428761,-122.741661,0
80210,80210,Stony Point Rd @ Pearblossom Dr,38.41449,-122.740135,0
80211,80211,Hearn Ave @ Stony Point Rd,38.412151,-122.740524,0
80212,80212,Hearn Ave @ Arrowhead Dr,38.41254,-122.738174,0
80213,80213,Dutton Meadow @ Hearn Ave,38.412426,-122.729324,0
80214,80214,Dutton Meadow @ Cass Rd,38.407703,-122.729446,0
80215,80215,Dutton Meadow @ Bellevue Ave,38.402184,-122.729469,0
80216,80216,Bellevue Ave @ Burgess Dr,38.40192,-122.733871,0
80217,80217,Bellevue Ave @ Stony Point Rd,38.401882,-122.741249,0
80218,80218,Stony Point Rd @ Bellevue Ranch Rd,38.40752,-122.741302,0
80219,80219,Stony Point Rd @ Old Stony Point Rd,38.414185,-122.740059,0
80220,80220,Stony Point Rd @ Giffen Ave,38.417801,-122.740051,0
80221,80221,Stony Point Rd @ Trombetta St,38.422527,-122.740654,0
80222,80222,Stony Point Rd @ Sebastopol Rd,38.427624,-122.741287,0
80223,80223,Stony Point Rd @ West Third St,38.432758,-122.741959,0
80224,80224,Stony Point Rd @ Glenbrook Dr,38.437176,-122.742729,0
80225,80225,Marlow Rd @ West College Ave,38.445923,-122.751175,0
80226,80226,Marlow Rd @ Guerneville Rd,38.451828,-122.751228,0
80227,80227,Guerneville Rd @ Ridley Ave,38.452541,-122.745979,0
80228,80228,Guerneville Rd @ Coffey Ln,38.456585,-122.735985,0
80229,80229,Hopper Ave @ Airway Dr,38.479706,-122.737762,0
80230,80230,Cleveland Ave @ Hopper Ave,38.478302,-122.733116,0
80231,80231,Fountaingrove Pkwy @ Round Barn Blvd,38.475094,-122.727119,0
80232,80232,Round Barn Blvd @ Unocal Pl,38.479092,-122.723175,0
80233,80233,3585 Round Barn Blvd,38.480667,-122.727081,0
80234,80234,Round Barn Blvd @ Round Barn Cir,38.478172,-122.728035,0
80235,80235,3555 Round Barn Blvd,38.476803,-122.727219,0
80236,80236,Mendocino Ave @ Fountain Grove Pkwy,38.473896,-122.727448,0
80237,80237,401 Mendocino Ave,38.472549,-122.725647,0
80238,80238,Piner Rd @ Opal Ave,38.472061,-122.733589,0
80239,80239,Piner Rd @ Piner Pl,38.472042,-122.736122,0
80240,80240,Piner Rd @ Industrial Dr,38.470814,-122.740433,0
80241,80241,1675 Piner Rd,38.469868,-122.741577,0
80242,80242,Coffey Ln @ Piner Rd,38.467564,-122.744408,0
80243,80243,Coffey Ln @ Bluebell Dr,38.465591,-122.741699,0
80244,80244,Range Ave @ Jennings Ave,38.452763,-122.731735,0
80245,80245,Frances St @ Central Ave,38.450253,-122.727951,0
80246,80246,Cleveland Ave @ Eleventh St,38.444378,-122.72673,0
80247,80247,Ninth St @ Davis St,38.442287,-122.721855,0
80248,80248,Stony Point Rd @ Mesa Way,38.424644,-122.740959,0
80249,80249,Hwy 12 @ Acacia Ln,38.462616,-122.668968,0
