trip_id,route_id,service_id,trip_headsign,block_id,shape_id
583,14,2,Loop,613,4
120,2,1,Loop,102,9
344,7,3,Loop,706,1
197,3,3,Loop,705,0
160,3,2,Loop,603,0
315,7,1,Loop,120,1
564,14,1,Loop,115,4
365,8,1,Loop,116,2
51,1,1,Loop,104,10
2,1,1,Loop,103,10
22,1,1,Loop,107,10
617,15,2,Loop,606,5
520,13,1,Loop,115,7
278,5,3,Loop,708,6
501,11,3,Loop,707,15
549,14,1,Loop,118,4
627,16,1,Loop,108,12
559,14,1,Loop,120,4
29,1,1,Loop,102,10
14,1,1,Loop,103,10
565,14,1,Loop,117,4
131,3,1,Loop,103,0
489,11,2,Loop,611,15
500,11,3,Loop,708,15
465,11,1,Loop,118,15
350,8,1,Loop,119,2
237,4,2,Loop,608,13
513,13,1,Loop,121,7
140,3,1,Loop,103,0
508,13,1,Loop,122,7
615,15,2,Loop,604,5
514,13,1,Loop,117,7
286,6,1,Loop,117,3
94,1,3,Loop,702,10
218,4,1,Loop,114,13
619,15,2,Loop,606,5
318,7,1,Loop,120,1
28,1,1,Loop,107,10
466,11,1,Loop,118,15
251,5,1,Loop,124,6
478,11,1,Loop,118,15
539,13,2,Loop,610,20
481,11,1,Loop,116,15
443,10,2,Loop,609,8
575,14,1,Loop,114,4
343,7,3,Loop,711,1
42,1,1,Loop,101,10
117,2,1,Loop,102,9
54,1,1,Loop,101,10
360,8,1,Loop,115,2
145,3,1,Loop,101,0
74,1,2,Loop,602,10
249,5,1,Loop,124,6
210,4,1,Loop,114,13
585,14,2,Loop,612,4
71,1,2,Loop,602,10
561,14,1,Loop,120,4
570,14,1,Loop,120,4
516,13,1,Loop,118,7
44,1,1,Loop,103,10
289,6,1,Loop,123,3
538,13,2,Loop,609,20
141,3,1,Loop,107,0
517,13,1,Loop,119,7
89,1,3,Loop,705,10
102,2,1,Loop,102,9
113,2,1,Loop,104,9
112,2,1,Loop,106,9
654,17,1,Outbound,111,18
383,8,2,Loop,607,2
190,3,3,Loop,702,0
572,14,1,Loop,117,4
394,8,3,Loop,712,2
78,1,2,Loop,603,10
414,10,1,Loop,115,8
418,10,1,Loop,121,8
429,10,1,Loop,121,8
488,11,2,Loop,609,15
194,3,3,Loop,705,0
415,10,1,Loop,123,8
542,13,3,Loop,712,20
600,15,1,Loop,105,5
284,6,1,Loop,117,3
424,10,1,Loop,118,8
156,3,1,Loop,107,0
451,10,3,Loop,712,8
483,11,2,Loop,611,15
129,2,1,Loop,102,9
475,11,1,Loop,117,15
337,7,2,Loop,608,1
597,14,3,Loop,711,4
314,7,1,Loop,122,1
320,7,1,Loop,117,1
157,3,1,Loop,101,0
45,1,1,Loop,104,10
34,1,1,Loop,107,10
306,7,1,Loop,121,1
533,13,2,Loop,609,20
239,4,2,Loop,611,13
200,4,1,Loop,125,13
577,14,2,Loop,611,4
159,3,2,Loop,602,0
598,15,1,Loop,105,5
522,13,1,Loop,122,7
351,8,1,Loop,114,2
12,1,1,Loop,101,10
406,10,1,Loop,122,8
204,4,1,Loop,117,13
578,14,2,Loop,611,4
245,4,3,Loop,712,13
368,8,1,Loop,118,2
505,13,1,Loop,114,7
307,7,1,Loop,118,1
367,8,1,Loop,113,2
407,10,1,Loop,115,8
305,7,1,Loop,118,1
417,10,1,Loop,124,8
240,4,2,Loop,612,13
146,3,1,Loop,103,0
292,6,1,Loop,119,3
482,11,1,Loop,118,15
192,3,3,Loop,701,0
532,13,2,Loop,611,20
331,7,2,Loop,613,1
295,6,1,Loop,123,3
95,1,3,Loop,705,10
384,8,2,Loop,608,2
553,14,1,Loop,121,4
104,2,1,Loop,104,9
546,13,3,Loop,707,20
81,1,2,Loop,603,10
562,14,1,Loop,114,4
294,6,1,Loop,122,3
182,3,2,Loop,601,0
420,10,1,Loop,113,8
291,6,1,Loop,123,3
521,13,1,Loop,125,7
552,14,1,Loop,116,4
18,1,1,Loop,101,10
653,17,1,Outbound,110,18
30,1,1,Loop,101,10
93,1,3,Loop,701,10
322,7,1,Loop,118,1
376,8,2,Loop,609,2
165,3,2,Loop,602,0
32,1,1,Loop,103,10
99,1,3,Loop,701,10
281,5,3,Loop,710,6
342,7,3,Loop,710,1
202,4,1,Loop,125,13
231,4,2,Loop,610,13
170,3,2,Loop,601,0
498,11,3,Loop,709,15
340,7,3,Loop,708,1
152,3,1,Loop,103,0
493,11,2,Loop,608,15
27,1,1,Loop,104,10
509,13,1,Loop,119,7
173,3,2,Loop,601,0
430,10,1,Loop,115,8
440,10,2,Loop,610,8
303,7,1,Loop,121,1
573,14,1,Loop,116,4
632,16,1,Loop,108,12
362,8,1,Loop,125,2
405,9,1,Loop,109,16
490,11,2,Loop,607,15
629,16,1,Loop,108,12
608,15,1,Loop,105,5
393,8,3,Loop,708,2
607,15,1,Loop,109,5
637,16,2,Loop,605,12
511,13,1,Loop,114,7
297,6,1,Loop,120,3
280,5,3,Loop,706,6
590,14,2,Loop,612,4
70,1,2,Loop,601,10
316,7,1,Loop,117,1
60,1,2,Loop,603,10
25,1,1,Loop,106,10
296,6,1,Loop,125,3
84,1,2,Loop,603,10
398,9,1,Loop,105,16
454,10,3,Loop,710,8
38,1,1,Loop,103,10
328,7,2,Loop,608,1
460,11,1,Loop,118,15
645,16,3,Loop,704,12
308,7,1,Loop,125,1
459,11,1,Loop,118,15
15,1,1,Loop,104,10
85,1,2,Loop,601,10
613,15,2,Loop,604,5
225,4,1,Loop,123,13
497,11,3,Loop,712,15
309,7,1,Loop,120,1
135,3,1,Loop,107,0
254,5,1,Loop,115,6
236,4,2,Loop,613,13
358,8,1,Loop,114,2
336,7,2,Loop,612,1
377,8,2,Loop,613,2
339,7,2,Loop,608,1
271,5,2,Loop,608,6
494,11,2,Loop,610,15
524,13,1,Loop,121,7
504,13,1,Loop,119,7
427,10,1,Loop,123,8
409,10,1,Loop,115,8
371,8,1,Loop,114,2
150,3,1,Loop,107,0
635,16,1,Loop,108,12
530,13,1,Loop,119,7
540,13,2,Loop,607,20
317,7,1,Loop,121,1
616,15,2,Loop,606,5
31,1,1,Loop,106,10
111,2,1,Loop,102,9
110,2,1,Loop,104,9
545,13,3,Loop,707,20
434,10,2,Loop,609,8
101,1,3,Loop,705,11
366,8,1,Loop,114,2
341,7,3,Loop,706,1
404,9,1,Loop,105,16
246,4,3,Loop,706,13
594,14,3,Loop,710,4
148,3,1,Loop,101,0
410,10,1,Loop,113,8
40,1,1,Loop,107,10
79,1,2,Loop,601,10
537,13,2,Loop,607,20
273,5,2,Loop,611,6
274,5,2,Loop,613,6
591,14,3,Loop,709,4
169,3,2,Loop,603,0
108,2,1,Loop,102,9
438,10,2,Loop,613,8
408,10,1,Loop,124,8
8,1,1,Loop,103,10
395,8,3,Loop,707,2
526,13,1,Loop,113,7
256,5,1,Loop,121,6
220,4,1,Loop,118,13
268,5,2,Loop,610,6
567,14,1,Loop,120,4
21,1,1,Loop,104,10
631,16,1,Loop,108,12
369,8,1,Loop,119,2
472,11,1,Loop,117,17
198,3,3,Loop,701,0
461,11,1,Loop,121,15
10,1,1,Loop,107,10
213,4,1,Loop,117,13
605,15,1,Loop,109,5
130,3,1,Loop,101,0
563,14,1,Loop,120,4
626,15,3,Loop,703,5
261,5,1,Loop,124,6
457,11,1,Loop,121,17
581,14,2,Loop,610,4
263,5,2,Loop,612,6
548,13,3,Loop,708,20
558,14,1,Loop,117,4
479,11,1,Loop,119,15
345,7,3,Loop,711,1
20,1,1,Loop,103,10
485,11,2,Loop,611,15
163,3,2,Loop,603,0
525,13,1,Loop,114,7
143,3,1,Loop,103,0
252,5,1,Loop,113,6
536,13,2,Loop,611,20
155,3,1,Loop,103,0
656,17,1,Outbound,111,18
184,3,2,Loop,603,0
56,1,1,Loop,103,10
452,10,3,Loop,712,8
50,1,1,Loop,103,10
379,8,2,Loop,611,2
425,10,1,Loop,115,8
161,3,2,Loop,601,0
287,6,1,Loop,123,3
361,8,1,Loop,117,2
144,3,1,Loop,107,0
228,4,2,Loop,613,13
385,8,2,Loop,610,2
175,3,2,Loop,603,0
7,1,1,Loop,106,10
115,2,1,Loop,106,9
142,3,1,Loop,101,0
1,1,1,Loop,101,14
195,3,3,Loop,701,0
62,1,2,Loop,602,10
551,14,1,Loop,118,4
354,8,1,Loop,117,2
86,1,2,Loop,602,11
238,4,2,Loop,612,13
299,7,1,Loop,118,1
651,17,1,Outbound,110,18
499,11,3,Loop,711,15
188,3,3,Loop,705,0
390,8,3,Loop,707,2
491,11,2,Loop,609,15
153,3,1,Loop,107,0
388,8,2,Loop,611,2
132,3,1,Loop,107,0
167,3,2,Loop,601,0
547,13,3,Loop,709,20
496,11,2,Loop,612,15
267,5,2,Loop,608,6
265,5,2,Loop,612,6
592,14,3,Loop,712,4
464,11,1,Loop,125,15
606,15,1,Loop,105,5
189,3,3,Loop,701,0
233,4,2,Loop,608,13
474,11,1,Loop,120,15
543,13,3,Loop,709,20
276,5,2,Loop,613,6
55,1,1,Loop,106,10
463,11,1,Loop,125,15
26,1,1,Loop,103,10
293,6,1,Loop,123,3
128,2,1,Loop,104,9
226,4,1,Loop,120,13
103,2,1,Loop,106,9
507,13,1,Loop,120,7
136,3,1,Loop,101,0
164,3,2,Loop,601,0
122,2,1,Loop,104,9
230,4,2,Loop,613,13
205,4,1,Loop,123,13
171,3,2,Loop,602,0
541,13,2,Loop,607,20
107,2,1,Loop,104,9
90,1,3,Loop,701,10
72,1,2,Loop,603,10
435,10,2,Loop,608,8
301,7,1,Loop,121,1
88,1,3,Loop,702,10
221,4,1,Loop,115,13
279,5,3,Loop,712,6
661,17,1,Inbound,111,19
323,7,1,Loop,119,1
330,7,2,Loop,612,1
580,14,2,Loop,608,4
380,8,2,Loop,607,2
172,3,2,Loop,603,0
119,2,1,Loop,104,9
92,1,3,Loop,705,10
283,5,3,Loop,706,6
179,3,2,Loop,601,0
413,10,1,Loop,122,8
527,13,1,Loop,120,7
288,6,1,Loop,122,3
105,2,1,Loop,102,9
655,17,1,Outbound,111,18
326,7,2,Loop,613,1
363,8,1,Loop,121,2
16,1,1,Loop,107,10
139,3,1,Loop,101,0
248,4,3,Loop,710,13
467,11,1,Loop,116,15
162,3,2,Loop,602,0
455,11,1,Loop,120,15
11,1,1,Loop,102,10
272,5,2,Loop,612,6
23,1,1,Loop,102,10
196,3,3,Loop,702,0
469,11,1,Loop,122,15
222,4,1,Loop,125,13
650,16,3,Loop,704,12
374,8,1,Loop,117,2
462,11,1,Loop,121,15
216,4,1,Loop,119,13
658,17,1,Inbound,110,19
100,1,3,Loop,702,10
596,14,3,Loop,706,4
334,7,2,Loop,611,1
428,10,1,Loop,124,8
636,16,1,Loop,108,12
219,4,1,Loop,119,13
506,13,1,Loop,123,7
302,7,1,Loop,116,1
646,16,3,Loop,704,12
4,1,1,Loop,107,10
125,2,1,Loop,104,9
630,16,1,Loop,108,12
77,1,2,Loop,602,10
574,14,1,Loop,116,4
486,11,2,Loop,613,15
556,14,1,Loop,125,4
312,7,1,Loop,114,1
396,9,1,Loop,105,16
468,11,1,Loop,116,15
325,7,1,Loop,114,1
569,14,1,Loop,116,4
285,6,1,Loop,125,3
450,10,3,Loop,709,8
255,5,1,Loop,113,6
13,1,1,Loop,106,10
229,4,2,Loop,612,13
555,14,1,Loop,114,4
187,3,3,Loop,702,0
227,4,1,Loop,113,13
73,1,2,Loop,601,10
593,14,3,Loop,706,4
436,10,2,Loop,607,8
9,1,1,Loop,104,10
349,8,1,Loop,122,2
348,8,1,Loop,116,2
638,16,2,Loop,605,12
657,17,1,Inbound,110,19
97,1,3,Loop,702,10
610,15,1,Loop,109,5
419,10,1,Loop,123,8
206,4,1,Loop,123,13
242,4,3,Loop,711,13
519,13,1,Loop,114,7
247,4,3,Loop,711,13
217,4,1,Loop,116,13
35,1,1,Loop,102,10
628,16,1,Loop,108,12
47,1,1,Loop,102,10
401,9,1,Loop,109,16
620,15,3,Loop,703,5
423,10,1,Loop,123,8
621,15,3,Loop,703,5
19,1,1,Loop,106,10
49,1,1,Loop,106,10
177,3,2,Loop,602,0
121,2,1,Loop,106,9
386,8,2,Loop,611,2
199,3,3,Loop,702,0
557,14,1,Loop,118,4
250,5,1,Loop,113,6
372,8,1,Loop,121,2
338,7,2,Loop,612,1
582,14,2,Loop,612,4
209,4,1,Loop,116,13
186,3,3,Loop,701,0
