timetable_id,stop_id,stop_sequence,stop_name,connected_routes
1,777795,1,Georgia & Rosewood (Hogan Middle School),"6/Tennessee, 8/Benicia Rd"
1,2320162,2,Oakwood & Westwood,"6/Tennessee, 8/Benicia Rd"
1,777969,3,Springs & Oakwood (Springtowne Center),"6/Tennessee, 7/Springs Rd, 8/Benicia Rd"
1,777962,4,Springs & Heartwood,"6/Tennessee, 7/Springs Rd, 8/Benicia Rd"
1,777970,5,Springs & Rollingwood,"38/Jesse Bethel, 7/Springs Rd, 8/Benicia Rd"
1,777725,6,Columbus & Ascot ,"20/Columbus, 38/Jesse Bethel, 7/Springs Rd, 8/Benicia Rd"
1,777676,7,Ascot & Hilary,8/Benicia Rd
1,777680,8,Ascot & Southport,8/Benicia Rd
1,777675,9,Ascot & Hawkins,8/Benicia Rd
1,777674,10,Ascot & Georgia,8/Benicia Rd
1,777797,11,Georgia & Southport,8/Benicia Rd
1,777794,12,Georgia & Norfolk,8/Benicia Rd
1,2382737,13,Georgia & Delwood,8/Benicia Rd
1,777786,14,Georgia & Corkwood,8/Benicia Rd
1,781648,15,Rollingwood Dr & Baywood Dr,8/Benicia Rd
1,781649,16,Rollingwood Dr & Dryden Dr,8/Benicia Rd
1,781617,17,Benicia Rd & Banning,8/Benicia Rd
1,781651,18,Benicia Rd & Home Acres,8/Benicia Rd
1,781652,19,Benicia Rd & Maple,8/Benicia Rd
1,781653,20,Benicia Rd & Cedar,8/Benicia Rd
1,781654,21,Benicia Rd & Carquinez,8/Benicia Rd
1,781655,22,Benicia Rd & Beach,8/Benicia Rd
1,781656,23,Benicia Rd & Rice,8/Benicia Rd
1,781657,24,Maine & Alameda,8/Benicia Rd
1,781658,25,Maine & Sonoma,8/Benicia Rd
1,847516,26,Vallejo Transit Center (VTC),"1/Broadway, 2/Northeast, 3/Glen Cove, 4/Tuolumne, 5/Fairgrounds, 6/Tennessee, 78/I-680 SolanoExpress, 7/Springs Rd, 80/I-80 SolanoExpress, /80s, 82/SF Express, 85/Fairfield SolanoExpress, 8/Benicia Rd, 9/Mare Island - Deprecated"
2,777795,1,Georgia & Rosewood (Hogan Middle School),"6/Tennessee, 8/Benicia Rd"
2,2320162,2,Oakwood & Westwood,"6/Tennessee, 8/Benicia Rd"
2,777969,3,Springs & Oakwood (Springtowne Center),"6/Tennessee, 7/Springs Rd, 8/Benicia Rd"
2,777962,4,Springs & Heartwood,"6/Tennessee, 7/Springs Rd, 8/Benicia Rd"
2,777970,5,Springs & Rollingwood,"38/Jesse Bethel, 7/Springs Rd, 8/Benicia Rd"
2,777725,6,Columbus & Ascot ,"20/Columbus, 38/Jesse Bethel, 7/Springs Rd, 8/Benicia Rd"
2,777676,7,Ascot & Hilary,8/Benicia Rd
2,777680,8,Ascot & Southport,8/Benicia Rd
2,777675,9,Ascot & Hawkins,8/Benicia Rd
2,777674,10,Ascot & Georgia,8/Benicia Rd
2,777797,11,Georgia & Southport,8/Benicia Rd
2,777794,12,Georgia & Norfolk,8/Benicia Rd
2,2382737,13,Georgia & Delwood,8/Benicia Rd
2,777786,14,Georgia & Corkwood,8/Benicia Rd
2,781648,15,Rollingwood Dr & Baywood Dr,8/Benicia Rd
2,781649,16,Rollingwood Dr & Dryden Dr,8/Benicia Rd
2,781617,17,Benicia Rd & Banning,8/Benicia Rd
2,781651,18,Benicia Rd & Home Acres,8/Benicia Rd
2,781652,19,Benicia Rd & Maple,8/Benicia Rd
2,781653,20,Benicia Rd & Cedar,8/Benicia Rd
2,781654,21,Benicia Rd & Carquinez,8/Benicia Rd
2,781655,22,Benicia Rd & Beach,8/Benicia Rd
2,781656,23,Benicia Rd & Rice,8/Benicia Rd
2,781657,24,Maine & Alameda,8/Benicia Rd
2,781658,25,Maine & Sonoma,8/Benicia Rd
