fare_id,route_id,origin_id,destination_id,contains_id
777,,461,461,
777,,463,463,
777,,464,464,
777,,466,466,
777,,467,467,
777,,468,468,
777,,470,470,
777,,471,471,
778,,461,463,
778,,463,461,
778,,463,467,
778,,464,466,
778,,466,464,
778,,466,467,
778,,466,471,
778,,467,463,
778,,467,466,
778,,467,468,
778,,467,471,
778,,468,467,
778,,468,470,
778,,470,468,
778,,470,471,
778,,471,466,
778,,471,467,
778,,471,470,
779,,461,467,
779,,463,466,
779,,463,468,
779,,463,471,
779,,464,467,
779,,466,463,
779,,466,468,
779,,467,461,
779,,467,464,
779,,467,470,
779,,468,463,
779,,468,466,
779,,468,471,
779,,470,467,
779,,471,463,
779,,471,468,
780,,461,466,
780,,461,468,
780,,461,471,
780,,463,464,
780,,463,470,
780,,464,463,
780,,464,468,
780,,464,471,
780,,466,461,
780,,466,470,
780,,468,461,
780,,468,464,
780,,470,463,
780,,470,466,
780,,471,461,
780,,471,464,
781,,461,464,
781,,461,470,
781,,464,461,
781,,464,470,
781,,470,461,
781,,470,464,
