stop_id,stop_city
921,Healdsburg
923,Healdsburg
924,Healdsburg
925,Healdsburg
926,Healdsburg
927,Healdsburg
928,Healdsburg
929,Healdsburg
930,Healdsburg
931,Healdsburg
933,Healdsburg
936,Healdsburg
937,Healdsburg
938,Healdsburg
940,Healdsburg
941,Healdsburg
942,Healdsburg
943,Healdsburg
944,Healdsburg
945,Healdsburg
946,Healdsburg
947,Healdsburg
948,Healdsburg
757068,Santa Rosa
757069,Santa Rosa
757070,Santa Rosa
757071,Santa Rosa
757073,Santa Rosa
757074,Santa Rosa
757075,Santa Rosa
757076,Santa Rosa
757077,Santa Rosa
757078,Santa Rosa
757079,Santa Rosa
757080,Santa Rosa
757081,Santa Rosa
757082,Santa Rosa
757083,Santa Rosa
757084,Santa Rosa
757085,Santa Rosa
757086,Santa Rosa
757087,Santa Rosa
757088,Santa Rosa
757089,Santa Rosa
757090,Santa Rosa
757091,Santa Rosa
757092,Santa Rosa
757093,Santa Rosa
757094,Santa Rosa
757095,Santa Rosa
757096,Fulton
757097,Fulton
757098,Santa Rosa
757099,Fulton
757100,Windsor
757101,Forestville
757102,Santa Rosa
757103,Santa Rosa
757104,Santa Rosa
757105,Santa Rosa
757106,Santa Rosa
757107,Santa Rosa
757108,Santa Rosa
757109,Santa Rosa
757110,Santa Rosa
757111,Windsor
757112,Windsor
757113,Windsor
757114,Windsor
757115,Windsor
757116,Windsor
757117,Windsor
757118,Windsor
757119,Windsor
757120,Windsor
757121,Windsor
757122,Windsor
757123,Windsor
757124,Windsor
757125,Windsor
757126,Windsor
757127,Windsor
757128,Windsor
757129,Windsor
757130,Windsor
757131,Windsor
757132,Windsor
757133,Windsor
757134,Healdsburg
757135,Healdsburg
757136,Healdsburg
757137,Healdsburg
757138,Healdsburg
757139,Healdsburg
757140,Healdsburg
757141,Healdsburg
757142,Healdsburg
757143,Healdsburg
757144,Healdsburg
757145,Healdsburg
757146,Healdsburg
757147,Healdsburg
757148,Healdsburg
757149,Geyserville
757150,Geyserville
757151,Geyserville
757152,Geyserville
757153,Geyserville
757154,Geyserville
757155,Geyserville
757156,Geyserville
757157,Cloverdale
757158,Cloverdale
757159,Asti
757160,Cloverdale
757161,Cloverdale
757162,Cloverdale
757163,Cloverdale
757164,Cloverdale
757165,Cloverdale
757166,Cloverdale
757167,Cloverdale
757168,Cloverdale
757169,Cloverdale
757170,Cloverdale
757171,Cloverdale
757172,Cloverdale
757173,Cloverdale
757175,Cloverdale
757176,Cloverdale
757177,Cloverdale
757178,Cloverdale
757179,Asti
757180,Cloverdale
757181,Cloverdale
757182,Geyserville
757183,Geyserville
757184,Geyserville
757185,Geyserville
757186,Geyserville
757187,Geyserville
757188,Geyserville
757189,Geyserville
757190,Healdsburg
757191,Healdsburg
757192,Healdsburg
757193,Healdsburg
757194,Healdsburg
757195,Healdsburg
757196,Healdsburg
757197,Healdsburg
757198,Healdsburg
757199,Healdsburg
757200,Healdsburg
757201,Healdsburg
757202,Healdsburg
757203,Windsor
757204,Windsor
757205,Windsor
757206,Windsor
757207,Windsor
757208,Windsor
757209,Windsor
757210,Windsor
757211,Windsor
757212,Windsor
757213,Windsor
757214,Windsor
757215,Windsor
757216,Windsor
757217,Windsor
757218,Windsor
757219,Windsor
757220,Windsor
757221,Windsor
757222,Windsor
757223,Windsor
757224,Windsor
757225,Windsor
757226,Windsor
757227,Windsor
757228,Windsor
757229,Santa Rosa
757231,Santa Rosa
757232,Santa Rosa
757233,Santa Rosa
757235,Santa Rosa
757236,Santa Rosa
757237,Santa Rosa
757238,Santa Rosa
757239,Santa Rosa
757240,Santa Rosa
757241,Santa Rosa
757242,Santa Rosa
757250,Windsor
757254,Santa Rosa
757255,Santa Rosa
757256,Santa Rosa
757257,Santa Rosa
757258,Santa Rosa
757259,Santa Rosa
757260,Santa Rosa
757261,Fulton
757262,Fulton
757263,Fulton
757264,Santa Rosa
757265,Santa Rosa
757266,Santa Rosa
757267,Santa Rosa
757268,Santa Rosa
757269,Santa Rosa
757270,Santa Rosa
757271,Santa Rosa
757272,Santa Rosa
757273,Santa Rosa
757274,Santa Rosa
757275,Santa Rosa
757276,Santa Rosa
757277,Santa Rosa
757278,Santa Rosa
757279,Santa Rosa
757280,Santa Rosa
757281,Santa Rosa
757282,Santa Rosa
757283,Santa Rosa
757284,Santa Rosa
757285,Santa Rosa
757286,Santa Rosa
757287,Santa Rosa
757288,Santa Rosa
757289,Santa Rosa
757290,Santa Rosa
757291,Santa Rosa
757292,Santa Rosa
757293,Santa Rosa
757294,Santa Rosa
757295,Santa Rosa
757296,Occidental
757297,Occidental
757298,Monte Rio
757299,Monte Rio
757300,Monte Rio
757301,Monte Rio
757302,Duncans Mills
757303,Duncans Mills
757304,Duncans Mills
757305,Monte Rio
757306,Monte Rio
757307,Monte Rio
757308,Monte Rio
757309,Monte Rio
757310,Guerneville
757311,Guerneville
757312,Guerneville
757313,Guerneville
757314,Guerneville
757315,Guerneville
757316,Guerneville
757317,Guerneville
757318,Guerneville
757319,Guerneville
757320,Guerneville
757321,Guerneville
757322,Guerneville
757323,Guerneville
757324,Guerneville
757325,Forestville
757326,Forestville
757327,Forestville
757328,Forestville
757329,Forestville
757330,Forestville
757331,Forestville
757332,Fulton
757333,Forestville
757334,Forestville
757335,Forestville
757336,Forestville
757337,Forestville
757338,Forestville
757339,Forestville
757340,Graton
757341,Graton
757342,Graton
757343,Graton
757344,Graton
757345,Sebastopol
757346,Sebastopol
757347,Sebastopol
757348,Sebastopol
757349,Sebastopol
757350,Sebastopol
757351,Sebastopol
757352,Sebastopol
757353,Sebastopol
757354,Sebastopol
757355,Sebastopol
757356,Sebastopol
757357,Sebastopol
757358,Sebastopol
757359,Sebastopol
757360,Sebastopol
757361,Sebastopol
757362,Sebastopol
757363,Sebastopol
757364,Sebastopol
757365,Santa Rosa
757366,Santa Rosa
757367,Santa Rosa
757368,Santa Rosa
757370,Santa Rosa
757371,Santa Rosa
757372,Santa Rosa
757373,Santa Rosa
757374,Santa Rosa
757375,Santa Rosa
757376,Santa Rosa
757377,Santa Rosa
757378,Santa Rosa
757379,Santa Rosa
757380,Santa Rosa
757381,Santa Rosa
757382,Santa Rosa
757383,Santa Rosa
757384,Santa Rosa
757385,Santa Rosa
757386,Santa Rosa
757387,Santa Rosa
757388,Santa Rosa
757389,Santa Rosa
757390,Santa Rosa
757391,Santa Rosa
757392,Santa Rosa
757393,Santa Rosa
757394,Santa Rosa
757395,Santa Rosa
757396,Santa Rosa
757397,Santa Rosa
757398,Santa Rosa
757399,Santa Rosa
757400,Santa Rosa
757401,Santa Rosa
757402,Santa Rosa
757403,Santa Rosa
757404,Santa Rosa
757405,Santa Rosa
757406,Santa Rosa
757407,Santa Rosa
757408,Santa Rosa
757409,Santa Rosa
757410,Santa Rosa
757411,Santa Rosa
757412,Kenwood
757413,Kenwood
757414,Kenwood
757415,Kenwood
757416,Glen Ellen
757417,Glen Ellen
757418,Glen Ellen
757419,Glen Ellen
757420,Glen Ellen
757421,Glen Ellen
757422,Eldridge
757423,Glen Ellen
757424,Glen Ellen
757425,Glen Ellen
757426,Sonoma
757427,Sonoma
757428,Sonoma
757429,Sonoma
757430,Sonoma
757431,Sonoma
757432,Sonoma
757433,Sonoma
757434,Sonoma
757435,Sonoma
757436,Sonoma
757437,Sonoma
757438,Sonoma
757439,Sonoma
757440,Sonoma
757441,Sonoma
757442,Sonoma
757443,Sonoma
757444,Sonoma
757445,Sonoma
757446,Sonoma
757447,Sonoma
757448,Sonoma
757449,Sonoma
757450,Sonoma
757451,Sonoma
757452,Sonoma
757453,Sonoma
757454,Sonoma
757455,Sonoma
757456,Sonoma
757457,Sonoma
757458,Sonoma
757459,Sonoma
757460,Sonoma
757461,Sonoma
757462,Sonoma
757463,Sonoma
757464,Sonoma
757465,Sonoma
757466,Sonoma
757467,Sonoma
757468,Sonoma
757469,Sonoma
757470,Sonoma
757472,Sonoma
757473,Sonoma
757474,Sonoma
757475,Sonoma
757476,Sonoma
757477,Sonoma
757478,Sonoma
757479,Sonoma
757480,Sonoma
757481,Sonoma
757482,Sonoma
757483,Sonoma
757484,Sonoma
757485,Sonoma
757486,Sonoma
757487,Sonoma
757488,Sonoma
757489,Sonoma
757490,Sonoma
757491,Sonoma
757492,Sonoma
757493,Sonoma
757494,Sonoma
757495,Sonoma
757496,Sonoma
757497,Sonoma
757498,Glen Ellen
757499,Glen Ellen
757500,Glen Ellen
757501,Glen Ellen
757502,Glen Ellen
757503,Glen Ellen
757504,Glen Ellen
757505,Glen Ellen
757506,Glen Ellen
757507,Kenwood
757508,Kenwood
757509,Kenwood
757510,Kenwood
757511,Santa Rosa
757512,Santa Rosa
757513,Santa Rosa
757514,Santa Rosa
757515,Santa Rosa
757516,Santa Rosa
757517,Santa Rosa
757518,Santa Rosa
757519,Santa Rosa
757520,Santa Rosa
757521,Santa Rosa
757522,Santa Rosa
757523,Santa Rosa
757524,Santa Rosa
757525,Santa Rosa
757526,Santa Rosa
757527,Santa Rosa
757528,Santa Rosa
757529,Santa Rosa
757530,Santa Rosa
757531,Santa Rosa
757532,Santa Rosa
757533,Santa Rosa
757534,Santa Rosa
757535,Santa Rosa
757536,Santa Rosa
757537,Santa Rosa
757538,Santa Rosa
757539,Santa Rosa
757540,Santa Rosa
757541,Santa Rosa
757542,Santa Rosa
757543,Sebastopol
757544,Sebastopol
757545,Sebastopol
757546,Sebastopol
757547,Sebastopol
757548,Sebastopol
757549,Sebastopol
757550,Sebastopol
757551,Graton
757552,Graton
757553,Graton
757554,Graton
757555,Graton
757556,Forestville
757557,Forestville
757558,Forestville
757559,Santa Rosa
757560,Santa Rosa
757561,Santa Rosa
757562,Santa Rosa
757563,Santa Rosa
757564,Santa Rosa
757565,Santa Rosa
757566,Santa Rosa
757568,Santa Rosa
757570,Santa Rosa
757571,Santa Rosa
757572,Santa Rosa
757573,Santa Rosa
757574,Santa Rosa
757575,Santa Rosa
757576,Santa Rosa
757577,Santa Rosa
757578,Santa Rosa
757579,Santa Rosa
