timetable_id,stop_id,stop_sequence,stop_name,connected_routes
1,757258,1,Airport Blvd. & SMART Station,"55/Airport Business Park Shuttle, 56/North County Connector, 62/Windsor, County Airport, Santa Rosa"
1,2382440,2,Aviation Blvd. & Airport Blvd.,55/Airport Business Park Shuttle
1,2335943,3,Aviation Blvd. & Concourse Blvd.,55/Airport Business Park Shuttle
1,757235,4,Airport Blvd. & Brickway Blvd.,"55/Airport Business Park Shuttle, 62/Windsor, County Airport, Santa Rosa"
1,757236,5,Westwind Blvd. & Airport Blvd.,"55/Airport Business Park Shuttle, 62/Windsor, County Airport, Santa Rosa"
1,757237,6,Copperhill Parkway & N. Laughlin Rd.,"55/Airport Business Park Shuttle, 62/Windsor, County Airport, Santa Rosa"
1,757238,7,N. Laughlin Rd. & Copperhill Parkway,"55/Airport Business Park Shuttle, 62/Windsor, County Airport, Santa Rosa"
1,757239,8,Airport Blvd. & N. Laughlin Rd.,"55/Airport Business Park Shuttle, 62/Windsor, County Airport, Santa Rosa"
1,757240,9,Airport Blvd. & Ordinance Rd.,"55/Airport Business Park Shuttle, 62/Windsor, County Airport, Santa Rosa"
1,757241,10,Sonoma Co. Airport Terminal Stop,"55/Airport Business Park Shuttle, 62/Windsor, County Airport, Santa Rosa"
1,757242,11,Airport Blvd. & N. Laughlin Rd.,"55/Airport Business Park Shuttle, 62/Windsor, County Airport, Santa Rosa"
1,757257,12,Airport Blvd. & Brickway Blvd.,"55/Airport Business Park Shuttle, 62/Windsor, County Airport, Santa Rosa"
1,757258,13,Airport Blvd. & SMART Station,"55/Airport Business Park Shuttle, 56/North County Connector, 62/Windsor, County Airport, Santa Rosa"
2,757258,1,Airport Blvd. & SMART Station,"55/Airport Business Park Shuttle, 56/North County Connector, 62/Windsor, County Airport, Santa Rosa"
2,2382440,2,Aviation Blvd. & Airport Blvd.,55/Airport Business Park Shuttle
2,2335943,3,Aviation Blvd. & Concourse Blvd.,55/Airport Business Park Shuttle
2,757235,4,Airport Blvd. & Brickway Blvd.,"55/Airport Business Park Shuttle, 62/Windsor, County Airport, Santa Rosa"
2,757236,5,Westwind Blvd. & Airport Blvd.,"55/Airport Business Park Shuttle, 62/Windsor, County Airport, Santa Rosa"
2,757237,6,Copperhill Parkway & N. Laughlin Rd.,"55/Airport Business Park Shuttle, 62/Windsor, County Airport, Santa Rosa"
2,757238,7,N. Laughlin Rd. & Copperhill Parkway,"55/Airport Business Park Shuttle, 62/Windsor, County Airport, Santa Rosa"
2,757239,8,Airport Blvd. & N. Laughlin Rd.,"55/Airport Business Park Shuttle, 62/Windsor, County Airport, Santa Rosa"
2,757240,9,Airport Blvd. & Ordinance Rd.,"55/Airport Business Park Shuttle, 62/Windsor, County Airport, Santa Rosa"
2,757241,10,Sonoma Co. Airport Terminal Stop,"55/Airport Business Park Shuttle, 62/Windsor, County Airport, Santa Rosa"
2,757242,11,Airport Blvd. & N. Laughlin Rd.,"55/Airport Business Park Shuttle, 62/Windsor, County Airport, Santa Rosa"
2,757257,12,Airport Blvd. & Brickway Blvd.,"55/Airport Business Park Shuttle, 62/Windsor, County Airport, Santa Rosa"
2,757258,13,Airport Blvd. & SMART Station,"55/Airport Business Park Shuttle, 56/North County Connector, 62/Windsor, County Airport, Santa Rosa"
