route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type
1026,c_3114_b_2690_d_31,t_147987_b_2690_tn_0,,20 Santa Rosa,0,23,p_2772,,,
1026,c_3114_b_2690_d_31,t_148071_b_2690_tn_0,,20 Santa Rosa,0,23,p_2772,,,
1026,c_3114_b_2690_d_31,t_147986_b_2690_tn_0,,20 Santa Rosa,0,13,p_2772,,,
1026,c_3114_b_2690_d_31,t_148073_b_2690_tn_0,,20 Santa Rosa,0,35,p_2772,,,
1026,c_3114_b_2690_d_31,t_148070_b_2690_tn_0,,20 Santa Rosa,0,33,p_2772,,,
1026,c_3114_b_2690_d_31,t_147933_b_2690_tn_0,,20 Santa Rosa,0,33,p_2772,,,
1026,c_3114_b_2690_d_31,t_148286_b_2690_tn_0,,20 Santa Rosa,0,39,p_2772,,,
1026,c_3114_b_2690_d_31,t_148287_b_2690_tn_0,,20 Santa Rosa,0,35,p_2772,,,
1026,c_3114_b_2690_d_31,t_148304_b_2690_tn_0,,20 Santa Rosa,0,7,p_2772,,,
1026,c_3114_b_2690_d_31,t_148075_b_2690_tn_0,,20 Monte Rio,1,23,p_2767,,,
1026,c_3114_b_2690_d_31,t_147934_b_2690_tn_0,,20 Monte Rio,1,33,p_2767,,,
1026,c_3114_b_2690_d_31,t_147985_b_2690_tn_0,,20 Monte Rio,1,33,p_2767,,,
1026,c_3114_b_2690_d_31,t_147988_b_2690_tn_0,,20 Monte Rio (Begins SRTM / No Forestville),1,10,p_2726,,,
1026,c_3114_b_2690_d_31,t_147989_b_2690_tn_0,,20 Monte Rio,1,35,p_2767,,,
1026,c_3114_b_2690_d_31,t_147990_b_2690_tn_0,,20 Monte Rio,1,35,p_2767,,,
1026,c_3114_b_2690_d_31,t_148305_b_2690_tn_0,,20 Monte Rio,1,35,p_2767,,,
1026,c_3114_b_2690_d_31,t_147935_b_2690_tn_0,,20 Monte Rio,1,39,p_2767,,,
1026,c_3114_b_2690_d_31,t_148072_b_2690_tn_0,,20 Monte Rio,1,13,p_2767,,,
1026,c_3114_b_2690_d_31,t_148074_b_2690_tn_0,,20 Monte Rio,1,33,p_2767,,,
1026,c_3114_b_2690_d_96,t_148235_b_2690_tn_0,,20 Santa Rosa / Coddingtown (Weekend),0,804,p_2773,,,
1026,c_3114_b_2690_d_96,t_148077_b_2690_tn_0,,20 Santa Rosa / Coddingtown (Weekend),0,806,p_2773,,,
1026,c_3114_b_2690_d_96,t_148177_b_2690_tn_0,,20 Santa Rosa / Coddingtown (Weekend),0,804,p_2773,,,
1026,c_3114_b_2690_d_96,t_148178_b_2690_tn_0,,20 Santa Rosa / Coddingtown (Weekend),0,806,p_2773,,,
1026,c_3114_b_2690_d_96,t_148176_b_2690_tn_0,,20 Monte Rio (Weekend),1,804,p_2760,,,
1026,c_3114_b_2690_d_96,t_148076_b_2690_tn_0,,20 Monte Rio (Weekend),1,806,p_2760,,,
