trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
"1","4:19:00","4:19:00","7113","1",,"0","0","0.00000000",1
"1","4:26:00","4:26:00","7112","2",,"0","0","7422.60333558",1
"1","4:31:00","4:31:00","7111","3",,"0","0","9824.50500718",1
"1","4:38:00","4:38:00","7110","4",,"0","0","20208.73235720",1
"1","4:42:00","4:42:00","7109","5",,"0","0","22200.47149224",1
"1","4:55:00","4:55:00","7107","6",,"0","0","34366.87607133",1
"1","5:06:00","5:06:00","7106","7",,"0","0","49960.81404203",1
"1","5:14:00","5:14:00","7104","8",,"0","0","58251.28065891",1
"1","5:20:00","5:20:00","7103","9",,"0","0","64745.28653035",1
"1","5:26:00","5:26:00","7102","10",,"0","0","69013.88536433",1
"3","4:49:00","4:49:00","7113","1",,"0","0","0.00000000",1
"3","4:56:00","4:56:00","7112","2",,"0","0","7422.60333558",1
"3","5:01:00","5:01:00","7111","3",,"0","0","9824.50500718",1
"3","5:08:00","5:08:00","7110","4",,"0","0","20208.73235720",1
"3","5:12:00","5:12:00","7109","5",,"0","0","22200.47149224",1
"3","5:25:00","5:25:00","7107","6",,"0","0","34366.87607133",1
"3","5:36:00","5:36:00","7106","7",,"0","0","49960.81404203",1
"3","5:44:00","5:44:00","7104","8",,"0","0","58251.28065891",1
"3","5:50:00","5:50:00","7103","9",,"0","0","64745.28653035",1
"3","5:56:00","5:56:00","7102","10",,"0","0","69013.88536433",1
"5","5:19:00","5:19:00","7113","1",,"0","0","0.00000000",1
"5","5:26:00","5:26:00","7112","2",,"0","0","7422.60333558",1
"5","5:31:00","5:31:00","7111","3",,"0","0","9824.50500718",1
"5","5:38:00","5:38:00","7110","4",,"0","0","20208.73235720",1
"5","5:42:00","5:42:00","7109","5",,"0","0","22200.47149224",1
"5","5:55:00","5:55:00","7107","6",,"0","0","34366.87607133",1
"5","6:06:00","6:06:00","7106","7",,"0","0","49960.81404203",1
"5","6:14:00","6:14:00","7104","8",,"0","0","58251.28065891",1
"5","6:20:00","6:20:00","7103","9",,"0","0","64745.28653035",1
"5","6:26:00","6:26:00","7102","10",,"0","0","69013.88536433",1
"7","6:19:00","6:19:00","7113","1",,"0","0","0.00000000",1
"7","6:26:00","6:26:00","7112","2",,"0","0","7422.60333558",1
"7","6:31:00","6:31:00","7111","3",,"0","0","9824.50500718",1
"7","6:38:00","6:38:00","7110","4",,"0","0","20208.73235720",1
"7","6:42:00","6:42:00","7109","5",,"0","0","22200.47149224",1
"7","6:55:00","6:55:00","7107","6",,"0","0","34366.87607133",1
"7","7:06:00","7:06:00","7106","7",,"0","0","49960.81404203",1
"7","7:14:00","7:14:00","7104","8",,"0","0","58251.28065891",1
"7","7:20:00","7:20:00","7103","9",,"0","0","64745.28653035",1
"7","7:26:00","7:26:00","7102","10",,"0","0","69013.88536433",1
"9","7:19:00","7:19:00","7113","1",,"0","0","0.00000000",1
"9","7:26:00","7:26:00","7112","2",,"0","0","7422.60333558",1
"9","7:31:00","7:31:00","7111","3",,"0","0","9824.50500718",1
"9","7:38:00","7:38:00","7110","4",,"0","0","20208.73235720",1
"9","7:42:00","7:42:00","7109","5",,"0","0","22200.47149224",1
"9","7:55:00","7:55:00","7107","6",,"0","0","34366.87607133",1
"9","8:06:00","8:06:00","7106","7",,"0","0","49960.81404203",1
"9","8:14:00","8:14:00","7104","8",,"0","0","58251.28065891",1
"9","8:20:00","8:20:00","7103","9",,"0","0","64745.28653035",1
"9","8:26:00","8:26:00","7102","10",,"0","0","69013.88536433",1
"11","7:49:00","7:49:00","7113","1",,"0","0","0.00000000",1
"11","7:56:00","7:56:00","7112","2",,"0","0","7422.60333558",1
"11","8:01:00","8:01:00","7111","3",,"0","0","9824.50500718",1
"11","8:08:00","8:08:00","7110","4",,"0","0","20208.73235720",1
"11","8:12:00","8:12:00","7109","5",,"0","0","22200.47149224",1
"11","8:25:00","8:25:00","7107","6",,"0","0","34366.87607133",1
"11","8:36:00","8:36:00","7106","7",,"0","0","49960.81404203",1
"11","8:44:00","8:44:00","7104","8",,"0","0","58251.28065891",1
"11","8:50:00","8:50:00","7103","9",,"0","0","64745.28653035",1
"11","8:56:00","8:56:00","7102","10",,"0","0","69013.88536433",1
"13","8:19:00","8:19:00","7113","1",,"0","0","0.00000000",1
