service_id,date,exception_type
10806628,20170529,2
10806628,20170704,2
10806628,20170904,2
10806628,20171123,2
10806628,20171124,2
10806628,20171222,2
10806628,20171225,2
10806628,20171226,2
10806628,20171227,2
10806628,20180101,2
10806628,20180115,2
10806628,20180219,2
10806628,20180528,2
10806628,20180704,2
10806628,20180903,2
10785079,20180115,1
10785079,20180528,1
10785079,20180704,1
10785079,20180903,1
10785079,20181123,1
10785079,20180120,2
10785079,20180121,2
10785079,20180127,2
10785079,20180128,2
10785079,20180203,2
10785079,20180204,2
10785079,20180210,2
10785079,20180211,2
10785079,20180217,2
10785079,20180218,2
10785079,20180224,2
10785079,20180225,2
10785079,20180303,2
10785079,20180304,2
10785079,20180310,2
10785079,20180311,2
10785079,20180317,2
10785079,20180318,2
10785079,20180324,2
10785079,20180325,2
10785079,20180331,2
10785079,20180401,2
10785079,20180407,2
10785079,20180408,2
10785079,20180414,2
10785079,20180415,2
10785079,20180421,2
10785079,20180422,2
10785079,20180428,2
10785079,20180429,2
10785079,20180505,2
10785079,20180506,2
10785079,20180512,2
10785079,20180513,2
10785079,20180519,2
10785079,20180520,2
10785079,20180526,2
10785079,20180527,2
10785079,20180602,2
10785079,20180603,2
10785079,20180609,2
10785079,20180610,2
10785079,20180922,2
10785079,20180923,2
10785079,20180929,2
10785079,20180930,2
10785079,20181006,2
10785079,20181007,2
10785079,20181013,2
10785079,20181014,2
10785079,20181020,2
10785079,20181021,2
10785079,20181027,2
10785079,20181028,2
10785079,20181103,2
10785079,20181104,2
10785079,20181110,2
10785079,20181111,2
10785079,20181117,2
10785079,20181118,2
7,20171127,2
7,20171128,2
7,20171129,2
7,20171130,2
7,20171201,2
7,20171204,2
7,20171205,2
7,20171206,2
7,20171207,2
7,20171208,2
7,20171211,2
7,20171212,2
7,20171213,2
7,20171214,2
7,20171215,2
7,20171222,2
7,20171225,2
7,20180101,2
7,20180103,2
7,20180104,2
7,20180105,2
7,20180108,2
7,20180109,2
7,20180110,2
7,20180111,2
