stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,city_name,direction_id,ext_id,ext_userfield1
134,134,1000 Welch Road,,37.43584317,-122.17858750,,,0,,1,,0,,
193,193,1070 Arastradero Front,,37.39415300,-122.14661600,,,0,,1,,,,
188,188,1070 Arastradero Side,,37.39468100,-122.14637300,,,0,,1,,,,
272,272,1072 Embarcadero @ Wildwood,,37.44677817,-122.12737100,,,0,,1,,,,
130,130,1101 Welch Road,,37.43501217,-122.17899253,,,0,,1,,,,
159,159,1500 Page Mill Road,,37.41399500,-122.14975100,,,0,,1,,0,,
199,199,3145 Porter Drive,,37.40880305,-122.15167467,,,0,,1,,,,
256,256,3165 Porter Drive,,37.40800800,-122.15018600,,,0,,1,,,,
255,255,3170 Porter Drive,,37.40794900,-122.15031700,,,0,,1,,0,,
146,146,3300 Hillview Avenue,,37.40704300,-122.14538400,,,0,,1,,0,,
149,149,3375 Hillview Avenue,,37.40502900,-122.14565300,,,0,,1,,,,
187,187,3431 Hillview Avenue West,,37.39861971,-122.14447571,,,0,,1,,0,,
194,194,3431 Hillview Avenue,,37.39893500,-122.14439700,,,0,,1,,,,
190,190,3475 Deer Creek E,,37.39577237,-122.15021492,,,0,,1,,0,,
191,191,3475 Deer Creek W,,37.39539907,-122.15001002,,,0,,1,,1,,
189,189,3495 Deer Creek E,,37.39409057,-122.14865180,,,0,,1,,0,,
192,192,3495 Deer Creek W,,37.39384895,-122.14877269,,,0,,1,,1,,
228,228,700 Welch @ Barn/LPCH,,37.43716900,-122.17373500,,,0,,1,,0,,
137,137,780 Welch Road,,37.43719185,-122.17675655,,,0,,1,,0,,
132,132,801 Welch Road,,37.43678686,-122.17698433,,,0,,1,,,,
41,41,82 Olmsted  N,,37.42961200,-122.15381900,,,0,,1,,,,
42,42,82 Olmsted S (temporary during construction),,37.42948083,-122.15320865,,,0,,1,,0,,
136,136,900 Welch Road,,37.43649680,-122.17770580,,,0,,1,,0,,
273,273,991 Embarc @ N Cal,,37.44637086,-122.12810322,,,0,,1,,,,
172,172,ACE at Bonde,,37.55891600,-122.00855800,,,0,,1,,1,,
171,171,ACE at Tracks,,37.55876200,-122.00784900,,,0,,1,,0,,
154,154,Ardenwood Park & Ride,,37.55135700,-122.05482500,,,0,,1,,,,
267,267,Bowdoin @ Pine Hill,,37.42021700,-122.15826500,,,0,,1,,0,,
223,223,Cal Ave (SA Shopping),,37.40498482,-122.10899439,,,0,,1,,0,,
66,66,Caltrain University Circle,,37.44314975,-122.16455628,,,0,,1,,,,
24,24,Campus @ Alvarado Row,,37.42264289,-122.16594648,,,0,,1,,0,,
19,19,Campus @ Bowdoin,,37.42284625,-122.16098925,,,0,,1,,0,,
178,178,Campus @ Cogen/LKSC,,37.43050000,-122.17603200,,,0,,1,,,,
17,17,Campus @ Escondido,,37.42376702,-122.16082443,,,0,,1,,,,
177,177,Campus @ Li Ka Shing,,37.43077753,-122.17634394,,,0,,1,,,,
25,25,Campus @ Mayfield N,,37.42156608,-122.16832764,,,0,,1,,,,
26,26,Campus @ Mayfield S,,37.42152000,-122.16814400,,,0,,1,,0,,
18,18,Campus @ Mirrielees,,37.42472213,-122.16021639,,,0,,1,,0,,
82,82,Campus @ MSOB,,37.43104246,-122.17915315,,,0,,1,,0,,
