trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,block_name
135303070,1,1667,"HARBOR FREEWAY STATION",,0,707,shp-1-01,0,0,1-2
135304070,1,1667,"HARBOR FREEWAY STATION",,0,707,shp-1-01,0,0,1-2
135305070,1,1667,"HARBOR FREEWAY STATION",,0,707,shp-1-01,0,0,1-2
135306070,1,1667,"HARBOR FREEWAY STATION",,0,707,shp-1-05,0,0,1-2
135307070,1,1667,"HARBOR FREEWAY STATION",,0,707,shp-1-01,0,0,1-2
135308070,1,1667,"HARBOR FREEWAY STATION",,0,707,shp-1-01,0,0,1-2
135309070,1,1667,"HARBOR FREEWAY STATION",,0,707,shp-1-01,0,0,1-2
135310070,1,1667,"HARBOR FREEWAY STATION",,0,707,shp-1-01,0,0,1-2
135311070,1,1667,"HARBOR FREEWAY STATION",,0,607,shp-1-01,0,0,1-1
135312070,1,1667,"HARBOR FREEWAY STATION",,0,607,shp-1-01,0,0,1-1
135313070,1,1667,"HARBOR FREEWAY STATION",,0,607,shp-1-01,0,0,1-1
135314070,1,1667,"HARBOR FREEWAY STATION",,0,607,shp-1-01,0,0,1-1
135315070,1,1667,"HARBOR FREEWAY STATION",,0,607,shp-1-01,0,0,1-1
135316070,1,1667,"HARBOR FREEWAY STATION",,0,607,shp-1-01,0,0,1-1
135317070,1,1667,"HARBOR FREEWAY STATION",,0,607,shp-1-01,0,0,1-1
135318070,1,1667,"HARBOR FREEWAY STATION",,0,607,shp-1-01,0,0,1-1
135319070,1,1667,"DEL AMO MALL",,1,707,shp-1-52,0,0,1-2
135320070,1,1667,"DEL AMO MALL",,1,707,shp-1-51,0,0,1-2
135321070,1,1667,"DEL AMO MALL",,1,707,shp-1-51,0,0,1-2
135322070,1,1667,"DEL AMO MALL",,1,707,shp-1-51,0,0,1-2
135323070,1,1667,"DEL AMO MALL",,1,707,shp-1-51,0,0,1-2
135324070,1,1667,"DEL AMO MALL",,1,707,shp-1-51,0,0,1-2
135325070,1,1667,"DEL AMO MALL",,1,707,shp-1-51,0,0,1-2
135326070,1,1667,"DEL AMO MALL",,1,707,shp-1-51,0,0,1-2
135327070,1,1667,"DEL AMO MALL",,1,607,shp-1-54,0,0,1-1
135328070,1,1667,"DEL AMO MALL",,1,607,shp-1-51,0,0,1-1
135329070,1,1667,"DEL AMO MALL",,1,607,shp-1-51,0,0,1-1
135330070,1,1667,"DEL AMO MALL",,1,607,shp-1-51,0,0,1-1
135331070,1,1667,"DEL AMO MALL",,1,607,shp-1-51,0,0,1-1
135332070,1,1667,"DEL AMO MALL",,1,607,shp-1-51,0,0,1-1
135333070,1,1667,"DEL AMO MALL",,1,607,shp-1-51,0,0,1-1
135334070,1,1667,"DEL AMO MALL",,1,607,shp-1-51,0,0,1-1
135335070,1,1667,"DEL AMO MALL",,1,607,shp-1-52,0,0,1-1
135437070,10,1667,"CRENSHAW STATION",,0,5207,shp-10-03,0,0,510-2
135438070,10,1667,"CRENSHAW STATION",,0,5307,shp-10-04,0,0,510-3
135439070,10,1667,"CRENSHAW STATION",,0,5107,shp-10-04,0,0,510-1
135440070,10,1667,"CRENSHAW STATION",,0,5407,shp-10-04,0,0,510-4
135441070,10,1667,"CRENSHAW STATION",,0,5207,shp-10-04,0,0,510-2
135442070,10,1667,"CRENSHAW STATION",,0,5307,shp-10-04,0,0,510-3
135443070,10,1667,"CRENSHAW STATION",,0,5107,shp-10-04,0,0,510-1
135444070,10,1667,"CRENSHAW STATION",,0,5407,shp-10-04,0,0,510-4
135445070,10,1667,"CRENSHAW STATION",,0,5207,shp-10-04,0,0,510-2
135446070,10,1667,"CRENSHAW STATION",,0,5307,shp-10-04,0,0,510-3
135447070,10,1667,"CRENSHAW STATION",,0,5107,shp-10-04,0,0,510-1
135448070,10,1667,"CRENSHAW STATION",,0,5407,shp-10-04,0,0,510-4
135449070,10,1667,"CRENSHAW STATION",,0,5207,shp-10-04,0,0,510-2
135450070,10,1667,"CRENSHAW STATION",,0,5307,shp-10-04,0,0,510-3
135451070,10,1667,"CRENSHAW STATION",,0,5107,shp-10-04,0,0,510-1
135452070,10,1667,"CRENSHAW STATION",,0,5407,shp-10-04,0,0,510-4
135453070,10,1667,"CRENSHAW STATION",,0,5207,shp-10-04,0,0,510-2
135454070,10,1667,"CRENSHAW STATION",,0,5307,shp-10-04,0,0,510-3
135455070,10,1667,"CRENSHAW STATION",,0,5107,shp-10-04,0,0,510-1
135456070,10,1667,"CRENSHAW BL TO PACIFIC COAST HIGHWAY",,1,5307,shp-10-53,0,0,510-3
135457070,10,1667,"CRENSHAW BL TO PACIFIC COAST HIGHWAY",,1,5107,shp-10-52,0,0,510-1
135458070,10,1667,"CRENSHAW BL TO PACIFIC COAST HIGHWAY",,1,5407,shp-10-52,0,0,510-4
135459070,10,1667,"CRENSHAW BL TO PACIFIC COAST HIGHWAY",,1,5207,shp-10-52,0,0,510-2
135460070,10,1667,"CRENSHAW BL TO PACIFIC COAST HIGHWAY",,1,5307,shp-10-52,0,0,510-3
135461070,10,1667,"CRENSHAW BL TO PACIFIC COAST HIGHWAY",,1,5107,shp-10-52,0,0,510-1
135462070,10,1667,"CRENSHAW BL TO PACIFIC COAST HIGHWAY",,1,5407,shp-10-52,0,0,510-4
135463070,10,1667,"CRENSHAW BL TO PACIFIC COAST HIGHWAY",,1,5207,shp-10-52,0,0,510-2
135464070,10,1667,"CRENSHAW BL TO PACIFIC COAST HIGHWAY",,1,5307,shp-10-52,0,0,510-3
135465070,10,1667,"CRENSHAW BL TO PACIFIC COAST HIGHWAY",,1,5107,shp-10-52,0,0,510-1
135466070,10,1667,"CRENSHAW BL TO PACIFIC COAST HIGHWAY",,1,5407,shp-10-52,0,0,510-4
135467070,10,1667,"CRENSHAW BL TO PACIFIC COAST HIGHWAY",,1,5207,shp-10-52,0,0,510-2
135468070,10,1667,"CRENSHAW BL TO PACIFIC COAST HIGHWAY",,1,5307,shp-10-52,0,0,510-3
135469070,10,1667,"CRENSHAW BL TO PACIFIC COAST HIGHWAY",,1,5107,shp-10-52,0,0,510-1
135470070,10,1667,"CRENSHAW BL TO PACIFIC COAST HIGHWAY",,1,5407,shp-10-52,0,0,510-4
135471070,10,1667,"CRENSHAW BL TO PACIFIC COAST HIGHWAY",,1,5207,shp-10-52,0,0,510-2
135472070,10,1667,"CRENSHAW BL TO PACIFIC COAST HIGHWAY",,1,5307,shp-10-52,0,0,510-3
135473070,10,1667,"CRENSHAW BL TO PACIFIC COAST HIGHWAY",,1,5107,shp-10-52,0,0,510-1
135474070,10,1667,"CRENSHAW BL TO PACIFIC COAST HIGHWAY",,1,5407,shp-10-55,0,0,510-4
135507070,2,1667,"HARBOR FREEWAY STATION",,0,1807,shp-2-03,0,0,2-2
135508070,2,1667,"HARBOR FREEWAY STATION",,0,1707,shp-2-01,0,0,2-1
135509070,2,1667,"HARBOR FREEWAY STATION",,0,1807,shp-2-01,0,0,2-2
135510070,2,1667,"HARBOR FREEWAY STATION",,0,1707,shp-2-01,0,0,2-1
135511070,2,1667,"HARBOR FREEWAY STATION",,0,1807,shp-2-01,0,0,2-2
135512070,2,1667,"HARBOR FREEWAY STATION",,0,1707,shp-2-01,0,0,2-1
135513070,2,1667,"HARBOR FREEWAY STATION",,0,1807,shp-2-01,0,0,2-2
135514070,2,1667,"HARBOR FREEWAY STATION",,0,1707,shp-2-01,0,0,2-1
135515070,2,1667,"HARBOR FREEWAY STATION",,0,1807,shp-2-01,0,0,2-2
135516070,2,1667,"HARBOR FREEWAY STATION",,0,1707,shp-2-01,0,0,2-1
135517070,2,1667,"HARBOR FREEWAY STATION",,0,1807,shp-2-02,0,0,2-2
135518070,2,1667,"HARBOR FREEWAY STATION",,0,1707,shp-2-01,0,0,2-1
135519070,2,1667,"HARBOR FREEWAY STATION",,0,1807,shp-2-01,0,0,2-2
135520070,2,1667,"HARBOR FREEWAY STATION",,0,1707,shp-2-01,0,0,2-1
