stop_id,stop_city
768160,Merced
768161,Atwater
768163,Atwater
768164,Atwater
768165,Atwater
768166,Atwater
768167,Atwater
768168,Atwater
768169,Atwater
768170,Atwater
768171,Atwater
768172,Atwater
768173,Atwater
768174,Winton
768175,Winton
768176,Winton
768177,Winton
768178,Winton
768179,Winton
768180,Atwater
768181,Atwater
768182,Atwater
768183,Atwater
768184,Atwater
768185,Atwater
768186,Atwater
768187,Atwater
768188,Atwater
768189,Atwater
768190,Atwater
768191,Atwater
768192,Atwater
768193,Atwater
768194,Livingston
768195,Livingston
768196,Livingston
768197,Livingston
768198,Livingston
768199,Livingston
768200,Livingston
768201,Livingston
768202,Livingston
768203,Livingston
768204,Livingston
768205,Livingston
768206,Winton
768207,Winton
768208,Merced
768209,Merced
768210,Merced
768211,Merced
768212,Merced
768213,Dos Palos
768214,Merced
768215,Merced
768219,Merced
768220,Merced
768221,Los Banos
768228,Los Banos
768230,Los Banos
768238,Los Banos
768240,Los Banos
768241,Los Banos
768242,Los Banos
768244,Merced
768245,Merced
768247,Merced
768248,Los Banos
768253,Merced
768254,Merced
768255,Merced
768256,Merced
768257,Merced
768258,Planada
768259,Planada
768260,Planada
768261,Planada
768262,Planada
768263,Planada
768264,Planada
768265,Planada
768266,Planada
768267,Planada
768268,Planada
768269,Planada
768270,Planada
768271,Merced
768272,Merced
768273,Planada
768274,Le Grand
768275,Merced
768276,Turlock
768277,Turlock
768278,Merced
768279,Merced
768280,Merced
768281,Delhi
768282,Delhi
768283,Delhi
768284,Delhi
768285,Delhi
768286,Delhi
768287,Delhi
768288,Delhi
768289,Delhi
768290,Delhi
768291,Delhi
768292,Merced
768293,Merced
768294,Merced
768295,Merced
768296,Merced
768297,Merced
768298,Atwater
768299,Atwater
768300,Merced
768301,Merced
768302,Merced
768303,Merced
768304,Merced
768305,Merced
768306,Merced
768307,Merced
768308,Merced
768309,Merced
768310,Merced
768311,Merced
768312,Merced
768313,Merced
768314,Merced
768315,Merced
768316,Merced
768317,Merced
768318,Atwater
768319,Los Banos
768321,Merced
768322,Merced
768323,Merced
768324,Merced
768325,Livingston
768326,Merced
768327,Merced
768328,Merced
768329,Merced
768330,Merced
768331,Merced
768332,Merced
768333,Merced
768334,Le Grand
768335,Turlock
768336,Los Banos
768339,Los Banos
768340,Los Banos
768341,Merced
768342,Merced
768343,Merced
768344,Livingston
768345,Merced
768346,Atwater
768347,Los Banos
768348,Merced
768349,Dos Palos
768350,Dos Palos
768351,Dos Palos
768352,Dos Palos
768353,Merced
768354,Merced
768355,Dos Palos
768356,Dos Palos
768357,Dos Palos
768358,Dos Palos
768359,Merced
768360,Merced
768361,Livingston
768362,Merced
768363,Turlock
768364,Delhi
768365,Livingston
768366,Livingston
768367,Atwater
768368,Atwater
768369,Atwater
768370,Atwater
768371,Atwater
768372,Atwater
768373,Winton
768374,Atwater
768375,Atwater
768376,Atwater
768377,Atwater
768378,Atwater
768379,Atwater
768380,Atwater
768381,Atwater
768382,Winton
768383,Atwater
768384,Atwater
768385,Atwater
768386,Atwater
768387,Atwater
768388,Atwater
768389,Atwater
768390,Atwater
768391,Atwater
768392,Atwater
768393,Atwater
768394,Atwater
768395,Atwater
768396,Atwater
768397,Atwater
768398,Atwater
768399,Atwater
768400,Atwater
768401,Atwater
768402,Atwater
768403,Atwater
768404,Atwater
768405,Winton
768406,Atwater
768407,Atwater
768408,Winton
768409,Atwater
768410,Winton
768411,Winton
768412,Atwater
768413,Atwater
768414,Atwater
768415,Atwater
768416,Atwater
768417,Merced
768418,Merced
768419,Merced
