trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,continuous_stops
t_156471_b_2753_tn_1,07:00:00,07:00:00,768395,1,,0,0,0,1,0
t_156471_b_2753_tn_1,07:06:00,07:06:00,768346,2,,0,0,1528.86917125406,1,0
t_156471_b_2753_tn_1,,,768391,3,,0,0,2182.5810600238,0,0
t_156471_b_2753_tn_1,,,768386,4,,0,0,2713.07475786074,0,0
t_156471_b_2753_tn_1,,,768388,5,,0,0,3057.34968211005,0,0
t_156471_b_2753_tn_1,,,768378,6,,0,0,3402.24246237885,0,0
t_156471_b_2753_tn_1,07:11:00,07:11:00,768396,7,,0,0,3592.95486655556,1,0
t_156471_b_2753_tn_1,,,768374,8,,0,0,4044.50302060446,0,0
t_156471_b_2753_tn_1,,,768387,9,,0,0,4576.3991630371,0,0
t_156471_b_2753_tn_1,,,768163,10,,0,0,4952.91020493799,0,0
t_156471_b_2753_tn_1,,,768164,11,,0,0,5294.2473084283,0,0
t_156471_b_2753_tn_1,07:15:00,07:15:00,768381,12,,0,0,5572.68673072144,1,0
t_156471_b_2753_tn_1,,,768377,13,,0,0,6207.97635368874,0,0
t_156471_b_2753_tn_1,,,768392,14,,0,0,6589.18839644329,0,0
t_156471_b_2753_tn_1,07:20:00,07:20:00,835001,15,,0,0,8140.84511733265,1,0
t_156471_b_2753_tn_1,07:26:00,07:26:00,768193,16,,0,0,9713.2042632724,1,0
t_156471_b_2753_tn_1,07:29:00,07:29:00,768401,17,,0,0,10404.7823031801,1,0
t_156471_b_2753_tn_1,,,768165,18,,0,0,10652.2143428474,0,0
t_156471_b_2753_tn_1,,,768172,19,,0,0,11056.5570338026,0,0
t_156471_b_2753_tn_1,,,768187,20,,0,0,11633.449217858,0,0
t_156471_b_2753_tn_1,,,768188,21,,0,0,12499.5625569853,0,0
t_156471_b_2753_tn_1,,,768189,22,,0,0,12958.7032306511,0,0
t_156471_b_2753_tn_1,07:33:00,07:33:00,768190,23,,0,0,13551.3182182691,1,0
t_156471_b_2753_tn_1,,,768170,24,,0,0,14455.3878373472,0,0
t_156471_b_2753_tn_1,,,768171,25,,0,0,14856.9498853199,0,0
t_156471_b_2753_tn_1,07:38:00,07:38:00,768398,26,,0,0,15692.7521023448,1,0
t_156471_b_2753_tn_1,07:43:00,07:43:00,768395,27,,0,0,17021.62125519,1,0
t_156471_b_2753_tn_10,16:00:00,16:00:00,768395,1,,0,0,0,1,0
t_156471_b_2753_tn_10,16:06:00,16:06:00,768346,2,,0,0,1528.86917125406,1,0
t_156471_b_2753_tn_10,,,768391,3,,0,0,2182.5810600238,0,0
t_156471_b_2753_tn_10,,,768386,4,,0,0,2713.07475786074,0,0
t_156471_b_2753_tn_10,,,768388,5,,0,0,3057.34968211005,0,0
t_156471_b_2753_tn_10,,,768378,6,,0,0,3402.24246237885,0,0
t_156471_b_2753_tn_10,16:11:00,16:11:00,768396,7,,0,0,3592.95486655556,1,0
t_156471_b_2753_tn_10,,,768374,8,,0,0,4044.50302060446,0,0
t_156471_b_2753_tn_10,,,768387,9,,0,0,4576.3991630371,0,0
t_156471_b_2753_tn_10,,,768163,10,,0,0,4952.91020493799,0,0
t_156471_b_2753_tn_10,,,768164,11,,0,0,5294.2473084283,0,0
t_156471_b_2753_tn_10,16:15:00,16:15:00,768381,12,,0,0,5572.68673072144,1,0
t_156471_b_2753_tn_10,,,768377,13,,0,0,6207.97635368874,0,0
t_156471_b_2753_tn_10,,,768392,14,,0,0,6589.18839644329,0,0
t_156471_b_2753_tn_10,16:20:00,16:20:00,835001,15,,0,0,8140.84511733265,1,0
t_156471_b_2753_tn_10,16:26:00,16:26:00,768193,16,,0,0,9713.2042632724,1,0
t_156471_b_2753_tn_10,16:29:00,16:29:00,768401,17,,0,0,10404.7823031801,1,0
t_156471_b_2753_tn_10,,,768165,18,,0,0,10652.2143428474,0,0
t_156471_b_2753_tn_10,,,768172,19,,0,0,11056.5570338026,0,0
t_156471_b_2753_tn_10,,,768187,20,,0,0,11633.449217858,0,0
t_156471_b_2753_tn_10,,,768188,21,,0,0,12499.5625569853,0,0
t_156471_b_2753_tn_10,,,768189,22,,0,0,12958.7032306511,0,0
t_156471_b_2753_tn_10,16:33:00,16:33:00,768190,23,,0,0,13551.3182182691,1,0
t_156471_b_2753_tn_10,,,768170,24,,0,0,14455.3878373472,0,0
t_156471_b_2753_tn_10,,,768171,25,,0,0,14856.9498853199,0,0
t_156471_b_2753_tn_10,16:38:00,16:38:00,768398,26,,0,0,15692.7521023448,1,0
t_156471_b_2753_tn_10,16:43:00,16:43:00,768395,27,,0,0,17021.62125519,1,0
t_156471_b_2753_tn_11,17:00:00,17:00:00,768395,1,,0,0,0,1,0
t_156471_b_2753_tn_11,17:06:00,17:06:00,768346,2,,0,0,1528.86917125406,1,0
t_156471_b_2753_tn_11,,,768391,3,,0,0,2182.5810600238,0,0
t_156471_b_2753_tn_11,,,768386,4,,0,0,2713.07475786074,0,0
t_156471_b_2753_tn_11,,,768388,5,,0,0,3057.34968211005,0,0
t_156471_b_2753_tn_11,,,768378,6,,0,0,3402.24246237885,0,0
t_156471_b_2753_tn_11,17:11:00,17:11:00,768396,7,,0,0,3592.95486655556,1,0
t_156471_b_2753_tn_11,,,768374,8,,0,0,4044.50302060446,0,0
t_156471_b_2753_tn_11,,,768387,9,,0,0,4576.3991630371,0,0
t_156471_b_2753_tn_11,,,768163,10,,0,0,4952.91020493799,0,0
t_156471_b_2753_tn_11,,,768164,11,,0,0,5294.2473084283,0,0
t_156471_b_2753_tn_11,17:15:00,17:15:00,768381,12,,0,0,5572.68673072144,1,0
t_156471_b_2753_tn_11,,,768377,13,,0,0,6207.97635368874,0,0
t_156471_b_2753_tn_11,,,768392,14,,0,0,6589.18839644329,0,0
t_156471_b_2753_tn_11,17:20:00,17:20:00,835001,15,,0,0,8140.84511733265,1,0
t_156471_b_2753_tn_11,17:26:00,17:26:00,768193,16,,0,0,9713.2042632724,1,0
t_156471_b_2753_tn_11,17:29:00,17:29:00,768401,17,,0,0,10404.7823031801,1,0
t_156471_b_2753_tn_11,,,768165,18,,0,0,10652.2143428474,0,0
t_156471_b_2753_tn_11,,,768172,19,,0,0,11056.5570338026,0,0
t_156471_b_2753_tn_11,,,768187,20,,0,0,11633.449217858,0,0
t_156471_b_2753_tn_11,,,768188,21,,0,0,12499.5625569853,0,0
t_156471_b_2753_tn_11,,,768189,22,,0,0,12958.7032306511,0,0
t_156471_b_2753_tn_11,17:33:00,17:33:00,768190,23,,0,0,13551.3182182691,1,0
t_156471_b_2753_tn_11,,,768170,24,,0,0,14455.3878373472,0,0
t_156471_b_2753_tn_11,,,768171,25,,0,0,14856.9498853199,0,0
t_156471_b_2753_tn_11,17:38:00,17:38:00,768398,26,,0,0,15692.7521023448,1,0
t_156471_b_2753_tn_11,17:43:00,17:43:00,768395,27,,0,0,17021.62125519,1,0
t_156471_b_2753_tn_2,08:00:00,08:00:00,768395,1,,0,0,0,1,0
t_156471_b_2753_tn_2,08:06:00,08:06:00,768346,2,,0,0,1528.86917125406,1,0
t_156471_b_2753_tn_2,,,768391,3,,0,0,2182.5810600238,0,0
t_156471_b_2753_tn_2,,,768386,4,,0,0,2713.07475786074,0,0
t_156471_b_2753_tn_2,,,768388,5,,0,0,3057.34968211005,0,0
t_156471_b_2753_tn_2,,,768378,6,,0,0,3402.24246237885,0,0
t_156471_b_2753_tn_2,08:11:00,08:11:00,768396,7,,0,0,3592.95486655556,1,0
t_156471_b_2753_tn_2,,,768374,8,,0,0,4044.50302060446,0,0
t_156471_b_2753_tn_2,,,768387,9,,0,0,4576.3991630371,0,0
t_156471_b_2753_tn_2,,,768163,10,,0,0,4952.91020493799,0,0
t_156471_b_2753_tn_2,,,768164,11,,0,0,5294.2473084283,0,0
t_156471_b_2753_tn_2,08:15:00,08:15:00,768381,12,,0,0,5572.68673072144,1,0
t_156471_b_2753_tn_2,,,768377,13,,0,0,6207.97635368874,0,0
t_156471_b_2753_tn_2,,,768392,14,,0,0,6589.18839644329,0,0
t_156471_b_2753_tn_2,08:20:00,08:20:00,835001,15,,0,0,8140.84511733265,1,0
t_156471_b_2753_tn_2,08:26:00,08:26:00,768193,16,,0,0,9713.2042632724,1,0
t_156471_b_2753_tn_2,08:29:00,08:29:00,768401,17,,0,0,10404.7823031801,1,0
t_156471_b_2753_tn_2,,,768165,18,,0,0,10652.2143428474,0,0
t_156471_b_2753_tn_2,,,768172,19,,0,0,11056.5570338026,0,0
t_156471_b_2753_tn_2,,,768187,20,,0,0,11633.449217858,0,0
