route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type
1195,c_3154_b_2753_d_31,t_156471_b_2753_tn_3,,,,,p_3370,,,
1195,c_3154_b_2753_d_31,t_156471_b_2753_tn_2,,,,,p_3370,,,
1195,c_3154_b_2753_d_31,t_156471_b_2753_tn_11,,,,,p_3370,,,
1195,c_3154_b_2753_d_31,t_156471_b_2753_tn_10,,,,,p_3370,,,
1195,c_3154_b_2753_d_31,t_156471_b_2753_tn_1,,,,,p_3370,,,
1195,c_3154_b_2753_d_31,t_156492_b_2753_tn_0,,,,,p_111307,,,
1195,c_3154_b_2753_d_31,t_156491_b_2753_tn_0,,,,,p_111306,,,
1195,c_3154_b_2753_d_31,t_156471_b_2753_tn_9,,,,,p_3370,,,
1195,c_3154_b_2753_d_31,t_156471_b_2753_tn_8,,,,,p_3370,,,
1195,c_3154_b_2753_d_31,t_156471_b_2753_tn_7,,,,,p_3370,,,
1195,c_3154_b_2753_d_31,t_156471_b_2753_tn_6,,,,,p_3370,,,
1195,c_3154_b_2753_d_31,t_156471_b_2753_tn_5,,,,,p_3370,,,
1195,c_3154_b_2753_d_31,t_156471_b_2753_tn_4,,,,,p_3370,,,
1195,c_3154_b_2753_d_96,t_156488_b_2753_tn_2,,,,,p_111304,,,
1195,c_3154_b_2753_d_96,t_156488_b_2753_tn_1,,,,,p_111304,,,
1195,c_3154_b_2753_d_96,t_156488_b_2753_tn_7,,,,,p_111304,,,
1195,c_3154_b_2753_d_96,t_156493_b_2753_tn_0,,,,,p_111308,,,
1195,c_3154_b_2753_d_96,t_156488_b_2753_tn_8,,,,,p_111304,,,
1195,c_3154_b_2753_d_96,t_156489_b_2753_tn_0,,,,,p_111305,,,
1195,c_3154_b_2753_d_96,t_156488_b_2753_tn_6,,,,,p_111304,,,
1195,c_3154_b_2753_d_96,t_156488_b_2753_tn_5,,,,,p_111304,,,
1195,c_3154_b_2753_d_96,t_156488_b_2753_tn_4,,,,,p_111304,,,
1195,c_3154_b_2753_d_96,t_156488_b_2753_tn_3,,,,,p_111304,,,
1196,c_3154_b_2753_d_31,t_156499_b_2753_tn_0,,,,,p_111313,,,
1196,c_3154_b_2753_d_31,t_156494_b_2753_tn_1,,,,,p_111309,,,
1196,c_3154_b_2753_d_31,t_156494_b_2753_tn_10,,,,,p_111309,,,
1196,c_3154_b_2753_d_31,t_156494_b_2753_tn_11,,,,,p_111309,,,
1196,c_3154_b_2753_d_31,t_156494_b_2753_tn_2,,,,,p_111309,,,
1196,c_3154_b_2753_d_31,t_156494_b_2753_tn_3,,,,,p_111309,,,
1196,c_3154_b_2753_d_31,t_156494_b_2753_tn_4,,,,,p_111309,,,
1196,c_3154_b_2753_d_31,t_156494_b_2753_tn_5,,,,,p_111309,,,
1196,c_3154_b_2753_d_31,t_156494_b_2753_tn_6,,,,,p_111309,,,
1196,c_3154_b_2753_d_31,t_156494_b_2753_tn_7,,,,,p_111309,,,
1196,c_3154_b_2753_d_31,t_156494_b_2753_tn_8,,,,,p_111309,,,
1196,c_3154_b_2753_d_31,t_156494_b_2753_tn_9,,,,,p_111309,,,
1196,c_3154_b_2753_d_31,t_156496_b_2753_tn_0,,,,,p_111310,,,
1196,c_3154_b_2753_d_31,t_156498_b_2753_tn_0,,,,,p_111311,,,
1196,c_3154_b_2753_d_96,t_156495_b_2753_tn_8,,,,,p_111309,,,
1196,c_3154_b_2753_d_96,t_156497_b_2753_tn_0,,,,,p_111310,,,
1196,c_3154_b_2753_d_96,t_156500_b_2753_tn_0,,,,,p_111314,,,
1196,c_3154_b_2753_d_96,t_156495_b_2753_tn_1,,,,,p_111309,,,
1196,c_3154_b_2753_d_96,t_156495_b_2753_tn_2,,,,,p_111309,,,
1196,c_3154_b_2753_d_96,t_156495_b_2753_tn_3,,,,,p_111309,,,
1196,c_3154_b_2753_d_96,t_156495_b_2753_tn_4,,,,,p_111309,,,
1196,c_3154_b_2753_d_96,t_156495_b_2753_tn_5,,,,,p_111309,,,
1196,c_3154_b_2753_d_96,t_156495_b_2753_tn_6,,,,,p_111309,,,
1196,c_3154_b_2753_d_96,t_156495_b_2753_tn_7,,,,,p_111309,,,
1201,c_3154_b_2753_d_31,t_158512_b_2753_tn_18,,,,,p_111317,,,
1201,c_3154_b_2753_d_31,t_158512_b_2753_tn_19,,,,,p_111317,,,
1201,c_3154_b_2753_d_31,t_158512_b_2753_tn_2,,,,,p_111317,,,
1201,c_3154_b_2753_d_31,t_158512_b_2753_tn_20,,,,,p_111317,,,
1201,c_3154_b_2753_d_31,t_158512_b_2753_tn_21,,,,,p_111317,,,
1201,c_3154_b_2753_d_31,t_158512_b_2753_tn_3,,,,,p_111317,,,
1201,c_3154_b_2753_d_31,t_158512_b_2753_tn_4,,,,,p_111317,,,
1201,c_3154_b_2753_d_31,t_158512_b_2753_tn_5,,,,,p_111317,,,
1201,c_3154_b_2753_d_31,t_158512_b_2753_tn_6,,,,,p_111317,,,
1201,c_3154_b_2753_d_31,t_158512_b_2753_tn_7,,,,,p_111317,,,
1201,c_3154_b_2753_d_31,t_158512_b_2753_tn_8,,,,,p_111317,,,
1201,c_3154_b_2753_d_31,t_158512_b_2753_tn_9,,,,,p_111317,,,
1201,c_3154_b_2753_d_31,t_158515_b_2753_tn_1,,,,,p_111349,,,
1201,c_3154_b_2753_d_31,t_158515_b_2753_tn_2,,,,,p_111349,,,
1201,c_3154_b_2753_d_31,t_158516_b_2753_tn_0,,,,,p_111349,,,
1201,c_3154_b_2753_d_31,t_158517_b_2753_tn_0,,,,,p_111353,,,
1201,c_3154_b_2753_d_31,t_158518_b_2753_tn_0,,,,,p_111354,,,
1201,c_3154_b_2753_d_31,t_158520_b_2753_tn_0,,,,,p_111355,,,
1201,c_3154_b_2753_d_31,t_158519_b_2753_tn_0,,,,,p_111354,,,
1201,c_3154_b_2753_d_31,t_158512_b_2753_tn_1,,,,,p_111317,,,
1201,c_3154_b_2753_d_31,t_158512_b_2753_tn_10,,,,,p_111317,,,
1201,c_3154_b_2753_d_31,t_158512_b_2753_tn_11,,,,,p_111317,,,
1201,c_3154_b_2753_d_31,t_158512_b_2753_tn_12,,,,,p_111317,,,
1201,c_3154_b_2753_d_31,t_158512_b_2753_tn_13,,,,,p_111317,,,
1201,c_3154_b_2753_d_31,t_158512_b_2753_tn_14,,,,,p_111317,,,
1201,c_3154_b_2753_d_31,t_158512_b_2753_tn_15,,,,,p_111317,,,
1201,c_3154_b_2753_d_31,t_158512_b_2753_tn_16,,,,,p_111317,,,
1201,c_3154_b_2753_d_31,t_158512_b_2753_tn_17,,,,,p_111317,,,
1201,c_3154_b_2753_d_96,t_158521_b_2753_tn_5,,,,,p_111349,,,
1201,c_3154_b_2753_d_96,t_158521_b_2753_tn_1,,,,,p_111349,,,
1201,c_3154_b_2753_d_96,t_158521_b_2753_tn_2,,,,,p_111349,,,
1201,c_3154_b_2753_d_96,t_158521_b_2753_tn_3,,,,,p_111349,,,
1201,c_3154_b_2753_d_96,t_158521_b_2753_tn_4,,,,,p_111349,,,
1201,c_3154_b_2753_d_96,t_158521_b_2753_tn_6,,,,,p_111349,,,
1201,c_3154_b_2753_d_96,t_158522_b_2753_tn_0,,,,,p_111353,,,
1201,c_3154_b_2753_d_96,t_158523_b_2753_tn_0,,,,,p_111354,,,
1202,c_3154_b_2753_d_31,t_158526_b_2753_tn_2,,,,,p_111356,,,
1202,c_3154_b_2753_d_31,t_158524_b_2753_tn_1,,,,,p_3406,,,
1202,c_3154_b_2753_d_31,t_158524_b_2753_tn_10,,,,,p_3406,,,
1202,c_3154_b_2753_d_31,t_158524_b_2753_tn_11,,,,,p_3406,,,
1202,c_3154_b_2753_d_31,t_158524_b_2753_tn_12,,,,,p_3406,,,
1202,c_3154_b_2753_d_31,t_158524_b_2753_tn_13,,,,,p_3406,,,
1202,c_3154_b_2753_d_31,t_158524_b_2753_tn_14,,,,,p_3406,,,
1202,c_3154_b_2753_d_31,t_158524_b_2753_tn_15,,,,,p_3406,,,
1202,c_3154_b_2753_d_31,t_158524_b_2753_tn_16,,,,,p_3406,,,
1202,c_3154_b_2753_d_31,t_158524_b_2753_tn_17,,,,,p_3406,,,
1202,c_3154_b_2753_d_31,t_158524_b_2753_tn_18,,,,,p_3406,,,
1202,c_3154_b_2753_d_31,t_158524_b_2753_tn_19,,,,,p_3406,,,
1202,c_3154_b_2753_d_31,t_158524_b_2753_tn_2,,,,,p_3406,,,
1202,c_3154_b_2753_d_31,t_158524_b_2753_tn_20,,,,,p_3406,,,
1202,c_3154_b_2753_d_31,t_158524_b_2753_tn_21,,,,,p_3406,,,
