service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
72877,1,1,1,1,1,0,0,20120730,20190520
72878,0,0,0,0,0,1,0,20120730,20190520
72879,0,0,0,0,0,0,1,20120730,20190520
72880,0,0,0,0,0,1,1,20120730,20190520
72881,1,1,1,1,1,0,0,20120730,20190520
72882,1,1,1,1,1,0,0,20120730,20190520
72883,1,1,1,1,1,1,0,20120730,20190520
72884,1,1,1,1,1,1,1,20120730,20190520
72885,1,1,0,1,1,0,1,20120730,20190520
72886,0,1,0,1,0,1,0,20120730,20190520
72887,1,0,1,0,1,0,1,20120730,20190520
73902,0,0,0,0,0,0,0,20160530,20160530
