trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
"RTD6744480","6:00:00","6:00:00","12135125","1",,"0","0",,1
"RTD6744480","6:03:00","6:03:00","12011435","2",,"0","0",,1
"RTD6744480","6:07:00","6:07:00","12011351","3",,"0","0",,1
"RTD6744480","6:30:00","6:30:00","12172250","4",,"0","0",,1
"RTD6744480","6:52:00","6:52:00","12011350","5",,"0","0",,1
"RTD6744480","6:54:00","6:54:00","12011435","6",,"0","0",,1
"RTD6744480","6:57:00","6:57:00","12135124","7",,"0","0",,1
"RTD6744481","7:00:00","7:00:00","12135125","1",,"0","0",,1
"RTD6744481","7:03:00","7:03:00","12011435","2",,"0","0",,1
"RTD6744481","7:07:00","7:07:00","12011351","3",,"0","0",,1
"RTD6744481","7:30:00","7:30:00","12172250","4",,"0","0",,1
"RTD6744481","7:52:00","7:52:00","12011350","5",,"0","0",,1
"RTD6744481","7:54:00","7:54:00","12011435","6",,"0","0",,1
"RTD6744481","7:57:00","7:57:00","12135124","7",,"0","0",,1
"RTD6744502","8:00:00","8:00:00","12135125","1",,"0","0",,1
"RTD6744502","8:03:00","8:03:00","12011435","2",,"0","0",,1
"RTD6744502","8:07:00","8:07:00","12011351","3",,"0","0",,1
"RTD6744502","8:30:00","8:30:00","12172250","4",,"0","0",,1
"RTD6744502","8:52:00","8:52:00","12011350","5",,"0","0",,1
"RTD6744502","8:54:00","8:54:00","12011435","6",,"0","0",,1
"RTD6744502","8:57:00","8:57:00","12135124","7",,"0","0",,1
"RTD6744482","8:00:00","8:00:00","12135125","1",,"0","0",,1
"RTD6744482","8:03:00","8:03:00","12011435","2",,"0","0",,1
"RTD6744482","8:07:00","8:07:00","12011351","3",,"0","0",,1
"RTD6744482","8:30:00","8:30:00","12172250","4",,"0","0",,1
"RTD6744482","8:52:00","8:52:00","12011350","5",,"0","0",,1
"RTD6744482","8:54:00","8:54:00","12011435","6",,"0","0",,1
"RTD6744482","8:57:00","8:57:00","12135124","7",,"0","0",,1
"RTD6744483","9:00:00","9:00:00","12135125","1",,"0","0",,1
"RTD6744483","9:03:00","9:03:00","12011435","2",,"0","0",,1
"RTD6744483","9:07:00","9:07:00","12011351","3",,"0","0",,1
"RTD6744483","9:30:00","9:30:00","12172250","4",,"0","0",,1
"RTD6744483","9:52:00","9:52:00","12011350","5",,"0","0",,1
"RTD6744483","9:54:00","9:54:00","12011435","6",,"0","0",,1
"RTD6744483","9:57:00","9:57:00","12135124","7",,"0","0",,1
"RTD6744503","9:00:00","9:00:00","12135125","1",,"0","0",,1
"RTD6744503","9:03:00","9:03:00","12011435","2",,"0","0",,1
"RTD6744503","9:07:00","9:07:00","12011351","3",,"0","0",,1
